2149 -3019  3379 -87
320 -1146  1172 -502
877 6309  4338 1976
-1202 4599  -1549 1124
1676 -1774  -2141 1149
-993 3070  4053 -2277
803 -1166  -5438 3743
-378 1647  2547 -278
-7969 1720  -4002 2762
489 849  -2988 5572
3222 254  315 209
-306 737  3207 960
-2064 1646  3760 3598
2377 4913  4123 -2169
160 -1104  -1850 -2533
1531 -2756  -1164 940
-1803 2797  -1373 -1192
-1753 -4903  -4357 3463
1122 -1114  1333 4093
-1826 1888  1537 -440
958 -779  -1967 -5310
-2691 2075  -203 5415
664 1908  2480 4632
-2498 -776  2498 -2965
-911 824  -236 3070
1110 328  -704 489
4872 2203  1874 1146
-1047 -1611  2659 -2569
-2649 535  -1891 2975
1475 -290  566 -830
-3929 5038  3436 -3837
1799 -6075  3641 -3780
-19 -997  -5084 3287
-3241 -3940  -527 -510
1001 -1028  -2684 2227
-1709 3412  4199 -1756
-348 5019  1513 -2691
1187 2479  -2479 -3797
4617 2911  4137 -78
2189 343  5137 2102
-713 1360  -1431 3522
2153 -1575  -1223 -1154
-439 -3187  2065 785
1336 -3954  -5267 -125
-3411 -788  -484 -567
-1719 -4695  -95 3514
7059 2331  1472 594
-4476 3149  -4337 3878
386 5535  -1872 2305
-1117 -3512  -4085 -3343
1290 2264  -1989 -68
4553 213  -845 -3369
1523 1556  -2936 -720
4427 2438  -3028 1696
-324 3854  -1855 4565
-3802 -36  -877 -6690
930 -276  -1994 -5563
967 -900  -4434 2032
2055 -3408  -5099 183
-1772 2640  -261 -165
1343 1693  173 -3830
-2505 268  -328 2674
-2583 8206  171 -4878
-814 1725  137 2638
2265 3100  -5025 -3114
2342 46  2940 414
1954 1391  -713 -2961
-1989 3362  2010 144
-3334 -308  -3355 -8960
49 455  -3793 -6486
-3345 5411  -5279 -2689
-2898 366  1755 -2085
-3427 771  701 3098
-758 1285  3519 -1273
884 -4783  1595 4169
-1363 1574  5545 -186
4734 -2503  597 -54
-2959 -1702  5081 -1899
-3416 -5714  -5721 2603
-992 -3469  -2300 -1670
-1191 -1726  77 -992
1150 -2472  394 -2157
-607 -185  -1855 -6250
3664 4776  -2976 -1770
6982 -2697  462 2792
867 -1833  3515 1225
-84 2193  157 -2735
224 -3120  -4138 2709
-1571 -2905  1355 3928
510 -787  -1823 -1961
650 -1798  2491 1776
2183 -2870  -1764 -142
-5593 -832  2338 4633
-7146 769  160 -1210
462 -859  -2421 649
-503 -3818  -2218 -2412
-5293 -1861  1266 -1741
799 85  2347 -2670
-3618 3617  -2701 -202
1148 819  -4611 -2336
-5457 4576  3144 3616
1710 -2750  -284 1632
6420 -5462  -2472 1012
-2757 -4916  2232 -605
1379 240  -427 -908
-825 751  759 -3040
-270 2977  -1029 1936
2508 31  4825 2956
-3033 6266  3097 1319
658 659  1057 1402
2607 -2173  -652 108
2143 1633  3234 955
-2284 -6245  108 3208
-3393 621  -89 2817
2425 -4475  -4572 779
-1516 3828  233 -1436
2043 -9  -192 -663
362 4340  2532 1882
3075 -2552  1066 258
-52 -3608  -4866 -529
4809 1409  -1888 3766
-4727 7056  344 1933
3693 -4129  2223 -3761
1814 4360  2429 3197
2837 4973  -1589 -282
-3892 432  -4452 -3930
-3455 4778  -3689 -3051
4462 2277  3049 -1213
-178 -183  -2434 2859
2408 18  1079 -670
3980 -92  -1052 -1749
4565 -1059  4591 -2748
-1084 -1550  141 -7120
1792 -3564  2668 1316
1465 -5  -1387 -2191
1931 4475  -1838 4839
-1434 1446  -4929 891
-1884 -3138  -2017 1852
2040 -120  -80 2577
-3579 -2352  1873 2533
-2205 2158  -826 -1918
-945 -412  -3592 2478
2935 -75  -1175 5912
-760 433  569 3408
1080 1984  -364 1469
2087 -2028  3552 -564
5411 -1337  2884 -483
-1338 8241  -3272 1318
-2763 -2589  -1800 133
-1676 -1938  -5309 2221
3194 353  580 -2078
-4724 1170  1801 153
50 -1428  -944 -3372
1259 6792  1951 4702
2593 -1173  -816 -3709
3661 2173  1829 3199
-2552 2278  -5369 -698
5375 -3648  -1916 4140
-4000 3659  6534 450
13 -6365  -4101 4208
208 -5138  -2498 2124
-3677 962  1075 1318
-1629 108  -2307 -1573
2115 -420  -3295 2203
740 -657  -3648 -167
-2401 2692  1052 6443
2643 3673  1590 1492
-1026 652  35 1569
4368 -910  2642 -1815
433 843  -3920 -2430
-38 3106  27 -3230
-420 -1267  -3989 -5274
4512 2454  2959 1435
420 1574  1419 -1008
-1359 -1309  784 3694
-5305 1121  -1358 2439
-1649 -1758  -332 2699
6515 937  4917 -4014
1443 -778  -7869 4746
-3621 220  -4219 -771
1172 1933  2489 4528
-2342 9889  -4612 2587
-1873 953  1600 2078
-141 5277  -157 5083
900 -2425  2194 3826
749 -4569  -4201 2486
432 5283  -1141 2982
-2200 -1233  548 -4215
1901 184  -3242 4394
2394 1100  -4615 894
3245 3257  1185 -2580
-460 2579  2377 6532
314 -1418  -5307 2996
1436 18  628 -2712
-3371 -1880  195 -2303
949 -3984  1540 -1318
2696 -4251  561 3688
-1108 7305  -2218 2240
3355 -2114  -1078 -2193
665 240  -1393 -1787
-4462 1977  4380 -253
753 -1089  -690 -3859
3727 378  -4036 -2090
851 -2063  -1769 -450
3485 -1387  -2313 -2619
880 3451  -1804 2771
4800 -1719  -3956 1443
1259 3114  -863 5577
-1030 -2306  8217 -2778
3851 5718  1372 -1031
6878 2930  -1962 672
-2499 3787  6693 -3966
3607 -1457  -1190 182
1690 -1080  4172 -5144
-1782 1243  -2186 2207
-1191 -8567  -5225 2207
-1396 384  -191 1664
-682 4625  -1794 -2629
1572 -3019  -291 -3375
-2026 -2729  1295 -112
7447 -3337  1268 563
-2352 6203  7362 -675
-2534 -4333  2032 -2387
3039 -2741  -3038 1859
1496 4707  -2763 4002
-1243 -3051  1175 -503
1371 -141  2230 275
237 2856  1089 -3770
-1615 -389  6999 4882
-1085 2408  -4820 2019
608 5191  -2719 167
-1980 3305  1260 4768
-1274 4779  -1195 -1678
1987 -695  -3922 -764
-1623 -6361  -5757 440
1038 -2991  1682 -3755
-320 122  -4760 -148
-5536 -2286  -2335 141
-3755 3080  1271 1331
1463 852  -1677 2109
-3 -1061  5062 3836
-2562 -682  1026 181
-2939 -165  -2810 -1982
912 -9416  1755 -2335
1937 -1678  -1438 5972
-2427 4185  1547 1112
1268 2127  4932 54
4855 1318  -1625 3661
4852 -5017  -3855 3281
1139 180  -5552 -3944
-280 -4663  4516 7120
-3243 272  1479 -2173
-344 413  4218 771
-2153 4447  -6 -3439
1673 -5341  5113 1124
-3252 1665  832 3024
576 308  2226 70
-794 1727  -1954 544
897 -571  2221 2410
-228 5308  1439 5148
-146 1007  4620 818
4696 192  1398 876
1615 444  5691 -5643
-1213 -1099  -2310 -1724
-439 2381  531 -633
-4442 1062  -3001 -2430
-1158 -3938  961 5536
1019 -2241  -7263 975
2185 -6414  -1562 0
-3179 4688  -2427 2245
-2214 -5844  -371 -2615
2265 -662  -6960 562
234 -3242  -2547 -1158
3040 -1400  2036 5506
3357 722  -3290 973
-1843 -580  -330 2803
-1184 -723  -6701 -2861
2283 -524  4171 -3861
-3690 -3232  -319 -240
-2153 -933  97 -1834
-1548 8081  2695 71
3095 -5123  -7370 -348
748 -221  457 -929
1453 1847  4110 1885
-3133 1546  -139 -1669
-8325 -2160  2491 1160
5028 2149  3536 5906
1378 2285  1093 4327
-1986 -2086  -5575 3124
-3720 -670  3629 4264
-424 2715  -1345 4476
-1590 -446  -1749 -304
-3205 -2782  -960 -6995
2314 2562  -2122 3010
-2660 3292  -2848 1654
23 5540  3106 -3050
2183 626  -4572 3604
4849 -2594  5299 -1705
-7592 -4397  -2810 -925
1367 -2139  -485 170
3221 -3482  -3954 -603
-4280 -735  1189 1840
4309 -294  -4431 1390
3890 1631  2600 4830
-1781 -3359  -4851 -14
3446 540  741 -1142
421 -986  -3832 98
478 -3515  1018 -7542
-4537 -909  5888 2845
-1197 583  2672 -537
420 2541  684 1793
-289 -1530  -3601 -7185
3417 4085  3819 -831
-2586 -393  1884 -3375
1145 -2688  -1463 2491
3008 884  -2040 -22
-5860 3838  2847 1312
6597 -919  -570 -2684
-686 -4290  -1792 2291
-1458 -633  -341 3716
-1542 -1935  1316 -7244
-1534 -9676  -6303 4831
3925 -4613  -2464 4069
-2837 260  5919 -212
-936 3177  2845 -5432
-3808 1660  124 940
2544 9  742 -4806
-4072 5730  -2471 2754
4385 -2876  -1973 3769
-3437 -520  717 2546
-496 -311  -1578 3021
165 1587  2305 3712
929 1377  -6266 1879
-1593 2209  -1368 2787
-2467 382  984 3979
-3505 628  -2203 806
1386 51  -989 -397
1673 -2043  -4802 2919
3614 -931  -7677 -2387
-737 -1952  1620 -587
-1732 -2125  -2735 -2941
4577 4949  503 -149
-18 3129  469 -2086
-4424 1703  -2937 2145
-911 286  1177 3123
-5720 4852  2899 -1489
2892 4930  3401 3093
-193 -737  4143 -6123
7571 -3297  677 1942
4983 890  1510 221
-379 2061  3275 1187
-3414 363  1729 2546
1187 262  4390 -701
-2980 -6244  2016 -1574
3996 -5552  793 -975
3717 818  -6886 2358
-5773 1248  -182 1607
-2857 -2814  -4036 -2267
2367 3422  39 4042
1355 -1112  -697 2913
-2571 2341  2178 2129
-4141 -2020  29 -860
-9869 -1479  -2633 2221
-3019 4186  -838 161
4589 -2188  2454 2103
-1060 -1865  2855 847
-658 5921  -363 1149
-2015 3168  -1921 -87
961 1360  -4018 3134
-848 6215  2162 412
4787 3816  -491 -2905
-2212 3509  587 -613
-1492 622  -1697 5001
-760 6368  2725 -1101
3673 1252  4855 225
843 117  -1275 5219
3123 4398  2119 1592
942 1682  -2194 -4752
-2532 -1852  -763 -3355
-3026 -1988  546 3203
1241 3972  -2912 -5257
-302 893  -935 2916
-1004 510  -2337 883
2301 5385  -2547 2426
-1853 -220  2070 -2554
1233 -1340  2180 -2404
3150 -2020  4209 -2360
550 -5120  -579 1603
-2007 6969  -832 2948
-2807 3497  -1408 154
4539 -1163  4605 4303
2171 4820  -1981 863
-1409 4111  -3017 141
-6152 -1134  86 2117
2671 -2830  111 -4639
-50 709  -1032 -2307
-161 696  -1939 38
-342 -1267  -1562 3434
-1347 2164  -9435 -6576
-3822 4922  -680 -2236
-2052 -2939  -2336 5682
767 -1727  -3675 -1101
-349 2985  1986 605
-3378 1937  2380 2167
428 178  -464 -813
-673 3179  -751 -1607
2246 3835  -902 -2303
-3481 285  5997 951
-4154 -1165  -7595 -2628
1937 3399  -3122 2664
4576 -3457  -3824 1727
1001 3491  1812 -1568
-1230 2114  -1746 -5569
-802 852  -1466 3306
-1234 -2147  712 -6441
2085 -2479  2432 -2020
4075 -484  -1072 1884
1796 -3628  -123 -313
-3595 7036  2579 5306
-812 3155  199 91
-1666 4058  1779 967
90 -1372  565 1552
-2805 4915  415 -3304
793 3787  110 -843
1715 4900  32 -1147
4837 -3097  -4967 1088
-1156 890  1007 -1502
-1183 3162  -5325 2937
814 667  -3452 -291
-1469 1155  609 -4957
-991 6749  -2647 630
1829 3682  -791 -4394
-2657 2183  5892 366
1875 1477  -169 982
-545 -1512  -275 -3183
-437 -764  -1429 -2021
1668 2409  3231 4895
4518 -394  -411 2996
791 522  3384 -1266
603 -37  337 -1509
222 1001  -1258 4692
342 1298  -573 -1154
3295 -80  -2574 -2069
-123 302  -306 -1342
5757 4402  1934 -1648
-1561 3236  2911 625
2489 811  -2741 3781
-2630 1647  80 130
2311 -3657  93 -1029
-191 395  -5030 -1917
-2166 1934  -1213 2218
630 1440  -2906 -1713
-4098 -4042  -892 -2297
1783 1299  2771 -1302
3177 -1750  2129 375
-4594 -2272  5532 -3035
1079 -2003  459 -6813
-101 -198  1452 2636
6249 6015  -6534 2947
141 -1082  -6025 -2238
2523 3529  -3381 4310
3102 6349  3430 -339
-1830 -332  4162 458
1073 1586  -4016 -1809
-4347 4165  -1306 23
-1974 -639  1678 2510
2528 -3399  -370 -209
-1311 -1015  2670 -7324
578 -2489  4335 -359
-243 -1999  2291 351
-2918 -2310  -363 -1313
1399 -1798  -3247 2796
-2250 227  -149 1562
-397 -449  1583 -193
-1523 703  78 773
-1046 4519  1712 322
-951 -840  180 2860
3108 -4013  -2584 372
-3643 1546  -4018 1172
-2217 -2072  -1506 2216
642 -2948  -1062 3519
-455 1309  -813 680
605 1754  1153 -63
-5561 1049  -1727 -1427
-1152 -382  2002 -2045
-2161 -3455  342 -1773
661 -779  -2438 -2870
100 -2851  583 204
1579 3450  -1281 -1249
2114 -153  2817 -1605
-375 658  1599 -31
2079 185  1469 3377
1552 -1094  588 -2196
2995 -595  -4536 -424
2800 3587  248 810
-4583 5950  -1320 3026
8377 -2201  -3148 2728
-4380 -878  -338 -1255
1937 -724  197 -2003
-1334 3047  -2191 -26
256 -5991  2146 -477
-1363 -1046  5240 699
-2301 -5357  2403 1373
-187 7017  4199 -1435
5797 3617  -3263 -2437
5787 653  820 3869
-1743 22  3099 512
-2825 -1172  -1041 -6360
-3701 -3036  -3151 3209
4182 -2734  -1953 424
-250 2670  2733 1811
765 89  952 2192
-3869 1772  -4777 -2036
1306 3287  -3736 2679
-71 -143  -2461 3489
-4262 -3661  3190 420
1213 211  -4349 1272
5912 609  1795 -3287
4399 -4807  417 909
-2772 1227  -2927 1922
6274 1802  -7151 -3977
2653 -578  -2157 172
1674 1177  2506 -2026
-2317 1071  5614 -1098
-2800 5296  -1629 4518
-1912 -4623  3249 -2227
4869 6665  2435 -960
-174 -1350  1152 -175
-6951 1496  -451 -2806
-1645 2335  -2819 2535
3240 -443  -5014 3392
-120 -2612  -55 919
-1905 2609  -2702 -637
-1197 1772  889 -3737
-3319 802  -6559 836
-3059 977  -3005 49
1649 2307  -533 1691
-5650 -1622  -2134 -3978
-3754 -1549  1019 -5821
80 -2272  1972 3109
4967 4544  1191 -102
3046 3189  -675 2531
-2608 -615  1560 3737
2443 2451  3565 1186
-1316 -691  5973 152
2014 -2780  1484 -1308
-341 -4156  4089 -1585
-1893 -1193  -3010 545
2316 -643  63 -1206
227 6521  3238 4155
-2553 1623  202 51
-4786 -1310  693 5280
-3241 -445  3639 5762
4382 -5186  5452 -478
4550 1128  -1961 -549
-1899 3196  -1866 -371
-506 744  1460 -3734
-12 1598  2306 -2340
-3653 43  -801 3173
-3961 4767  1119 1326
2980 369  -5337 4243
-1975 308  2971 -342
378 -614  719 -897
1201 -3554  2319 -360
-2389 -1741  618 -196
-1637 5064  462 1656
250 5977  2866 -378
-700 2373  3826 4134
1991 -2089  -577 -130
-887 1048  2467 -6843
705 -3618  1327 914
1956 2400  -1685 -1546
1597 17  -1730 -261
640 -2516  610 -2926
-3737 338  2898 3738
-1424 -4396  -2013 -4851
1784 2361  2478 50
-481 4687  1200 1829
2891 917  2446 -1057
-1426 99  5621 -4654
142 -5327  -2230 3326
-881 3228  -2405 -800
905 1999  -449 913
-318 3604  309 2313
3703 554  -3597 4430
-4165 132  -2772 -5648
1531 1782  -3461 419
1299 4111  -1073 -3685
2648 -2215  3051 2312
-52 -903  -91 337
-3242 2686  2205 4123
-638 -1896  3990 -6580
722 2233  5658 -1950
-5582 -69  3451 -1377
1406 1878  -2108 -2824
-1709 5951  -733 -5281
1867 3071  1461 42
2100 -2014  6775 5256
-2892 -3335  -2156 174
2698 5798  707 6480
1042 379  -1929 -744
2291 -3127  712 -655
-674 2761  3160 2714
-2783 3156  3981 781
-2003 -997  1043 -2464
-1561 -3636  648 114
-2741 -6141  1245 970
-1075 3006  7316 1461
-1992 -2282  3641 -3852
-828 -7616  5708 3203
499 -1106  -2063 -3894
-3154 -1401  -5210 -2486
-947 797  -3095 -1817
833 -2256  2636 5474
94 7514  -1611 850
1516 1097  973 6853
960 1227  3360 1697
1343 1270  -2337 -166
-5505 -4906  283 -276
-1978 4362  -350 -1366
-2640 287  2688 -1458
-2377 -533  480 2566
4865 -3256  2023 -3670
-2628 -631  -5188 1221
2430 -231  3515 -92
-908 -3868  2859 3418
4696 4294  -3499 -2074
1407 2181  1109 2339
-393 -2553  -1319 -1600
-661 -1569  1230 1102
2516 3463  -6040 4625
4005 -1345  1684 1685
2480 5659  -2966 -5157
4008 -2345  -5142 -4019
132 3539  -3078 2537
-624 -7637  2670 1079
-1206 493  5672 4891
-1916 -4163  243 439
221 -1949  2676 1078
532 -2053  -1503 -2392
3253 4537  2373 -821
-4444 -813  -4072 -1598
-1474 496  4093 -62
1705 961  -490 -2699
-1336 1107  5382 -3123
183 416  2498 -635
-2165 -67  -1134 -3925
4177 -1728  667 1860
-3019 -921  4364 655
2926 1824  -806 -1228
4532 540  -3006 1448
-1323 -2844  8132 2244
-4407 3489  -2832 -3932
5341 -1021  -1762 5832
2609 -1180  2000 -451
6392 2069  1603 2027
2909 -1272  -8833 5490
-368 1276  1309 2827
-2051 -2088  745 3917
1882 -7153  -816 -1894
2444 -1652  1601 1327
1871 2853  4630 -241
476 2586  2534 -5112
-691 -2187  391 1001
-1757 1964  -336 -301
-1554 481  1123 3568
3903 -2580  5564 2717
-1368 2760  -782 -1808
2154 -52  4604 780
-799 1471  1336 -647
7347 -2007  3185 2193
-450 1116  -7002 5569
-845 -2094  6241 -535
1606 872  -4321 -3227
-1113 -823  3802 2181
2557 1381  42 2916
-3408 -2104  -2092 392
4928 -2418  5793 -4356
-398 3370  -2845 1980
-1386 -717  656 3764
-3565 590  -364 499
2572 -9  -1437 852
1460 2916  -1286 -1555
1465 -49  -2661 -3644
727 2658  3248 -109
-1219 -1724  -1712 -2492
2334 -1946  -788 1461
-4346 3952  -2780 -1112
-2755 407  4399 6051
5190 -3341  1718 -3275
3986 3093  3615 -2948
4631 -4538  1417 6415
-4968 324  2265 -2177
-5005 1367  326 7700
908 238  5658 2470
2077 2392  1499 1503
-5073 -2595  -2964 344
4165 -1404  2852 743
521 -1103  -3218 3495
-956 -1485  114 -3059
5401 2947  -1586 1564
-1465 1876  -1213 1267
-2027 819  -5145 2910
3315 -958  -3496 -728
3155 -570  -759 1242
-4207 342  1514 -1619
424 -1250  1520 -649
3116 -694  862 -506
2872 3157  -731 972
-1129 -2141  3273 -2027
658 -28  3406 3366
1279 40  6827 54
2053 1300  1700 -2002
-54 -3633  -285 -876
3299 -4163  -668 247
1538 2568  1577 -2633
-332 -925  -2915 -5264
2614 -3952  -123 2843
-405 -4973  538 2431
598 -3310  359 1910
1509 -2773  3646 -6294
2127 -1494  448 1451
2918 -5221  2273 -1970
-1570 -181  -4151 -1975
-1837 822  2689 -3265
1742 122  3585 -2432
-1790 4090  -2436 417
2760 -3502  4118 1372
-3642 241  -1110 266
5721 2843  -114 -671
3884 3188  2658 -2967
1052 5636  -259 -913
6551 -2127  -752 -2931
-1577 1657  575 1791
3068 -173  -3995 6283
-1351 3199  -751 -458
2446 1161  3077 -6410
-3386 -634  -4239 -436
-1245 -1749  5090 -476
2101 1582  -3589 -3438
268 269  -1321 -2326
-2491 844  -2863 -5594
5136 -764  -993 5171
2314 582  5038 2401
-1468 3237  1204 -1156
-606 -3382  -1928 1577
1241 1919  6098 99
-1671 1673  -4734 248
158 -1705  -1265 -1746
-2004 5570  1463 1661
244 -5108  4417 1642
2078 311  1637 583
-2228 27  2231 -1199
3126 -3653  730 -4109
2493 2990  3152 -2368
1657 -2265  895 -3743
-2614 2582  393 6636
-1216 7141  -197 -5380
-2924 -5386  230 2969
2655 -4981  -3550 -2390
-4649 1430  219 -2743
1262 -1418  54 -3687
-2105 3995  -1038 -2485
-3833 1  -2822 -1781
1761 -2718  2258 -950
-533 -3956  -3124 3276
1289 -5346  -2614 407
758 2785  -844 4782
4801 2607  -833 -2839
-1649 -1191  4001 -1906
1180 6279  -706 1061
548 325  -550 -5495
-3632 -5892  3209 1267
3457 -1684  231 3423
-5652 -1684  -992 1817
-21 192  -3640 1865
-2764 -3355  2120 -2124
-3646 381  750 -674
4698 -3066  3432 -2733
1524 4716  1125 5824
-1475 -4018  1560 1369
518 -5754  2281 494
-1203 405  1713 -10612
1856 -490  93 2974
-465 -2299  -2290 2320
1911 -3463  -152 2689
5224 -944  -1775 1282
-6650 1250  -2618 -763
229 -1694  -1566 3187
-4416 -215  -136 -332
-1693 -8285  -3965 -234
-1003 -1834  2734 -505
-1467 -157  634 563
2010 -183  -2061 21
3445 -3599  -1258 -1211
2517 1312  -212 -3472
-638 -250  -1961 -2757
-1092 -302  -3235 6122
-958 -2895  -2822 102
-364 687  805 -3251
4689 -299  588 -4950
200 -390  -4541 -2505
-703 -4329  -4285 -2647
-2459 -262  -1537 5701
1950 -3627  3264 724
-1695 -3110  -605 -340
-949 2759  3553 2822
2334 397  -2636 5142
-3966 -3735  -412 -730
6025 -3075  4447 4664
3575 2157  2658 -1029
534 -6035  -3997 -4785
-3263 2668  2708 2389
