-1867 -2337  -1080 -1124
-417 -1398  -3800 -2594
2167 535  -2248 -3408
4615 -981  -1486 -2138
-5880 -2233  1465 -446
-2479 -1031  -17 -1561
-661 2044  1208 -1574
1916 3281  -2300 -3570
2305 -2612  -2652 -2112
1266 2282  177 -1827
-1701 -226  163 1910
-495 -1115  -2761 2905
-792 -824  190 5919
-1600 3311  -4945 -601
2801 1389  4211 -3374
-3317 -2989  -1146 -555
1282 -3013  -990 1327
-2460 -929  -1566 4206
304 1910  -4907 985
-2913 1051  -2432 148
-1337 3543  -2089 -7226
-2113 -1031  3136 -262
6214 593  1275 2257
3015 -1505  -3711 3483
-1043 2476  5028 3907
-5548 -4210  585 -1441
944 -4421  4867 199
1170 1529  -4329 2407
3616 -4812  862 -8434
-4621 1376  -987 -3083
3472 -4002  -233 1530
2615 -1142  -2986 1818
793 -1509  -1613 -1978
6202 4368  1028 1920
1653 -3166  -3092 -5255
1793 549  786 5253
3678 -2450  -7096 -4212
3442 173  -3638 3852
5481 -4214  -1059 827
5048 -5293  3564 1274
1780 -4156  174 6329
-2023 -3674  -821 1886
620 -543  -519 48
-2751 841  333 -1555
-2295 -465  -3920 -75
2099 602  -3788 2253
1210 3891  150 -1225
-1713 4635  -2854 -3006
-43 1256  612 -5526
-868 -5154  1927 -5962
177 3332  -927 2636
138 2430  -1168 -405
-4405 798  2095 -1092
1264 716  1729 823
-5385 -1685  -719 -3072
1313 1060  5882 -2567
1186 -3164  4378 856
-3840 3758  -1220 -1386
-1707 2664  984 -4122
-2782 5146  5094 -2963
1441 -1076  -5107 9674
-1621 1077  5244 143
342 7764  1885 1713
-4215 4943  2123 -4653
2240 -608  2978 -2260
3590 -825  1458 6410
6798 -3898  -2254 -578
6574 1557  2391 -3670
1694 625  1461 -5517
-3941 1876  -2325 561
981 -405  6600 -625
2985 -513  -3354 -5143
726 446  1793 1956
901 -2304  4403 1241
-31 3137  -4884 -6521
-1788 -2243  -2822 -2813
-1277 -2360  -1431 2519
3265 1941  -2247 -1361
2492 191  -911 1860
7056 114  -1466 -4905
2089 3972  1339 2180
632 -2479  3920 1372
-1910 237  1081 3654
1590 -3458  -4756 1695
-1498 405  1454 78
347 5246  4334 -3296
4452 -2105  8149 2999
3602 888  -145 6670
-935 1453  1821 -455
2457 677  -4755 1866
2572 -2663  -1419 1491
2070 1951  -1320 -3419
-1245 6058  2985 3358
-634 -2508  747 558
2367 6466  852 547
294 646  -110 139
-4178 -4052  -2858 -93
4111 -2352  -7 673
-4010 1331  -2680 1060
469 3221  155 3434
427 403  135 -2066
2578 -598  5249 2014
2531 -1831  -542 1660
-2728 -421  -2955 -36
-1340 1869  -3313 1344
715 3321  -1798 -4406
918 4468  -328 1731
-69 3390  3425 -4300
-1752 -357  4130 -2008
-6423 -829  -1280 -5356
-4203 -2766  -1425 2189
366 5698  -1218 372
-1123 -1373  -1974 -615
4158 -3202  1600 -73
3408 1121  -2712 3282
-806 -3025  -2344 -1138
2910 -2169  -949 -2275
565 -3058  -913 -1164
-4775 4620  3039 -216
4516 -52  -714 -3649
5649 -3145  3073 -2297
-1342 2184  1903 3985
100 3260  4106 -1232
-2360 -637  -313 1371
-828 -347  -1137 2017
-516 -1827  3123 2503
1010 2785  -175 -2766
2774 844  -1441 8653
-978 325  1156 -957
-1834 2988  209 3108
-695 -1828  -5610 4355
-3447 2781  2147 -2852
-195 3933  -4031 779
-492 5018  2492 421
-3388 -470  -4653 -529
957 3983  1847 282
-1378 -119  -1504 -3680
-441 -2493  4447 1536
-6020 -2695  -1890 -2124
282 7993  1574 -4501
3515 -2059  -3963 -2906
2550 2193  1524 2932
-2598 -3167  678 -1757
-1305 -251  1067 -1546
1025 3405  -2686 2207
2210 2455  1374 -543
8217 -2000  2090 -1970
1805 -2815  1613 2945
-3836 -3561  1560 2184
61 172  519 3650
356 -4128  -1327 -1462
-6287 -1452  732 2486
-385 -4014  795 2621
-3682 2134  -4785 2734
5418 768  3570 -3759
-373 466  6168 -5123
-2168 923  52 -4648
-1885 -3553  2787 -3806
-3242 3005  -2618 6812
3606 1316  1334 -1090
313 -2070  3218 1659
-2053 -3152  -2084 3068
1994 3617  -8261 -1734
1469 -752  444 2804
-3912 -1795  1731 1224
-7361 -7067  -3648 -2663
-1714 2888  -4482 -880
1673 349  -13 551
342 -2164  2587 482
4615 3141  2744 6
-3965 -1048  1316 789
4904 -220  -1554 2420
-4287 991  4018 4304
-2491 2453  -1900 1903
-1455 -120  -1687 383
2878 3478  -2968 4044
-925 590  3572 -4370
-2071 741  -2983 440
-1122 556  2260 -5806
408 1051  -1654 -2569
-3695 -2855  4376 2162
-1435 5332  -802 1743
-1622 -2963  -1091 3882
1318 207  -110 -1378
-4519 -1079  -867 -2608
234 3689  -725 -3605
4287 -342  2005 399
-49 310  -621 -2221
-542 1170  -253 2361
1101 -802  1658 -4234
-2200 -1218  2077 2092
537 -1459  116 -4950
-1568 -1720  5751 875
-4241 -4077  371 -5031
303 4842  2654 -240
282 -809  2205 -2977
5620 1874  3839 778
-2282 4693  6753 -3682
-5095 -781  -1734 4155
-3982 4109  -3087 -2852
-699 -3394  1590 3272
1385 -3014  -1301 1372
494 -4232  1570 -1369
1 464  -300 1416
1447 1556  479 2015
5780 3123  -1841 2010
-2679 -193  -1976 -880
757 -1655  -1504 -2361
-525 4683  2012 537
-2746 656  3180 3396
-7973 3415  2137 1180
-1656 -4130  1172 2248
3409 2746  724 841
-2737 3183  1275 -3286
749 4739  -2170 -1821
-1640 -3010  -2611 -703
-1071 2388  1030 -2451
4138 -2159  1544 -1570
-1905 2294  -57 9764
-524 4193  1696 -1060
2177 3426  1491 5671
-1113 -4477  1680 -1938
2711 2740  2144 -870
-2632 -1915  -1622 787
-4236 1948  -1629 -979
-905 -4633  84 -55
-557 -5769  235 606
4736 -4656  -340 -2593
-2320 -3046  58 1226
-2687 3346  -2622 6987
1303 -162  1211 3369
6 -674  1002 1782
-3040 402  -100 2445
-5023 2325  5174 340
-794 1786  -278 4748
-3149 2399  -4550 -2922
7041 -5376  -3109 -1678
720 -1005  -1333 -3362
2277 1063  364 -1491
523 1789  1131 -1470
5184 677  1765 -2296
-1761 -1838  2191 -1441
1423 1250  -1295 -2002
-343 1025  2800 3934
2746 834  734 7998
6776 7175  1919 -2773
-2470 -1202  -2433 -3770
482 498  -394 -3523
-1027 -1124  -757 -952
2900 -2109  54 1349
3985 -4523  -3789 2752
4513 2733  3934 3776
538 2944  -391 -1953
-1873 973  -3049 55
3789 1339  -4296 3128
-1151 -3097  4028 -2461
-2060 609  -100 -146
5906 -159  2470 -3267
-4372 -3617  2865 -3949
2421 254  -4860 659
-2354 -2430  2755 1500
1997 2758  -1990 -618
5318 -2068  -232 -3430
-1626 1228  3000 1764
672 -3319  3517 605
587 -1447  1895 4025
5668 779  225 -8039
587 -5061  72 -35
2953 1568  -2771 -6334
-3022 11  -3283 2923
-1337 -2265  1753 2433
-1435 2447  -3466 -1615
-1323 -309  1041 776
2180 833  4229 7087
1184 -1559  3618 -1770
1828 1276  -5525 -770
-2079 -1658  -2107 -518
-676 3617  1983 -439
-2081 -2313  -180 1817
-1272 2146  2791 119
1612 -7271  1215 2476
2794 -2114  731 2681
2916 -1016  -1701 9022
405 -3655  -3280 2853
880 75  311 -3318
1171 3018  58 3532
2308 -154  1456 2536
2298 852  1654 5525
-7227 -1517  -3085 -3177
-2190 1531  190 -732
-1717 2247  -316 -424
4058 -6319  1503 -2600
415 -2136  -2406 -1023
-1069 457  -25 542
-223 -4306  -482 1057
564 5115  2028 1659
-1117 2158  -1958 47
-3643 -2271  1311 1604
-3012 -868  1165 575
457 344  2352 -1544
-528 -6212  -1135 2147
1248 6411  -4327 2813
-4120 -2737  1793 -2541
1568 -976  -711 -5481
-1852 901  -2104 4114
-2847 -3088  3784 -3636
-2399 2716  2318 -7455
-732 1526  4087 917
-253 -3712  1121 4250
1471 260  -834 -1582
-1403 -543  925 -2322
295 1761  5 -1704
1219 5077  -2071 1070
3190 -4205  -797 1747
5389 665  -1562 -6292
-2865 4241  -1947 8805
2331 2383  3493 -791
-2285 -3354  1523 -3318
2245 -595  -744 -859
1900 -3974  -4771 301
-4212 -1433  -2823 -3777
3235 4406  6119 4810
4260 964  -901 -1884
55 958  1437 -3494
1533 4160  -4803 -64
-537 -2825  -2739 1633
-2179 3577  -3232 271
5973 6558  -465 -1045
-3973 889  -4264 1814
-3807 -1389  -624 1270
-1852 -213  2653 36
-4385 -6187  3896 -1227
5024 -412  2479 1410
463 2600  943 124
1180 449  1489 -2612
1331 3240  -3298 1895
574 -4893  3333 2821
703 -447  -1662 3718
-961 896  5551 3280
-1449 2441  3170 -1463
-27 2991  2322 4369
7065 -4680  3554 2542
-1177 -2175  -3785 -835
935 -2567  622 -1731
6516 1526  -5081 -6079
1172 898  -972 -6199
826 2549  -3423 2640
2960 -1096  700 7063
1124 145  -434 2416
3215 1416  764 3356
-1406 4145  -1481 -300
-5620 2614  3043 -169
-532 -2524  2025 -1881
3029 2346  -875 6123
-2043 1557  415 6980
9 -1085  3060 -7738
4206 2307  2783 5926
1660 -651  -4731 562
-21 -1061  2608 154
1331 -4107  3690 3140
2230 -4833  4153 -1147
-5968 824  -9093 -369
2673 -1197  -2373 -4224
3764 -1667  -352 923
3956 -4776  -1383 3439
4915 1172  400 -3961
-887 -935  476 -1276
5214 -1203  4856 -864
-2971 1041  -3138 10
5557 2269  609 -4811
825 4787  127 -6233
-318 -4915  -6078 228
-3880 -2100  -2866 70
3509 1295  1667 -3584
109 2436  83 5112
2256 -4975  -1977 4795
170 442  -992 -937
-1503 -1018  -3106 -2860
697 4821  1548 -515
1805 -5031  3234 6369
-940 594  3192 1168
-579 -4789  -3056 259
1437 1375  -3713 -1996
1872 -62  2103 4174
2039 -5908  -1846 58
3960 -166  3144 -1678
-516 -3712  -1931 281
1654 142  2802 -2969
2640 -4858  3343 248
1656 5225  -950 496
-718 2467  -2313 762
-473 -2479  -5891 2344
-4559 1233  -783 1232
3401 1619  -1124 -3982
-1077 286  -606 2236
-244 3346  -1760 -2307
1998 2695  -1987 -1494
3631 -2612  -1976 2733
-2011 4743  1320 -2267
-545 -1847  4237 -783
-423 5622  -2497 -1741
-7065 395  1653 1348
2757 -1428  1445 2976
-2396 2010  -3052 -2782
-2532 1742  -1089 3066
2039 -7314  -4499 1031
-4219 -1723  -5093 -3528
3995 -571  -1123 1136
639 -1956  1765 3372
2913 -3968  -1419 1402
-1566 3618  -1619 2200
-2342 5698  -3226 -3097
-2343 572  -4422 -2295
-769 4955  2459 347
-936 -5472  2361 1040
-294 -2231  947 -6197
-1714 -48  -2838 1630
-4875 2280  4317 -4746
4611 -409  -2762 -1733
6723 -2336  -17 -852
-512 7653  -2638 2480
-2289 684  6925 480
1447 202  -1690 -213
2210 -405  467 1245
-1611 5682  -3123 4318
754 -6378  -3874 -1919
-1335 -3311  -3315 -3028
-1121 -1751  -5161 -6647
3938 -3539  761 -2899
2686 2153  -1814 3026
1777 -890  6463 -56
4726 -209  -2288 612
-1936 -1609  1793 4949
3853 1902  -1535 -1044
2433 3820  2415 -682
1547 -1902  -592 -6696
469 -376  -550 -341
2684 -2306  -8 2722
-1019 2600  -5645 5391
-461 1244  -541 3454
-196 757  -1143 249
7174 -633  -2499 -2119
-3149 -3848  -4089 1672
78 -4730  51 5269
2040 -508  2978 -1558
-3420 -540  -1 -4731
-456 -219  4207 4041
1882 -873  -5215 178
6735 1999  -3980 2825
2153 3880  3596 2832
4548 -2074  565 313
3635 -3271  4945 224
-1577 -3328  631 272
2903 -1464  -3780 695
-4023 342  49 1974
152 1833  -1441 -793
2201 -3221  3180 -1207
2694 3759  -2670 -4455
2951 -2154  -938 3540
-1228 1944  -3766 632
-6892 -860  -990 1530
4550 680  5051 -1165
-3391 -2961  791 -3861
-1095 1235  -3226 3477
-5042 -1511  242 1147
321 3958  -3194 -2207
-680 -3448  -724 -1592
6025 -2967  -887 -490
763 -736  -3824 -104
-2630 1825  -7256 -4137
5871 -2965  3730 4963
2527 -922  -3706 -3925
2726 -283  -1047 -2204
-3405 1151  -3643 1535
-689 3334  -1753 -366
1613 1566  -2556 21
2885 -1779  2557 -3758
-4186 377  -4589 -1242
1485 -1522  -3574 2325
515 132  -2274 3211
200 1872  -2857 3191
-4706 -3916  -606 6216
3863 706  1424 -730
545 2311  -3713 2069
-3616 -1761  961 -1176
1966 -2330  1482 -4151
-958 1253  -3129 2684
2390 -501  -3349 -1949
253 257  4336 -3382
-8416 824  2199 4992
-2214 -4480  2430 5283
529 1167  1647 538
2266 -2945  630 -4923
4939 2575  3544 1884
2148 -3270  4650 -697
-3584 -1681  1645 2689
1604 445  -2090 -2328
2817 1019  1828 2635
6099 -1642  -2576 -5451
2161 -3266  -3366 3770
-3450 -4461  -833 -892
-374 -2822  2705 1777
1834 3899  -512 -4200
-1128 3315  -1940 -2271
-288 4118  1279 4624
-3180 -2456  -2548 -5263
-3584 1056  4527 424
4492 442  -515 -5312
-4707 -815  -2741 3739
3764 2327  -1740 -596
-1378 -442  4931 -2444
4875 2979  -2539 -1711
-2214 1669  -355 2130
-3299 2493  -6752 22
-1397 -531  -811 1809
142 515  355 -5229
-3580 -1584  3221 1458
3616 -1242  -1706 268
-2949 -1870  -52 -3362
3690 -1495  551 -2341
529 159  1505 778
2348 -2425  4807 -781
1214 1376  -2030 -2810
-2525 -1667  4703 -3781
-1303 1379  2177 582
1225 2078  1299 -3908
2046 -1203  510 -570
-7776 6452  5051 -4741
-5318 -1501  -1013 -737
476 823  -580 -971
2183 -677  394 -1913
-532 5314  2731 -1015
3620 -1059  244 8193
1402 -1498  -2975 59
1370 3781  -3935 -6136
176 -2417  1168 1306
4421 -2684  -1332 -2307
-1533 -449  3089 -1239
-2982 3251  -1753 4774
985 -654  5507 4202
1469 2499  -1262 17
-507 1218  -290 3383
5118 1823  2026 2437
-1114 2281  3095 -992
-2054 856  -2274 995
-541 -1254  3530 -3613
1000 1003  -556 5534
1336 7735  -7248 -1953
-917 -1049  1934 3926
3694 4489  1289 -165
576 -2634  -681 3324
-2096 -2058  1950 -1319
3254 1110  957 142
-486 -2671  -7934 2729
4080 -4884  -4305 1656
-1332 2815  3662 -2032
-1289 635  4324 1857
3751 -1422  -3368 -155
3788 2121  -2178 706
4503 -2875  -1752 -1560
-1052 -1526  -764 622
2832 1480  -1874 -1001
7210 -2291  1950 3370
1901 661  4143 -2346
-3130 382  2568 -3230
-3243 2945  -1468 -83
620 1443  -1812 2943
-2351 3004  2954 922
-894 317  2208 2909
2268 -2450  -1634 2614
2735 -1  -621 -1137
2309 977  577 2153
99 -4938  -3005 -458
-5120 4378  -2888 3674
-2458 418  -7210 1860
4894 3981  -2317 656
-1697 -2444  -1723 -723
-3071 341  -4766 1722
1603 -1111  5938 -1628
3746 -1601  -1016 887
-1560 -826  110 -1768
1651 3046  1821 -2698
469 -4102  -2100 -4243
250 1638  2123 3163
4012 1289  -826 -1309
2208 511  -977 1490
-3931 865  -4413 771
2037 4752  -1945 1945
3977 112  668 -3583
-60 4184  5041 -2420
-266 493  -4476 23
2205 -1830  3344 2029
-139 3474  881 -2888
-4702 929  2628 7524
-3096 3269  -1948 670
-2238 2982  -2144 -855
-2854 1909  -4134 -1899
-1836 -2534  -1945 441
-2191 2403  -1496 546
-1245 -1114  -5796 -324
1647 3054  -780 -1728
-1373 -176  3619 -1155
4210 5092  2684 3347
1166 4280  2928 5386
1247 68  -1842 2534
4026 938  1895 -909
3889 3778  1732 2689
-756 3035  -3151 -1257
2338 -1845  -2139 5740
895 -4386  2925 2920
693 6230  3682 -74
4811 -463  5989 -544
-2100 212  550 -958
-1672 -1886  110 -1980
7440 -936  5751 2084
-3675 -469  1286 3688
-544 -1470  -2192 577
-2485 -1885  8804 -2122
-125 570  3108 3025
1685 4196  -3719 467
3501 1900  -537 -1590
-6208 739  7244 6481
6304 1494  -2526 929
-4088 -596  8898 -896
-3482 -427  -2343 -723
1611 3000  -3179 -3425
3736 -722  -766 -815
3064 1010  -1290 -1827
-347 -2188  5515 -2121
1675 -2643  -6512 -1957
1592 743  5556 -1825
1489 -1358  -2503 -1339
3051 805  2108 2413
1479 -1434  3863 -743
-2350 -207  -2598 4460
-315 1199  -3706 2260
1772 -2972  -1459 -3027
-527 245  4323 4026
2046 1108  1630 196
-2507 -4375  -1902 -4707
-3220 1412  108 1256
-425 -2649  -6111 1393
2912 317  442 1864
-1090 -480  6382 6861
-1222 575  3207 2478
-1598 -1789  -585 4149
753 -1930  30 -3007
1662 -5720  6199 -742
-1269 644  1152 -398
-2492 -4349  -229 -4884
1667 -1048  805 -122
1040 3136  -5469 -1097
3996 6720  7090 -819
-922 -4630  -1414 -1302
-2098 -3188  -812 -2459
-4456 1573  -5282 1017
3740 -2369  6244 -2449
325 6642  -179 890
-2623 1010  357 -3843
-737 2089  -5214 -2200
-5705 -679  -2104 2251
4395 -576  7018 2071
-51 2329  -2416 1181
50 73  1158 -1908
-3147 -810  1817 -2280
2193 2517  3206 -3761
2224 -43  -485 4363
940 1507  5297 2386
2777 -1547  161 362
-210 1051  504 1530
1185 4658  -3915 4574
-1202 -2002  520 -7544
-19 -216  1264 2725
-2421 701  -3303 -1499
3007 -761  5952 -1335
1428 -461  -1138 1926
-5479 -128  2394 -1715
-131 4499  -2481 -3277
3127 -1182  -1807 -4267
2106 413  -4021 -2162
-3028 -934  -2741 1030
6307 4498  -1448 -94
758 316  -2516 -365
-2045 -689  -297 -4107
-937 -3984  2874 -743
5590 551  2292 4681
3383 403  3404 144
-2083 -5925  -1747 2954
3642 1105  -970 1790
1258 3695  985 910
-4966 1709  -4400 -1729
-2576 -4347  725 1292
828 645  -927 2106
2505 3965  -1726 1974
1862 -4860  5583 -3198
244 850  2250 420
164 -2140  1661 -866
-2880 -388  3603 -3074
-1242 -2647  1694 -776
-3291 -201  -2159 -865
-3875 470  -787 -1089
-3038 -186  -3334 2611
3502 3568  1181 -1514
-236 -2194  340 5267
-3831 -4008  1407 959
-1685 -4975  414 1242
-6126 -3237  -628 2338
-3830 -2126  1563 2320
717 -3901  -2249 -1301
5510 1992  -1446 1475
-1881 1589  1077 1395
-2355 -3122  1887 1684
-4150 2162  -1010 -847
2895 2027  53 -4599
4467 3709  -1080 1335
-1740 4821  -1689 422
-1211 4580  -408 4312
1048 -760  140 -3412
-1783 2217  564 4063
4185 -3707  3051 2481
-134 1073  2498 3028
2401 -2991  3842 -2001
-368 -4919  -581 3203
4521 3654  -925 -3766
-2165 8175  -6116 -1403
3566 -7130  626 -3241
-5023 -883  -1977 2741
-743 -1958  287 -5705
2213 -2624  1331 -897
2460 432  -1399 3587
-1207 275  2980 2498
4353 -327  2210 9279
153 -2322  1657 1107
-4526 1146  2757 -4760
-2436 -3868  -479 2262
-3378 2514  1435 -2209
478 -2662  -2601 1905
-973 -1270  -815 -342
894 4781  1041 -5809
-2312 -2698  1899 -98
796 3142  230 -634
105 -1837  -2214 -2993
-2082 589  -1521 -1168
2704 -2167  -810 3541
-2510 -1196  1952 -2921
-266 1236  1845 -1448
2105 6595  593 6031
-4090 -655  2619 1409
-3261 -162  -1377 -263
-2880 -1863  2801 4007
2420 800  -5769 -1298
-5161 -3  -721 -757
-3132 3050  -4894 2000
-6772 -2431  -1541 1582
1606 -2533  -4322 3295
-7206 -1797  -1485 1241
266 -2057  -138 1237
-1883 -1619  -2540 -2559
-4465 6843  586 -1603
2091 878  -1017 -1675
-3811 -343  639 3822
614 -1498  -3589 2761
875 6599  118 -2915
-1288 -5526  3626 4123
1637 -1225  847 -86
-2381 -1988  -846 1935
-2837 -42  -750 5377
-1386 -4476  -2160 -3403
555 1137  -3091 -2507
1162 -609  439 985
-3649 3692  -419 1011
1470 2268  665 -2472
-3152 -3444  -2133 -1503
1372 -2739  3772 -2075
-2049 -1654  3143 556
333 -80  -236 348
46 4917  1163 -3018
-756 461  -3655 -893
-29 1199  570 -828
2628 -2468  -365 -1660
-2661 -409  1884 1191
2287 2987  -754 -357
-3211 -5259  5384 6622
-219 1836  -84 -1622
-3045 2128  -4168 4432
1989 -1628  -1196 -1360
-1287 -4865  14 441
4380 -2837  5669 -2296
2040 3064  -392 -2831
3525 1948  155 -4238
-414 -3785  6256 1790
-2850 843  -296 -3071
65 1970  4760 1806
178 2155  3813 -3702
1471 1152  -5500 2588
-932 -3239  4607 4038
688 450  -3613 5270
-550 5113  506 -4937
371 -6630  -1387 -4030
-1484 -2247  -641 412
722 2942  520 90
-4574 -2065  -393 -1110
4979 2659  76 1344
3187 1041  3132 1828
-2644 1317  -1875 -1831
627 -1949  3932 -4411
2507 -3987  -3989 -97
-3470 -2756  -2513 -744
-1207 -3204  -1014 6428
1249 690  624 831
-1800 2163  -1787 -1221
2228 -237  487 -3748
7214 -2683  1082 -284
-357 3472  -1411 -775
-1316 1227  -741 1349
3336 2900  -1818 -950
1747 -1982  5304 -1673
3503 -2445  -1972 -4824
1419 3348  -956 -2664
2923 -2463  3275 -1968
4310 -2169  -574 -2822
-2920 -347  3337 -371
-1648 -567  -627 -1196
-1924 195  -796 -808
1607 -2227  -4 1177
1958 2790  1350 1112
3709 -2258  -1019 5
506 -1330  -505 -4351
-3857 809  6483 -4529
2846 -2071  -4087 1422
-1639 -4460  -453 3471
-2587 780  2845 -1510
771 646  -3791 834
-8511 -275  2809 503
-2119 4424  5830 555
-328 5167  -3430 -1151
-1525 917  -246 -852
4695 -1613  -5898 3460
-2466 -6580  1714 -2413
1201 2675  -2593 36
-5089 3836  -3062 3503
3130 1165  -1754 6967
-710 1356  -6028 1514
223 -409  -5707 3192
-1551 3234  3148 -2282
536 1935  -6730 -1007
5459 -2276  5669 -2989
2908 4913  5898 4510
-1097 3296  -1546 386
-469 -5771  29 -1463
-68 -593  774 3053
-3013 -7760  3783 36
2906 1533  -2606 4212
899 3474  -1338 4195
4276 4415  -216 1024
-449 906  3053 -981
2149 3965  -2198 -614
-188 6406  2045 190
1100 2260  -494 2638
-419 -4537  4151 2382
-748 5212  -3038 -1686
1647 2845  -498 -1116
-90 -6057  2468 -4395
1322 -1798  2948 3091
773 1322  -842 7324
-1097 -920  -3170 2983
-358 1431  3645 -1018
-1483 2687  5470 -1942
-473 -3871  1529 -2653
4114 1502  -8105 2379
-4145 -822  159 3685
-1345 371  -3155 722
-1946 -1928  1455 3244
-1729 1090  -1363 337
280 258  -2403 -1800
-3030 462  4556 -1024
-796 -4291  1102 6969
-1314 1309  4756 -1365
-993 4030  170 -1448
-4239 2755  4301 -3846
-1525 -1937  4300 -817
3326 -3103  712 -122
-1663 1928  -253 640
6901 -1576  -17 3083
567 2245  -2670 -4208
-3916 1326  -4513 -231
-7988 -2707  979 233
7950 -2653  -1219 -4440
-5324 36  -1114 3965
-5790 -2899  -679 -3287
-2829 1790  -1802 -1307
-1915 2687  -940 -273
-485 -5499  -2072 -67
413 398  208 2779
-2323 -2471  1377 -1566
-441 -464  -1073 3034
4169 1552  -697 -2143
-2521 -987  -388 193
-899 -1475  -3206 6499
1648 2355  -48 -3561
129 -1017  -2300 -3769
-6992 3436  -3013 670
3355 1029  759 5509
1363 284  -3781 -1627
1805 -578  3936 3726
-3262 -961  2154 2083
-1848 3414  -3265 -2928
-524 -1089  -1569 4684
-772 5016  1116 900
-3534 1089  4290 4000
800 -3298  1330 -2314
2306 -257  -1395 422
2002 2162  1970 909
3091 6506  183 422
-481 -953  -3945 1880
-154 -1040  1553 949
-4457 557  3634 -2242
-1430 -4663  -1129 -2698
-5197 -5232  -1354 1488
1735 -841  -1181 -3384
-19 522  2526 6536
-1926 -4202  817 3980
-5384 1992  -2161 -2781
6495 3461  3121 1470
86 -1632  2505 376
-2407 -5870  -7577 -2516
-3224 4484  -1355 867
-462 -1691  5567 4496
-3001 7444  -1261 1306
2534 15  -63 -1473
-2762 5180  -2047 1094
4400 1091  829 -2969
-1472 -3551  3685 1716
-4490 1001  -1553 -2492
-576 -2787  6093 65
244 -3342  537 -273
5833 169  -2040 -30
-728 -1469  -3130 -2098
-1925 -2024  3348 -2348
-1480 -1804  1126 1059
-2060 -3589  3176 -2918
-2008 -2582  1672 -868
1427 -405  -1173 1014
-877 2778  -1471 -6921
-1784 -3907  3630 1939
-984 -2927  -1846 -2084
485 168  1522 -1475
2138 -3884  -756 -2621
-3190 -2762  -3322 3146
21 -234  -2924 -2257
-1137 2451  3649 -3132
4581 -2323  627 -3081
-6162 1122  1529 -5594
1439 -1788  -1364 -4235
