2899 1062  -2731 507
472 -396  -423 2015
-1825 -1694  965 -993
146 -1335  407 -2353
3477 946  -231 1415
3470 3755  623 -3429
3456 -600  713 -10159
-4242 4916  215 104
-352 -256  1363 111
-1074 -1464  265 -2524
7197 -4537  787 198
435 -729  -1337 -2741
-59 -4553  -1017 -4348
-2721 -4441  -1037 1815
-3057 -1649  553 1162
-358 1406  7058 -3980
621 1967  681 4538
4458 772  -2676 -6352
-4672 -2229  -3801 -5182
1622 -6053  5504 860
-324 1343  4201 1528
342 639  -4256 4310
-5348 -126  3785 -1210
4283 -4487  1356 779
-5864 -1788  1451 -6948
-5471 2661  -4328 1911
-2373 2177  5133 4096
3300 4898  -2324 465
3711 1355  -4403 372
-1366 -2418  1242 -121
2267 5165  1764 -4344
-4144 -140  -4041 -1909
-5517 527  -2432 1866
4210 1464  -2891 435
-286 4077  2008 -5526
1304 89  3463 -217
2534 3001  3242 -106
-2740 -1747  -757 6605
4250 -1950  2214 34
2326 -3982  2205 3000
-6572 8220  -1158 -3126
-580 -3412  -2085 -2232
-1676 -4033  -3719 -1121
-3397 -7912  3853 -8023
-3050 1667  5047 2241
-1037 4770  -4229 -3213
898 -1442  -1171 3387
-2305 4199  2958 -3169
-86 -748  1351 1131
441 2183  -2270 715
-295 -1920  852 2307
-2391 -54  -558 -1585
6183 2646  2022 1165
-913 1104  3828 2169
-4774 -1093  6140 -3766
-2272 1239  1036 -4163
-3820 865  -1506 2542
-4078 5305  -4750 -1761
-1872 5351  -3594 1174
-2290 -1813  -581 -282
1456 759  -72 1042
-4498 -3045  -69 -2650
-5258 -2370  176 3559
718 3612  5652 3658
-984 -164  -352 -5195
-6104 -2190  -5000 -3798
-5689 3756  -3333 3419
2073 3944  -2233 2546
4399 6252  2771 2461
-1423 244  -117 -150
2536 3736  1388 4671
1668 -5116  1661 -1439
-2512 3544  -2970 -917
-1592 2428  -723 365
-2254 2685  -1970 1499
423 194  461 580
-3842 3259  6318 3325
2817 2438  1951 892
-2348 -4514  -2389 -5008
-918 -1100  -5440 -3526
1632 66  -2779 7216
-4642 3936  4804 -2446
-871 -1536  -543 -3161
1822 5785  586 667
-3249 3272  2473 3843
802 3915  -1276 1183
4676 -652  978 2190
5268 5698  -1302 1938
6830 -654  714 -630
-546 -1704  1086 2158
-3892 3594  -6894 244
4296 -1224  7120 -1043
4988 10  -1048 -3130
1444 -156  -1526 -751
694 -656  2334 -2167
4474 -2632  832 1142
-8504 -3542  -2766 -1449
5756 158  1476 658
-5840 -3405  -1764 -2838
-2933 -5570  391 -1166
312 1085  -1442 2920
4929 -2678  8931 1676
1864 4354  2339 2420
934 -790  -575 1874
3144 3634  559 1110
-7262 -3466  797 -1784
1179 3355  -900 1363
2013 -1387  -5778 -491
4767 -1873  -1260 645
-1223 2597  5442 3135
-2672 -1624  3828 -1657
-3820 -678  -2736 -2513
1476 1392  6394 -3097
-868 3646  542 1675
-741 4210  6725 -2807
7613 1540  2528 -32
2011 2134  -3021 1213
-503 600  276 350
1466 -1654  -878 -2515
2233 5543  -38 2953
-250 592  2172 6575
3475 475  620 -2385
-3252 5645  -122 -30
-5168 2471  -4832 -1761
-3352 -1247  -982 -1708
-384 -2333  -92 -4293
139 -1657  4124 -3835
1963 211  -84 -2103
2837 1909  -4256 -3533
1801 3373  3140 1195
1985 -1068  1719 3692
1573 206  -1077 1074
3459 -3506  3959 416
115 2748  -2133 -1458
-1882 -1970  -4533 3725
-3029 3655  400 -999
1726 -3576  1499 -585
1485 2687  2014 -2657
1706 -1572  -2176 5449
2801 -1327  -2555 3542
3384 -144  1114 1579
-1075 703  -1807 170
-577 -1259  2621 2852
2165 4821  2337 -4080
3497 -3505  -1639 -2346
-1189 1627  -4239 1722
-233 -1941  -4085 -70
-23 2351  -1913 -663
-7449 1895  -37 592
-875 -21  -2113 -375
-5404 2406  908 -2359
-2307 -2207  -1516 1263
4076 -2972  1220 -2539
-1901 305  -2996 -3281
161 -2363  -244 -1051
1179 1285  141 -1064
-927 -2151  -2592 827
3759 -6307  -2189 944
-261 3670  -1474 -716
2763 4328  -1284 -1794
-6881 1486  -552 -2224
663 -820  -3270 -1530
-902 -1527  -7179 -950
-2123 -540  -1261 -1126
-2988 -1891  -537 1750
13 -2070  -2151 -6798
-2288 4750  1336 -1660
2561 -9  2962 5752
5586 -2974  5396 -50
597 -487  2194 1446
1466 3157  -8 2300
464 765  249 1639
-678 -6759  -3332 598
-560 1597  -1129 -2281
-3236 855  -2223 -7448
-3354 -2111  -22 189
662 77  -237 -2370
284 2103  -618 -3295
-1611 -869  -1768 -1628
-1471 -837  -4066 775
9933 -1213  6728 -4860
781 -2725  402 3013
-2321 1663  324 -3676
-231 3619  -2681 1899
745 -107  72 -1560
2019 -587  1177 709
5320 830  -529 -1480
1904 -2362  2560 -3567
-3012 -3154  -5541 -1930
3576 -4066  -2006 3785
-3101 5196  2986 -4571
1397 3180  -3595 -312
-2327 2674  -6794 885
4635 4070  2415 -5194
3212 281  2116 -265
-3755 -1626  -1973 1771
1886 -1519  -3158 -3997
3085 -348  1699 -1729
-1138 2052  -976 2083
-1475 -1575  2284 97
-3490 -2302  4086 93
647 -2527  1830 7071
-361 -1039  -439 -2470
3263 481  -923 -1934
-1595 1035  3713 2352
-975 2547  -1571 -764
-2904 2  -1340 2334
-885 -2693  -752 1230
2888 272  -546 1558
2745 71  -5038 202
-2509 2298  -1604 -2223
-3463 374  -114 -2553
2261 2444  7266 -2245
-161 3196  2124 -995
2398 -519  1962 1913
278 -545  1064 3231
-4254 4917  5060 -381
-8122 -7305  1022 -279
5163 -2321  1008 568
-3887 3501  -4740 6689
389 -7  -412 484
-1221 -2617  1508 -985
-4272 2180  -1230 -1906
1517 -1681  268 -924
-1342 88  324 -3062
1089 -375  -506 1496
2886 163  -375 -2846
3284 -429  -2007 -3524
-372 -3931  -2007 -6
938 425  2061 -2300
-1058 -150  -1061 -273
-6330 484  -2889 2174
2978 3966  3215 4631
3410 -3200  2519 2360
3467 -675  -263 -2912
938 3198  2513 -3388
567 -4661  2265 3632
-800 -1294  1753 1772
1525 -455  -1259 5326
-5022 -86  -2441 1520
-869 2453  -1865 -720
-2566 2528  -4023 2546
-496 -779  1133 20
-12 3247  -982 -3170
0 -1247  445 -2568
-3220 -3645  -2308 526
7103 -3989  -2852 3443
-4156 506  1973 3695
1705 -229  656 423
3072 1904  715 -801
-252 -5969  -2420 -3871
-271 176  -1334 -3319
2094 -2585  -1024 4551
229 2110  -1718 3531
3066 -1424  -3588 2464
-1763 -3569  631 -8268
-2638 -3538  1058 -2580
-1341 -3281  1679 2660
1963 -1597  3012 -2500
1966 -958  3904 -549
-2243 2587  5138 1680
-790 -3760  874 3025
96 -2129  -1995 -6564
2691 66  678 -2112
-626 3535  3813 1674
4179 -2420  -220 -4114
1348 -804  203 -3767
511 -2943  939 -1741
1622 -420  787 1987
-4317 6055  643 -2911
2356 -3796  4040 879
1875 2387  -93 4159
-2012 966  -68 3499
-8751 347  -163 -249
2126 -2100  -52 -818
427 -1185  -6781 3873
1768 -4780  826 6486
-3101 -2679  2251 147
-695 -3556  2308 -1235
-3325 -3700  1020 -2688
2943 1622  3248 4385
409 514  1068 1714
2650 -1045  -1076 -2880
-5448 679  -702 -3874
-1902 463  1248 5750
-2936 5223  174 -1076
-3145 703  4419 3467
2283 -1511  557 -708
3707 531  2971 2339
1047 -5359  -1903 3906
-775 -5659  -3607 -3372
-1417 -6777  1143 -2335
-1495 -391  -4399 910
-2013 -1265  2851 -575
4738 -1597  268 3015
1259 -5670  -484 -380
-610 -727  5612 1265
1025 -1226  -1712 -5600
549 -608  -283 -439
-5115 -2750  -1538 4988
111 -3734  -1261 2189
4979 2812  -698 -850
3074 -1263  -1370 555
-3568 -1125  1817 -59
-4 147  -1030 1775
1410 489  -4041 5265
-4209 4397  -360 3148
3867 563  -276 5745
-1901 2241  976 -1796
2187 2563  1716 -325
-5054 332  -1838 -2121
1932 -2982  -2022 2666
-512 1430  -288 1527
-3966 -3852  1364 -4872
326 -1829  -2046 2345
-2316 -2839  2757 -3390
-2262 -1385  1456 3547
3944 -6935  -2843 2830
-4526 -1925  1566 4043
-4647 1024  745 227
-5002 -1211  -122 -3675
5339 -188  -4993 -303
5176 -1107  822 1815
-7181 1762  -894 3798
370 -1999  2708 -265
-569 3012  1752 4936
1228 2000  -1033 -1841
-2901 -487  -2749 -2418
1624 -4486  -2073 -1259
4165 89  2275 -5222
-3840 2219  1548 1399
264 1781  2584 -145
4516 -405  -5568 -1053
2348 4585  -1252 3315
-3914 -1970  2597 2494
-1873 123  -2722 -3130
-338 2668  -1997 -2540
-1515 -1809  -1846 -236
2433 -63  2259 3376
-3921 3389  33 830
245 -811  1705 1452
-1285 5633  -3197 722
4108 -4474  -2355 -436
-5268 1258  -3107 2170
-204 1838  -3559 -518
1096 -3238  4129 -1040
1236 -141  -1049 2840
4586 93  -984 -3462
-4262 1693  973 3626
2924 -257  2376 6072
-4944 2674  -1346 3392
-3434 1402  4674 2550
1488 -1294  6070 1828
2710 1014  1246 2338
-5215 3089  -626 774
-1079 481  -5992 -3127
2547 -2877  -3496 -2716
7551 -509  -2474 1757
5431 4054  3767 3047
-3080 -5455  733 2405
1759 -2676  303 31
-698 3041  393 1089
-831 212  4020 -2338
8866 -1941  -4458 5317
261 738  2882 3120
-5148 2035  2312 -1583
-228 -5177  -940 977
5724 -1649  -1746 1019
-4364 -5453  5520 -6139
2824 4111  3770 4351
2956 2244  -3322 -796
1123 -3421  3693 5145
4314 -468  4942 1098
855 3173  -2201 -2951
1950 -1604  -1318 -2375
1237 2135  2050 -3543
-1864 764  -2006 -2871
3509 553  -1046 -2427
-2869 -2971  3061 930
-2913 1765  -279 712
-201 3585  -11001 1550
-7561 3081  27 4788
-269 1931  -3502 2434
-1411 -1687  -4061 -4354
2189 4741  1348 5336
-1705 -4017  -4197 112
69 2104  1400 2083
3112 2615  195 2759
-3443 -1686  2626 2367
1970 3435  1631 2011
-3508 -1996  -3180 -5708
3415 2125  226 5072
2582 -4524  188 2426
155 -881  -1630 -1570
-1550 -2677  -2228 -2951
2604 -1069  -273 4108
1678 3075  -220 1329
-2752 3743  1125 -998
-2688 -156  -3822 -3718
4306 2884  -1645 -1002
-954 5958  2540 2596
-1336 6250  -2833 2372
-602 -3392  -1118 3872
-677 371  -3416 638
-2150 218  830 -5042
-1075 4215  992 688
-5244 -3304  -2547 -2376
-4657 83  -1847 -1005
-426 120  -479 4204
3523 1181  1605 -5303
-1844 5540  -1327 4288
-2366 9978  2217 -2673
3406 558  -4823 2178
-356 2092  5213 -6297
-632 -2041  -3240 -1157
-1021 2258  4413 -3438
-1582 1291  -1418 -2601
-793 2936  -4527 1432
-840 -5084  -565 1681
-950 2800  635 2070
-138 1470  -3091 4127
152 -1366  2061 2614
-1838 4113  -2006 1895
4157 830  -8618 -1740
860 -1831  2028 2971
-507 3080  -1724 -686
1064 1062  2315 1782
3804 4410  48 -2564
1642 -1016  -1945 3892
1350 -2196  -2494 -10
1474 -4070  1850 -2596
-298 2272  1827 65
-1396 68  -3948 -2010
4024 -1258  699 2713
-2977 870  -5890 1938
1509 -1678  1355 -1284
503 290  -1874 -2344
1601 2314  -1219 2902
-255 2334  4682 6247
-3064 3867  3598 -1882
-569 -2602  -2920 2195
-3072 533  -7480 -2404
2777 2501  -1019 3163
-1737 -1661  584 6150
-1975 3041  1519 1121
6235 327  -1336 606
396 -3273  121 555
782 589  762 -2363
2034 -2407  915 -1137
3356 -1757  4682 -879
-5395 -1513  -1234 3689
-577 1549  -58 3112
-739 -1689  -3268 377
627 -2047  2292 3042
5288 2460  3612 2142
-5233 2571  -3015 1587
812 -74  4024 -2800
-4207 -461  -1081 1767
-1733 -2204  -716 711
-238 827  3228 -7112
-2941 70  2216 -3835
2316 1043  -6812 -5660
416 88  1723 510
4090 -132  2266 -628
-1036 -1100  -1837 2256
-22 5260  3072 1162
185 -4813  -1467 1821
1529 3757  -2701 331
6521 -1885  -2245 -733
241 -2147  329 797
1437 854  -2938 2043
-4033 -2078  -808 386
305 -734  -616 341
3031 414  -3418 934
2429 267  -1211 -2112
1311 2463  1188 -751
-2539 -1365  -235 5118
-769 -6613  -7430 -5383
6972 431  1425 -3154
-840 -1537  2170 3854
718 -8159  737 -1018
1418 2641  5360 -2770
-3779 -559  3727 -2750
3161 -335  1272 -880
1481 1989  1601 30
-847 1669  -4696 -3644
-994 -1105  -2249 767
-2240 1327  -2540 4050
314 -185  2701 2167
-172 -1469  -3700 624
5718 -3544  1750 3441
-2369 -99  -2815 3953
276 1624  4404 1731
-8213 1203  3593 -4301
1124 -78  -4920 1552
-1204 7318  -1287 -7415
4692 -2262  1282 -4026
-1732 4706  4565 -2443
-3441 -3531  238 -1965
1737 -681  -211 -2539
4315 2373  2634 -3667
2513 231  607 747
-474 370  -184 -2760
2627 -2975  -3944 1196
-3696 -498  -6238 -4916
635 -3657  -374 272
-3055 -5166  4726 5314
-75 -2324  -1100 -824
-533 748  4362 1936
319 2826  -116 -4742
1901 -2298  1263 1803
2577 -1458  -177 2361
-3433 -5520  -2063 2215
-1301 -1864  3881 -5799
-4782 -200  -147 -1643
581 -301  117 3141
-694 -2418  -4471 3231
-4085 6683  2457 1411
5091 555  613 1474
-1447 -1533  3516 -2167
1469 2865  -2529 -4438
5063 -2279  2408 5371
1278 285  629 -2793
-3594 2423  4575 891
-3082 -323  -2307 -2419
3386 -3573  779 -5371
-3957 -316  5209 -2662
-275 -1590  1863 1101
1129 7870  -3205 -1008
-1145 904  2909 2069
-120 -1630  306 847
1019 -297  -3512 -3701
918 2978  896 -51
1487 -3055  -18 -91
-1452 1590  2916 1788
1854 1266  -3049 1832
5546 720  4768 5496
1480 1000  -543 1724
3234 2299  701 -396
6108 -383  -2600 3901
936 1361  2947 -790
594 -2165  -120 -99
1464 -2384  -525 1459
1176 -2756  -4682 292
276 -2116  3525 -3355
3888 548  1598 -3520
-3578 1747  4173 2569
-1886 -1659  -874 -348
-3272 -4663  1251 -251
-2108 803  2870 -14
1403 -5681  1189 255
3315 2087  1515 -3895
3203 2567  713 2331
-2697 5979  -2457 -2707
5305 536  -2895 -3403
-5816 213  -2671 -1819
1375 -3660  3147 3539
1788 83  -953 1503
-4933 -3506  -2561 1527
-678 -2043  4828 1325
6667 -4864  5253 -3207
708 -1467  -4052 -837
-4647 -985  3233 -3766
540 -140  -4118 2254
-2021 -533  129 1370
-1020 -2314  -3192 -4118
-4367 -498  -3411 -1897
1602 2531  5134 -1173
855 1562  1411 -2051
3590 2981  -2782 -1775
66 -1716  152 2572
-531 5491  1965 -3969
-4292 -2676  702 880
-659 417  -1651 1545
-916 2113  1077 3214
-5325 3476  -208 -5006
-4206 2853  -4371 -4048
631 -1306  7294 24
2192 374  -244 1296
2696 -2038  -1750 1772
-1780 18  726 -2494
3044 -2246  -452 -3586
-900 2751  8916 1103
-1650 1497  1284 4486
-124 -1269  -248 611
1798 4373  972 -3824
3991 -1035  -2680 -5120
-615 -6041  -1704 1545
-1573 4685  -2200 2168
1105 783  5468 4631
-3417 634  65 1628
-1335 -3564  -172 3846
5987 -3246  2939 1342
3117 6728  2848 -2352
2172 448  2031 -1057
391 1163  4384 5858
1952 2514  -1723 2291
-1751 3099  -3744 -3124
-2626 -1125  -1511 2973
6445 3234  1439 340
2852 263  307 -1737
-3603 -284  2377 -512
4643 -461  -1279 4892
-1229 1227  -4931 585
1861 1589  3205 3070
-5407 -2363  -2855 2245
-3177 -293  2284 1844
2609 -1657  5512 -3226
1673 7533  748 3592
-3965 -27  1892 -598
898 -6694  146 7149
4296 2726  2479 451
434 -1210  -2154 -261
3844 -1950  -319 -1251
378 3211  5825 -6142
-1739 -3070  2274 1055
86 4465  4551 3878
-1073 966  2906 2197
3045 1604  -4673 -729
1816 -3313  3781 2426
-1317 356  3929 -5751
136 -3991  -69 5166
2537 -4115  1328 1392
-1045 797  -302 714
253 -3155  -2392 1096
43 553  -2126 -1394
-1280 814  -1690 -2786
2686 432  2199 -3229
-1702 -1740  -2638 2
-852 -834  677 5253
3357 111  -7195 -1632
-4586 4786  -1303 608
-75 485  -4227 2976
1732 2474  -1135 4208
-3065 -221  -2692 1572
647 1305  -1681 -757
5163 -785  270 -4470
-5157 4969  -1317 -509
221 1076  -3465 -4588
1988 973  -1404 1473
3259 2140  -1257 4394
1004 1991  -1202 -4683
2455 -1104  2966 -4991
-1095 -2488  126 -5053
-1987 1094  2700 3959
-2193 -4378  -1772 -1351
1013 -3147  -4452 4984
237 -77  -362 2084
2235 -2009  2 -3742
879 1217  408 3386
1738 -318  -1744 -1991
-2953 -1453  -1221 -150
1446 -900  -3064 353
-5919 -2149  -2275 2440
1382 -228  -6360 1887
1792 2514  3966 -1260
-200 -142  -2452 6517
3214 192  -1054 1144
-3193 3016  486 -59
1551 -1472  739 1637
2063 -724  3564 -505
-2457 -604  -2129 -5825
-327 -2340  -3539 -3568
-656 -3629  -1859 -3637
3019 -516  -3051 5202
-1164 -591  -287 -473
5096 -7251  320 -2655
-2782 -2621  -3883 -932
2724 -2327  3856 37
630 -713  -2921 -4874
-8492 -1908  -2617 -197
-1785 3075  2432 -1531
-3254 -244  177 2935
971 317  4680 3785
816 2678  3753 2852
-2639 -2357  489 143
-934 1958  1379 -4274
-887 253  -321 -1037
-4206 -262  -228 6344
4301 3145  1841 102
2946 -1908  1722 -1000
-1429 -3403  477 -3058
-2645 -194  3944 -1726
-368 1439  241 1141
3759 2980  398 -6812
-4702 -53  -595 -1935
3668 -4174  -1346 -1932
957 -1389  -2674 -1360
2472 -3004  -722 374
-2193 987  -4794 1346
-26 -2020  -2297 -2197
-2125 2161  -8530 2409
2638 2798  1713 2087
-1755 477  830 213
3505 -2113  -5748 1848
2840 -242  4322 -70
-2009 1979  2272 1194
344 852  -4038 -1512
4210 247  -4018 -5254
-3149 878  5945 1605
2750 -1159  -3248 628
4541 4214  889 809
258 -4523  1039 -3853
-4828 4575  -1747 828
-2736 -1537  2915 1993
422 1293  493 3000
702 -2607  1458 420
7181 278  1835 1403
-6772 -2507  -246 -828
369 6264  -471 -767
1449 -703  1466 4811
3795 -3815  -639 40
3023 1311  -390 1013
713 -2877  2639 -124
-3789 -2932  -372 -3272
-1348 5123  4699 3191
2537 -4048  2388 1320
-704 -2703  4349 -4391
1464 629  1443 3138
1808 -4301  2595 3305
3692 -1635  -727 -3440
892 1847  -3999 -3399
-2800 -1579  -2050 2557
1789 -164  354 2022
1470 485  1400 -3107
2189 -470  -4520 -3088
563 -6191  -679 2415
908 -3264  -2254 6843
-409 3639  -5761 -61
-3538 -3604  -966 1615
-661 -4750  -4097 139
410 -4231  -3305 2632
-753 1112  2651 2855
-96 833  -4533 1618
1549 652  -1987 -1339
-1010 1155  -2364 3225
-6143 -1986  4967 4191
-1388 -2305  6112 -49
-3704 -1060  -1203 1438
2471 8371  -387 2305
1302 1852  1523 -680
-5657 -2583  1431 1597
4661 3729  -575 -3162
-73 -4881  3255 537
1895 -613  -495 -880
689 -2811  -2925 481
-5326 2855  1899 -2272
319 758  -531 4512
984 -449  -5791 852
359 -936  -1785 4824
2238 -1596  3092 3121
6155 -3369  1774 -1651
-1104 -868  918 835
-3233 869  1000 1051
2657 1484  4597 5072
-557 1990  -2486 2307
1415 -782  4247 914
-1335 2996  -1850 1699
-637 633  -2977 3110
-669 2427  6600 6109
-4993 -2187  -1045 1288
3219 -3521  2654 525
-1372 -429  -723 1139
-4265 -1198  3474 3068
1366 -5417  1911 765
587 -1284  2678 1308
-3813 3081  -3031 4894
255 -3861  -3019 6
-701 -1287  -691 464
3167 79  -1167 4928
-3041 3388  -560 -5026
1250 137  -3050 -1076
4293 -2548  1314 1688
-1614 -1829  -6248 2538
1900 -969  566 -2805
-2212 1373  -2041 4035
3124 -1093  -458 1519
3412 -2251  -3891 15
-1265 1752  2217 3696
735 1074  -512 -1031
2109 3486  1235 506
-299 3924  212 -3975
-4062 -4810  2282 -2231
805 -3549  1970 -2826
-2246 -3456  -2650 785
2107 3551  -5558 -2392
437 -732  1783 1033
1435 542  -1266 3089
1387 2970  329 -3543
-139 -5264  -1574 -1631
3995 -3257  -816 -736
2798 -2348  -4504 2422
-1099 443  6 -1796
-1578 -2130  4710 -430
2537 -335  540 47
3770 210  3430 1478
2023 1265  -596 4323
-906 -2536  250 708
-5126 1024  -1083 2795
-2339 -3781  -5273 2748
-1044 1692  641 -3131
-875 -2747  -6341 -4304
1235 274  4347 -4260
1652 1361  -883 1471
3439 -2748  -1415 -2536
3666 301  6111 1609
-1619 2264  -442 5563
5918 -2705  -4504 -3331
3967 -44  1496 1735
8626 -147  -4762 257
1248 -1141  202 3640
-4819 1896  4192 2459
1752 -4763  -2560 -3286
3371 -2660  1742 -4689
-1841 6895  -7980 1163
380 2266  -1341 1120
-1815 -2493  -1580 -221
1612 2184  2013 2502
-750 1162  -412 1303
2439 2205  -2953 1413
240 -1622  -4210 -1679
-4421 -1001  -5469 -1757
1425 -3376  660 -1089
-1261 5602  2428 1081
4841 -5880  -2882 -1955
-1645 970  -1678 -1889
32 5072  -3765 -2223
-1346 1364  45 -670
4532 4688  -4947 1587
-58 -3468  4707 826
1334 47  5309 6934
-1921 6608  6117 -838
3390 -3543  2733 -716
-2683 -4068  4329 2704
852 -60  1724 2942
2220 6938  -674 -2925
198 -1614  50 -1304
-2506 1372  -3952 2099
-4284 1815  5659 -1207
5261 256  1637 6645
-2624 -3211  -737 -1155
-5673 -8  185 -1039
3263 -184  -4217 4499
2535 -432  -2640 2116
5369 -1190  -2325 -3223
-2423 -5194  438 2944
-609 2719  -3041 -282
932 -1670  -3483 -1590
1093 -2897  2391 -3094
-2592 -2616  4085 1950
-4047 3428  3553 -2802
-1704 565  -4253 4923
1315 6924  -3081 3846
-3456 -1721  -1567 4557
3914 2887  -286 4192
143 4498  5298 -415
256 195  -578 -4068
991 1384  -3250 2095
-1907 -157  2126 4510
-2014 -974  6461 6923
-1115 -3427  -2158 -500
-1712 -3678  -137 -6241
-1825 -592  1623 1556
-2100 -677  2559 1799
5585 -284  1027 670
2804 7261  -6185 539
2051 2885  1417 -655
2216 1440  -2955 625
-2071 2589  2621 6407
-2400 490  729 -2813
2017 -3847  3406 2066
-3622 -1702  334 4584
-1839 -465  -5428 826
4352 582  -2476 7148
-3167 182  -1000 4497
-1574 -455  196 -3027
3257 -3404  -2740 3235
3828 -1775  1488 1267
4979 -4207  -2654 2025
-2667 1093  -2430 7851
1701 2891  -1682 -2073
4831 1819  -1590 -2847
-3282 234  2082 2670
3670 -6332  -1038 -5319
-1498 -2010  4514 874
222 5380  4466 3543
-1237 -3784  4994 -3054
-4329 -1760  -3109 -2284
-2553 -20  -928 -2714
3059 -2204  3351 -220
-2442 1146  6450 -243
-4558 -2470  1692 -5368
-884 -2216  -1388 -3187
-1504 -760  -814 2642
1094 -1356  -1557 601
-3382 -1278  -3208 301
1804 -1058  2629 -1549
3632 -1348  2660 -4657
-3469 -1636  44 -2864
-2679 6578  2293 1427
-915 -1298  5256 -3982
4667 2796  1179 963
2540 -1174  -3200 4293
-2392 -4196  -432 -23
2578 -5304  -4786 785
74 4922  -2638 -3895
1186 -1232  -3201 -2485
49 2699  3736 8020
