1467 -3821  1049 3695
-3606 420  556 -787
-762 1382  -4352 -1761
-1911 1272  -467 5121
-716 -1084  224 -298
-2581 -318  4757 -305
1187 -2485  -542 3348
2512 3636  133 -826
825 -3056  -1493 -10
-625 -3400  6275 4120
-582 1391  -4174 5617
-6694 -602  -1036 1669
-2714 957  -1377 -1739
1341 -1344  6756 4444
-1708 -518  2040 2390
2392 -1695  4682 987
-2133 -1098  -3901 606
6130 475  1418 2662
-4834 1073  -8510 2905
-2443 -1427  3866 -1772
2699 2305  1896 1121
-486 -3778  4020 -5811
4159 -26  902 985
646 1358  -59 -1061
-1990 -2696  -1181 2870
5618 -1152  -3030 -638
2569 -1417  1009 3350
-2633 815  2004 6001
2014 1824  -2225 5401
-4378 5195  -337 -817
5175 3827  -424 4017
-3152 -4350  155 170
-4294 -543  5990 1084
2104 -3047  5941 771
-3230 3905  -475 291
1066 -3513  4014 -1927
1125 -2890  1711 -4613
482 -3398  -3997 4042
1851 -4602  -3270 -2337
-278 -1667  2778 -1724
1597 -1856  -1130 2678
-828 2629  -240 2047
1545 -3909  -1546 2515
1771 3462  2197 4839
2424 -3050  -273 -2004
-296 -1692  280 -1184
485 717  -12 -52
1546 1198  -3042 6007
-931 -6995  -1481 1463
4410 -91  -631 -5910
203 2904  -3055 -1725
-5132 2603  568 -2701
-2462 2198  1602 -746
2559 -2491  -1554 821
-1744 1149  2281 1930
90 1746  2603 -920
1796 -520  -4470 -2466
-2025 -617  724 -2894
2201 1204  575 1415
2803 4132  -2521 -1964
4609 -5870  -3335 -345
4241 3864  -1077 123
865 341  -473 -14
3087 -2760  4310 2119
-3853 2729  -1557 3310
2665 5412  2108 -3512
244 629  3063 1037
1498 -2322  -3530 1179
730 3956  1868 3079
874 -5911  2789 -1991
-1244 -3073  -3092 6253
-4317 -5948  -3870 1160
-4331 -1022  -1013 3222
-358 3047  1753 -2335
1322 3412  5009 -3962
-5521 -1415  -1724 -5949
2198 -1603  -526 -988
244 1988  -4810 -1235
5491 4375  1498 -4419
-2854 1002  2224 -1470
-2284 999  -1232 866
-889 -1059  4702 1842
-4128 3487  1001 972
2087 259  2222 636
-385 2584  -317 -1477
5449 -2246  -353 -2183
-947 -1954  1660 -2200
4907 72  -12 -1361
-353 -695  -1620 -5705
-4777 2316  -1906 -2201
1069 -4909  -96 -1013
5719 905  -4461 -748
4112 1080  -101 -3691
1132 2945  3787 479
2068 1099  471 2570
-338 2366  -2676 -184
-957 -1298  -265 3659
-3029 712  -2186 -452
4185 4836  444 781
-1514 -90  605 3657
6494 -328  1762 -1744
-3170 3711  8954 3521
-2123 3128  -7957 -3075
281 -7016  -340 -1032
-1135 5789  2359 1597
-1191 2116  5713 -3787
299 581  -3895 -3916
-1815 -5393  1902 2922
2045 -3313  -780 712
-4897 -629  3015 -2051
-2251 -1841  2727 3277
755 -2725  4788 -3056
-261 150  2779 1155
-18 -2199  1258 -1306
-2861 -927  -4083 3259
290 -2719  -1862 -1304
-2400 4508  -1387 -209
5440 -2366  -2393 -115
1293 1  4607 248
856 2950  -4526 -2736
1423 -2349  490 5185
-4010 -552  -4125 -4418
7414 -4187  157 -5072
-3465 -3445  -1460 -1009
-2591 887  -2470 1054
4295 -3700  992 776
2017 5380  -2881 -326
1369 -3978  8 -3260
-1547 1997  -1245 215
3946 -1708  -1236 1279
-3769 -2364  -1533 -5335
-3583 -764  -290 559
-4054 1300  1498 344
3359 -2165  147 376
136 -2625  -510 -4393
1514 1888  -1862 -1065
-1559 1834  -1083 -2258
-1156 1353  1456 -917
-2600 -1759  -924 -312
4025 -2350  -1125 886
-335 -767  -245 -924
1280 -4312  -3164 2794
2153 1386  -4274 723
949 -1480  199 7749
-3285 2973  -1575 3060
-6165 2087  -224 325
-6616 -1449  6010 376
-4968 -1959  1348 777
-2654 -243  -2485 -1295
3765 762  1296 -914
207 1392  -4561 1967
-657 -2914  -4155 -3426
-226 -6144  -606 3213
4051 2891  3260 -930
-2978 4058  2075 2549
978 -1447  2127 1169
-3997 -1568  7324 -1984
1696 4989  -3993 1256
5764 -1764  -2143 1361
-1289 177  903 -1293
495 4645  73 2018
-4656 3829  1277 -1444
1876 745  -670 1077
2622 -3958  -1428 113
-7386 -2340  -1587 6477
-830 7223  -717 -560
1841 415  -642 -5976
2809 2816  -1487 954
-4882 -6767  -35 1993
343 -2005  -530 -2455
-6807 -704  594 152
-573 -2292  -1018 1341
3428 -3457  -4823 4181
3640 2734  -6209 -4099
1351 -3821  3025 -2133
5710 -489  2382 3556
2236 -1395  5632 1392
-1229 2519  -3577 -395
4071 -1044  -5995 -919
-1310 1674  -5698 -342
-3719 -1145  890 1093
-1660 -3378  -995 6566
974 -5311  -93 2790
364 1751  4050 -1132
-4457 -901  2880 525
554 -636  -1081 1
-617 -999  -3613 39
-2443 -462  -3756 -2924
4415 673  -2266 672
1758 3588  -174 -1763
2989 3213  -2624 124
3509 334  2272 2028
6970 -1345  642 3921
-888 1165  -4998 2384
-439 -1034  -2306 -858
3084 3087  -1834 1938
-4511 -170  -1987 -589
4337 2717  2449 -444
4407 -2688  8686 2186
-524 -2810  -1964 1003
1539 189  3205 -2218
1062 -1219  -434 -3539
750 2546  202 928
-1578 3384  -1500 300
-1648 806  -3941 6481
5236 1747  1176 1192
-6083 1281  -6210 478
-1339 -974  736 1153
5042 2085  1636 -1206
1250 717  1599 -8573
-1424 293  191 2213
-868 4796  -75 1211
-4156 2368  3928 -1764
-6952 1770  -2397 2544
2724 -161  -7585 1701
-2153 -1604  288 932
-1509 -1957  -2375 -6735
-551 -5264  -31 -3855
2730 1539  3806 418
2063 738  -4064 938
4341 -5349  -4843 -2767
-2649 -4588  -751 5399
965 2737  -1644 -5036
3892 680  -529 -1755
683 2608  -7552 7417
1571 1691  3446 -213
1704 1814  643 262
7145 142  2959 2391
256 1571  1580 1362
-1128 2282  2473 -4456
61 1730  -3354 683
1341 946  -7165 -3492
-658 5997  567 1598
-565 -956  -323 -960
-3984 6154  -1243 -2947
801 609  2802 2024
3127 -433  3781 749
7903 -3376  3316 -3508
4015 -7171  -2519 558
602 2252  4654 2330
285 947  -1015 -5259
792 1637  -87 3203
3 -4852  4068 2812
-1524 -868  500 1085
1858 -2304  -1468 -2804
3709 5565  -2307 -4554
2889 2530  -2405 -2415
-1452 1713  -1646 5516
2378 459  -379 3815
-2742 -990  -3564 -3379
1297 2546  -3118 -1065
668 1597  1895 2445
-1374 -97  2132 3585
612 8223  5674 5839
663 3029  884 3133
-2945 6850  -2698 3679
3967 4723  -1929 -1238
-3908 -635  3703 -4845
1153 -3444  -2153 -20
896 1364  1408 3417
4652 3023  2969 -4199
4061 1396  325 -1530
-1391 1191  759 1802
-892 -1412  -342 4561
2430 -6199  -834 -224
779 -1088  -4500 -1919
-1893 914  -2655 -1753
-2407 1021  1701 -1903
-1088 -1556  -4481 1973
1293 -1888  -2054 -1183
3225 3614  -2877 3455
3845 3515  -4908 1501
1840 -6630  2229 3014
-5042 -741  -96 -639
1328 -1988  -1581 -2099
4203 79  -893 3247
-4445 280  3167 147
-1313 3392  5590 -330
-4052 665  1011 5678
-1266 -3055  433 -1328
152 3422  -1480 284
-857 3954  -3300 -61
100 2870  -1393 1829
3330 -5967  1293 1482
-2287 4403  722 653
-1038 4361  -5512 -2319
-4295 1082  -1828 2687
-6203 -4680  2075 -684
-1608 3344  -6412 -3720
4169 6089  -1313 736
-1722 -427  685 2218
362 -3827  -296 -10
-2559 -1208  3180 1571
117 5683  1041 5656
-3561 -1940  -1646 -102
-995 1817  1771 -738
-4585 -1609  2673 -504
1616 3061  -537 -1785
3924 3048  231 3313
308 1998  -2303 1411
827 860  -2893 3224
8467 -2622  2606 2249
4293 -6653  -1390 966
-2092 2234  -4239 3109
1260 2669  -5609 -2513
-2269 -4945  4567 -756
1687 2063  3010 -730
2409 1171  880 2142
6095 -2702  -323 277
2032 -2782  1137 3817
-325 3144  -1408 -1985
-2146 3965  3448 -2889
793 1154  2279 2665
705 -5731  3759 -3554
1630 -339  -901 -1103
2029 -3669  -2720 2133
-2252 1486  -4829 -1939
-3545 -86  1668 4653
1117 -86  582 122
2811 -299  -985 373
1544 -5271  212 2916
-1477 476  1692 -4183
1967 5285  2289 -6468
726 2209  -6744 1886
-8947 1168  3281 -553
2022 -4786  5438 130
4977 -5468  -834 21
302 -4982  -614 635
-418 -4948  -3670 -3563
1643 1284  -370 6749
317 2327  -2058 -72
2536 -1801  -684 -5752
3375 5692  -2285 -1562
559 -688  3991 -2521
1584 -2846  4386 1360
-195 -1689  474 2662
10935 -229  592 792
1521 -152  1655 2686
1021 -1181  1037 1681
-1706 -3840  200 1263
4104 381  -1793 1563
-56 -1760  -2224 4661
-186 560  -1869 -27
4189 -706  -1287 -231
-4862 5882  1503 -2188
2993 2139  -4681 179
-6256 3013  -2125 774
679 -590  -1618 6937
-372 5714  -2349 -530
2242 4299  1718 -2178
-3118 701  3817 -1823
-636 2907  6481 1746
1123 1115  -1822 4273
1556 -2893  2848 -5138
-289 2365  58 -2840
2555 -1390  2012 1021
2794 -4485  641 1285
1976 -2478  1582 -1253
908 467  426 4189
-879 1875  1109 3347
-2363 1135  5576 -2129
7817 22  -977 -4434
-3157 -1191  -993 1669
-1318 -686  3536 2811
2629 -1070  -3657 -3068
5666 2587  5766 644
-448 -3581  -4478 -2106
-3908 -887  4385 -1177
-926 -1616  1514 48
-4886 1791  -694 265
-147 6849  -4697 -834
6547 2199  -2685 -844
-4502 4268  -2423 -4491
-3887 4506  -528 827
-6576 2624  -5177 2523
4918 1310  1614 2848
2444 2887  -2064 1397
-735 2675  1737 2926
1726 881  -2830 -2752
-4801 297  679 1770
-6050 -1050  890 889
-1996 1692  -882 5120
-2423 -1597  -1105 4977
622 -1424  -1823 -612
-4956 1222  3951 -3778
-5252 -1257  1954 877
6212 2742  -2089 -3687
-1880 2837  3528 140
1092 1302  3468 -2926
1859 2111  -438 513
4849 285  56 -165
-1322 89  2559 -2529
-1050 1322  -113 -2748
2531 -1921  -294 -2301
1061 -2760  -3047 -1593
2104 -4803  1100 7869
-4074 -237  -4168 -1434
605 1105  -4997 -1043
3625 -3764  7049 1364
1891 -2265  258 -4303
655 1887  2202 3648
5093 -2624  2299 5184
1345 -1801  595 6315
-3618 -1141  338 -3527
1452 4841  3147 876
-1144 -207  2084 1349
1380 1475  3118 -4584
2678 -1352  -2680 -360
-173 -2034  -957 228
1572 1000  -739 -5308
-1923 -2018  -2464 3861
-4038 2166  -1839 329
6755 -2424  796 2014
2466 -2987  3558 1811
3640 -530  -5377 -1025
-444 -67  1943 3306
-1971 -93  1275 3415
-1018 -5608  1313 2658
-189 -2385  -135 3314
-1095 -2210  -2690 -310
-230 -3787  777 -1587
-2756 -2294  799 1347
-1070 -4094  2062 -948
1806 3267  -1175 -3545
2509 -2438  1813 -1936
3898 91  -501 2203
-199 2227  5067 -3151
-2014 4178  -627 777
-138 -3061  -2866 3143
-2216 922  -4343 -1458
-1157 1579  -1979 -1258
1282 582  -33 -2377
-1516 -354  169 2393
3968 -4502  -1391 6642
264 634  2312 2877
-2522 573  919 -4922
-282 500  3552 617
-4232 512  3021 1113
-770 524  243 2754
1399 -2977  -2901 -1162
-1586 1371  454 -3899
390 584  -2469 3076
405 -3997  -563 2041
-1487 2192  -2290 -4316
363 -1968  -3123 -202
-92 -220  2659 -1227
-2924 -561  -353 814
2574 1822  -1367 4720
712 -563  2434 1949
-449 1992  -427 2050
1941 1152  8427 3282
-11 4033  1388 -3112
2445 -955  -1360 -1551
3681 2923  3361 -908
-537 -1230  -1243 -49
2156 356  885 -1342
-2167 1300  -1937 -738
-808 1562  -477 6244
2409 -7581  -2972 -2753
-1109 5184  -560 6540
-817 -3975  -4765 -678
2271 8134  5902 4921
2076 1896  742 666
-881 -1094  -600 305
5211 -568  -2809 3935
1179 -2177  -1565 -4354
305 -3707  -851 3590
1381 -234  -2797 -91
-819 845  -361 2652
-2688 -2883  1543 3834
2435 -3011  2376 -144
-4136 825  1138 3581
6281 -1372  2352 -3130
928 -7775  -2982 1066
-9 787  -247 -5962
-1982 -2616  -2327 -2204
1328 1521  -803 -880
-4030 3631  -1457 451
-669 -2718  2421 304
2621 4182  -4096 888
738 1445  -2015 -1524
1791 1380  551 -4685
-4255 1957  1308 -1989
2569 -1289  -4967 -2995
-4534 -501  -1457 -1876
-601 948  -4239 2160
-4492 -172  -2897 3964
480 6714  -5150 -999
47 -440  -4551 -279
4641 3235  -2973 2568
-152 -325  702 4545
-2083 -2325  -568 2557
-556 -5669  5543 4306
1144 -180  -1158 708
-81 1447  -4117 4055
-886 1527  1726 983
-1251 2532  -785 515
2588 -603  2166 3049
3282 2985  -1190 -3073
-57 -985  806 -3426
2788 -2564  2816 1854
-641 761  1723 -1398
-3671 3229  1524 3356
-2945 -235  5757 -1973
29 -3173  -2154 212
-81 -3685  3061 413
686 -2345  -4615 5937
-1065 -2512  1485 -2329
1099 2786  -1158 3910
540 -218  -92 -1598
1099 -1486  -1966 73
-144 -1796  1418 1948
-1210 863  1084 -1386
2415 3120  -2279 3087
871 -159  -2765 -391
2583 1902  399 1038
-3838 -1426  19 1047
2744 -689  2139 253
-1558 2105  2253 530
7699 538  1363 4725
740 709  2137 637
-4062 -535  -1531 252
571 5907  4938 1257
-2227 331  -3005 -2242
1150 1555  30 -1656
1502 6321  1522 599
1114 1555  2076 3846
-1287 6086  815 5988
1676 -2947  2518 -305
1985 1340  1847 -6052
1472 -3629  -3448 2835
-197 -1726  725 -2164
2901 -3401  -4862 -2430
-1009 2716  -5319 2207
-851 5432  807 -1805
1384 1772  -1919 2357
2267 445  -1762 459
-3209 -1090  2851 -1386
-2517 -1307  3921 -3594
2479 -2101  -4045 -4326
1526 -4450  -1373 -1117
-5685 1160  -810 1264
4396 -5465  -984 672
3401 -1334  -2464 -5418
2106 2067  2701 1169
