166 278  -169 381
531 -191  358 469
-434 928  -110 584
-957 -672  -70 426
-395 -127  290 -802
482 -208  -988 370
324 -108  887 -7
-218 -130  -114 1059
-277 -865  -385 -37
273 -306  -526 -401
-290 121  -9 -117
808 504  784 9
920 -215  698 -530
269 1002  287 -199
447 210  -328 -712
-249 211  -630 -316
-202 763  470 27
-1664 134  497 -292
65 -973  25 -555
512 22  -396 136
560 -113  -893 -194
-1359 -1245  326 -116
-578 -113  656 88
367 -236  -299 -789
-12 11  -311 -1149
-15 -9  129 717
282 -972  1093 350
1147 310  -58 62
-95 123  -363 -43
-150 -308  -232 296
-692 182  1129 -176
-407 -13  658 -283
-807 544  285 289
-33 419  10 595
23 31  108 -819
-178 -37  60 -512
-476 -336  156 -726
820 -464  -46 411
1380 -938  62 394
-329 587  -940 -542
-841 477  303 384
437 160  1273 -505
-69 -118  -987 -419
-359 486  485 -443
686 -525  -339 96
343 414  -262 -230
-236 318  115 -403
-175 207  1496 -512
273 436  505 -438
525 10  -103 830
759 -359  864 -930
80 -367  761 -325
-316 -994  958 -637
537 -454  -54 -163
-130 -845  352 194
1086 316  -652 -511
-643 297  280 -462
-159 -185  57 -281
-226 -207  -587 856
-328 267  -336 346
-60 476  -99 -382
179 -179  -891 481
423 -14  -746 631
-74 438  -193 -922
-624 -116  372 -874
-288 41  245 -153
-1095 310  699 46
379 -1078  623 116
-891 638  121 -62
-88 -463  -71 -253
-683 -222  -92 200
454 -684  -255 -579
-772 -715  -505 366
48 76  541 -446
394 -701  -398 433
-537 39  -405 732
395 285  930 44
383 -53  -349 268
898 -347  -579 840
-234 173  -419 -107
195 -746  -701 1114
-279 -288  422 22
210 121  407 -11
-315 542  -102 666
-450 -393  -754 406
59 712  266 -162
1385 -177  -441 466
-247 -568  -433 704
165 449  488 -446
-451 558  -167 -677
-254 740  472 415
-850 351  356 -14
-593 -46  -57 -237
221 547  529 -651
851 563  -267 -502
-411 750  -191 951
400 196  -112 24
-92 268  -109 -837
410 358  -528 -158
-147 582  208 -51
-202 37  284 1
-64 -586  -805 -201
-169 441  64 -796
-61 -88  -180 354
-886 -556  491 10
357 509  -624 -269
-102 306  291 -781
-139 -859  328 -263
398 -301  287 -374
-556 256  754 45
-353 -138  278 -1161
460 62  106 -547
219 57  713 40
683 -582  302 182
-80 520  274 -587
730 -42  -60 -408
-591 -456  803 -791
-145 536  -403 -182
490 -406  -398 534
-568 185  55 293
398 1275  -108 453
-96 -68  -357 -480
-441 59  -430 -1483
-507 -985  -866 -473
-419 -451  309 -153
45 136  -383 363
-82 200  -273 251
-392 -394  354 -1006
-536 -484  -357 -256
-280 16  453 223
94 -358  -95 -316
-885 70  560 234
-353 -756  920 1055
686 -1032  -332 574
-20 770  -683 -216
-133 318  -554 -462
255 129  -709 -309
-856 147  149 119
-9 326  525 901
439 15  -521 151
973 266  255 -1098
-402 206  280 -46
-1288 -234  -29 -357
499 82  -106 -39
-251 -388  -600 625
242 319  -553 770
892 20  359 838
29 -586  251 -821
-102 -67  202 224
-74 253  -198 -183
61 -281  28 17
-220 -131  201 85
297 -16  -208 -139
926 637  384 363
-130 -694  121 -430
-100 -411  504 400
-628 -375  -54 -509
712 235  -1170 679
-487 -553  569 -419
1562 -618  669 -58
584 414  738 -1059
-174 291  972 192
-971 1410  -95 -6
-427 -369  -579 899
6 -353  738 304
-324 863  894 -176
-431 428  86 635
-616 -9  -370 -41
-18 -38  -559 44
-916 -1167  637 -603
-262 -392  402 36
1009 587  434 72
-178 148  -13 592
-223 171  -842 -286
491 966  141 195
678 627  -879 96
22 212  -403 590
548 -782  -120 1188
483 544  -385 -159
956 160  124 -929
-312 -254  1203 -187
-108 -301  -269 -51
-458 -512  -188 -81
-314 -234  -1432 475
808 -398  298 208
-400 305  -568 -562
-95 -639  499 714
533 -529  -118 -242
-171 -552  -254 -40
164 -464  324 1
675 -411  381 571
496 -213  -806 -49
-22 145  390 66
91 -707  643 -658
465 -63  395 -341
17 -288  476 183
121 -711  389 39
-112 703  -443 -203
-342 63  16 277
-367 266  585 -126
-349 802  76 519
213 403  197 25
301 300  283 -475
-741 -123  -88 454
305 -324  -964 -824
616 -127  616 -124
615 -775  174 269
1147 110  624 -376
-230 -257  -107 -113
860 267  186 355
221 14  313 596
-825 -1047  10 749
56 -534  424 112
-300 -164  -135 -195
-474 -105  288 415
37 -194  430 366
-812 249  357 -33
63 410  -105 -297
231 761  -257 -170
232 -479  270 152
-322 426  306 456
0 -15  -561 2
-64 -317  1267 116
1101 547  394 -1228
228 -80  335 -459
-210 -138  807 -15
-271 263  109 -451
278 -579  -54 474
-53 358  -142 -190
-919 -1104  -673 657
-733 -562  -437 -440
-20 557  30 -387
59 889  38 428
-726 52  -495 728
1179 -35  787 -547
436 337  453 -261
-337 285  389 -439
-852 -448  -581 547
-801 -516  260 17
733 -347  -218 849
49 327  -652 -89
591 232  324 -412
368 550  351 -760
-269 446  -60 -213
-96 613  1324 -1700
784 -1027  -618 379
696 -204  83 12
193 -223  345 41
1417 -290  744 -372
-377 200  -759 -122
-80 970  140 -669
-3 -300  50 139
-360 30  -675 -79
-17 310  -251 664
-409 -603  1243 -347
998 -324  179 -592
419 -527  77 1220
582 -1221  313 149
-423 -441  -753 235
-206 194  74 -1132
516 -489  294 105
654 -673  -719 -110
-12 128  -119 -1005
-959 -898  -96 -786
-730 -124  118 -851
754 -336  -555 -125
-637 -118  -1300 324
410 281  831 -55
-251 457  14 64
-594 898  -401 104
-308 -839  290 915
83 -1125  409 -1074
73 -1035  -325 1070
409 595  -463 -589
-371 -489  385 297
185 -300  762 -59
295 467  -122 -325
-190 88  112 666
43 191  -471 -366
-52 625  379 544
-908 110  -411 -247
65 616  -108 -371
167 -969  -459 -423
1250 16  315 -109
-59 -682  -149 287
-131 775  -894 94
51 28  313 670
893 -66  -644 -540
148 223  14 214
-702 101  -122 -541
-398 511  379 38
80 665  -453 -600
-167 234  341 -278
-935 -83  -690 -389
788 -935  487 1340
-4 -177  557 -35
166 -342  -261 -594
-718 122  -858 350
1047 -318  267 -255
686 901  -409 683
995 94  251 -679
-653 439  385 702
347 -258  -117 820
-121 554  342 -764
-284 91  -245 926
346 -321  -671 255
776 -198  -1398 103
-17 466  -286 -223
-80 -227  268 -134
-196 -674  123 -100
-500 594  241 307
-78 223  959 -1565
271 181  -312 373
244 302  591 -751
61 406  -245 -240
-23 -332  -319 -100
-375 -113  661 -98
-484 -1198  -1168 756
139 -74  -476 1044
-66 -142  -27 -55
-116 -72  197 207
755 -128  175 -20
195 -699  -195 68
-251 353  -1037 400
-348 377  -804 -125
-122 265  701 559
-324 -240  201 -195
176 737  337 423
123 222  7 -560
397 1000  -125 296
106 -386  -617 -1099
-35 293  124 -180
536 -281  -506 -325
-154 58  827 406
798 537  -634 -804
-143 -125  39 -706
-2 419  -3 4
-554 -390  58 -405
-401 595  1108 668
-612 116  -292 -509
-235 -31  -71 -93
-814 -514  97 -453
37 -202  -415 -381
134 193  -470 974
299 18  612 -640
69 954  29 126
60 324  -601 -209
7 334  -457 662
814 206  -401 580
-716 47  373 -1163
670 -506  129 256
-155 -167  1110 661
102 -109  -820 26
340 609  -13 -257
-348 -393  208 444
-495 59  -880 -115
23 1016  -298 338
59 162  474 -445
-109 1315  487 -19
79 -370  31 -581
679 320  711 144
355 -102  -1145 492
41 -652  -912 -285
-563 66  -354 -197
-1004 -35  294 200
-625 846  -93 189
-629 1047  -75 -848
-55 -467  312 223
-36 -457  1232 479
139 -599  -860 -157
185 -156  195 -151
82 -289  -773 759
-613 -376  -83 328
-83 -351  72 194
243 -269  -257 -8
129 63  345 -277
-40 -365  -226 -299
181 176  79 -750
-82 393  -18 643
2284 -356  486 733
248 -1731  -62 -1390
-1204 -160  823 -1003
98 -103  -380 53
-177 147  -517 -371
68 153  252 1604
282 -490  583 820
672 -10  329 1113
-5 -310  662 -378
-28 -127  263 -2
215 -595  839 121
440 -23  -54 -195
631 450  264 301
249 142  85 -154
282 -727  -556 -567
-1303 -313  682 -1628
688 1084  -234 570
460 380  -1164 -541
-992 -111  128 -115
28 -1171  -538 -507
384 -249  -358 626
-121 16  969 32
648 -60  27 311
627 282  -46 105
-894 409  459 930
598 -395  -100 -260
559 908  -208 -318
472 -565  -350 318
890 210  180 620
-784 697  93 -194
466 462  97 180
786 856  -1121 46
-444 -438  -1045 -284
762 10  846 -249
-219 253  919 52
475 -539  -535 495
-679 -1231  789 418
614 68  -225 55
-535 -202  -584 918
272 704  524 -463
-451 75  -257 -713
552 -482  -136 0
65 44  399 -536
230 215  362 -468
254 557  648 -99
-1101 120  -871 -215
-90 416  578 138
-35 133  658 -164
782 -226  -1421 -855
-158 406  38 102
-410 309  -379 558
822 -873  588 -219
-454 -256  1394 683
-147 -34  -655 328
-719 -630  241 -548
-137 118  -64 91
1253 -825  1356 -32
0 -93  -300 4
313 816  -455 196
-370 -466  -668 -657
-18 570  504 -289
-639 595  -427 125
-674 71  -5 -822
-418 -943  -491 487
-84 149  -909 -46
139 62  482 -483
579 343  42 299
-541 -56  -338 -228
650 -487  -647 649
-169 372  178 -179
282 181  423 -442
-333 727  300 -281
541 41  -249 -143
-130 56  406 -325
-682 -306  905 355
176 438  -305 -63
665 -161  -210 -870
63 68  -741 -332
12 -516  -463 -212
-382 -701  -537 -353
743 -186  736 772
-27 -283  161 195
-17 111  773 -835
-894 -1157  384 -418
348 63  -155 621
804 -264  -708 551
65 -306  -120 229
518 -1174  -372 -348
85 293  -264 -793
-338 202  -791 351
-937 502  -368 -121
780 238  -93 1
-212 -133  -148 157
-232 -311  -228 -10
-396 37  -36 -139
-214 -24  -471 687
-281 -1090  1130 730
220 -710  -423 47
203 512  -588 -465
-86 101  80 580
-438 -1019  286 807
-73 137  -237 -763
-596 53  -930 1098
12 203  -341 714
-988 -114  442 15
-280 1186  422 404
939 535  -154 579
328 488  504 335
-23 512  118 -334
-541 -262  -58 1218
-200 526  712 216
-89 201  176 58
-33 128  1012 429
-151 -849  914 442
25 -352  994 202
-130 -353  669 -222
721 -26  -434 -731
-167 -901  -156 139
102 -47  67 214
-216 200  -376 -703
-602 -523  -187 -455
-581 192  382 388
867 1284  528 -309
-409 96  521 15
262 -113  1296 -274
259 -67  -984 -178
-1003 326  361 -242
88 -494  -122 579
495 267  418 -259
828 -131  -526 454
-373 -1213  -349 -508
395 -382  -290 -26
101 368  832 -212
-89 -65  270 41
-781 580  -701 -1477
-44 74  -168 -459
-507 -161  -192 103
-1172 316  -381 12
-1443 -56  -325 221
-184 1084  -497 -378
166 -20  -38 0
630 -373  -780 498
-160 174  -160 -220
287 -1118  464 -146
-210 876  103 -277
82 -664  -280 -274
-299 -746  -1212 428
1155 -446  -15 167
82 48  248 -59
181 -67  -696 -393
-586 -581  -84 -40
-780 785  -66 198
-405 187  -342 -163
133 236  -249 1395
208 177  -794 754
715 -697  -209 928
630 362  955 -632
916 -652  -95 -530
-862 -423  732 -222
-398 552  -857 -10
51 -33  -423 508
2 163  391 -74
-325 -174  244 -294
711 -112  -300 -407
-401 934  622 -57
310 -812  120 19
-104 -792  374 -51
-331 -296  336 -2
386 645  -1076 204
466 -60  -26 -123
-481 -1111  -527 868
-385 146  9 -496
635 209  -284 -256
-265 -379  -759 152
-191 106  221 -368
-719 -317  -499 -332
153 392  -384 -110
-53 4  815 739
230 260  960 -424
-40 -494  -248 -255
-120 342  200 186
408 100  856 533
287 -491  1022 -126
-115 -159  1084 -112
1233 1125  435 564
143 -146  -406 98
-240 -317  -674 -45
-169 57  -296 -610
196 -279  208 338
-90 1077  401 -131
-8 469  738 -801
-378 -642  -91 -58
499 98  287 -24
267 41  -788 -678
-299 -15  -487 959
-2 -311  94 -161
-291 1216  -1038 -410
1277 120  595 201
-799 149  251 1111
-1250 -588  -9 -13
804 -151  -171 122
527 154  310 -441
-330 -398  -73 41
-404 -253  332 -35
308 -230  647 -517
-219 -136  -910 672
725 318  313 -505
-467 -605  -597 -994
946 907  118 850
-191 180  357 -1820
1022 -455  115 -135
-202 -485  30 589
-303 -513  394 226
870 -98  1001 634
199 1434  -417 -706
-492 -643  34 440
-314 276  -474 -621
-274 -177  -724 429
320 -1181  -90 56
107 -288  -529 250
-495 736  384 -885
-262 -1846  164 1006
-117 365  458 100
-606 172  -59 269
28 95  -399 1157
695 67  -122 -45
1166 20  -180 172
-367 19  250 940
-897 -280  370 270
-96 61  -946 -774
512 155  -824 71
-182 -361  399 296
17 152  -90 -21
343 12  -229 -754
-885 410  -824 -619
798 -608  -178 534
-1074 521  672 584
-289 506  -215 534
-360 345  21 232
125 393  484 795
-530 -233  -82 -113
-23 680  893 -525
210 435  -930 -221
-395 173  -313 -424
130 652  -117 409
-568 262  -233 1344
-58 334  -343 303
815 -57  -271 -687
974 -75  128 704
-98 655  -966 465
-602 643  755 1140
-903 -584  -629 -960
-72 -67  -94 570
-205 -159  181 55
250 365  317 585
329 -292  -319 1189
458 -61  1202 1159
565 -491  521 -1013
-1066 1157  -646 314
481 -50  -385 -210
-57 305  182 91
415 463  -241 -25
-1445 -25  22 352
467 -524  208 13
38 -73  4 370
139 105  -216 1400
-1335 149  691 178
-218 -111  -189 22
-225 -634  694 -432
-124 -107  -1055 -25
-135 167  -577 450
-70 -567  -410 862
-974 481  782 624
216 90  -209 265
351 232  -434 -287
474 200  5 285
91 -352  -681 -856
-371 -54  -493 7
376 -44  -22 192
503 376  79 -169
737 437  -94 462
780 458  275 -5
219 -239  -777 72
224 1065  701 162
-455 112  -546 373
-565 -153  503 -97
-240 -201  23 -612
545 -603  289 68
492 263  117 -623
584 136  -87 -872
222 780  -542 -438
-415 -252  900 170
-628 -23  257 195
-13 860  674 106
531 -123  -101 -595
-560 693  -410 -153
-95 810  64 -326
-543 -212  -719 -330
249 448  -260 -258
84 -853  -855 -209
-906 -76  -360 319
583 258  -104 947
-643 417  40 560
71 -184  -447 376
-655 -109  573 306
949 -632  265 -753
423 -188  491 -541
-141 -804  636 -230
337 269  3 171
85 865  -289 -101
737 654  52 94
553 -423  558 95
-97 132  119 -77
136 593  134 -23
207 45  -695 -409
-228 -126  68 -404
-453 -506  -583 -339
-37 301  -1021 52
775 281  1027 305
1178 -954  -315 84
-226 -438  226 225
-272 488  142 -360
44 -432  20 -221
-270 -690  -215 22
16 -210  153 105
-270 -634  -609 570
568 223  -343 854
-482 -395  -460 191
-21 -120  -630 -132
661 -72  -113 -466
-80 -404  755 318
-89 397  37 696
-164 -604  255 -345
-44 45  -491 -321
-345 -52  -122 466
-586 -38  -91 -852
-10 542  445 334
-241 912  87 -165
203 -57  746 -222
232 -15  644 -244
22 -469  654 758
424 -312  457 444
-10 948  -135 369
-1069 -1063  256 -213
-946 638  389 -74
-956 -64  736 400
-72 -59  376 289
356 565  -873 683
-834 -322  363 -404
-519 421  174 -1057
-73 -10  128 -96
-246 -272  -924 -1316
312 -289  -296 353
244 683  -80 692
-123 208  983 -174
-712 351  -688 -559
-441 1133  -268 -18
-449 265  -201 -231
-520 -328  -133 -1182
37 257  -922 23
-1532 640  -1304 185
-318 405  484 -328
-569 26  254 -194
22 86  -153 959
-51 -199  1201 -725
-323 99  -145 -900
-121 393  26 -641
412 640  -195 -52
894 -245  -119 462
438 -441  -371 400
