1060 -638  -110 -245
-313 -181  943 -395
1225 -1740  -183 -155
-1000 -82  -508 -350
244 99  974 415
-741 -222  899 -427
701 -742  -114 276
-285 -10  -10 134
-153 -303  -216 -15
-686 122  229 -454
609 -769  316 1705
829 -771  -118 -454
251 -370  -410 -123
-381 491  338 -237
281 -770  190 361
260 -383  533 833
-381 111  -207 -625
317 -41  -520 799
-446 -654  137 122
-16 -324  543 681
1015 -576  -204 -741
480 -182  -384 -366
5 612  -111 444
181 -105  534 309
-627 -258  -83 1368
-605 -194  -239 823
556 314  567 355
-624 520  -827 301
513 -376  -124 126
1013 -496  657 1011
444 -250  -653 462
-289 95  126 481
314 567  307 235
-162 -521  37 356
317 700  -445 265
-805 -813  -683 499
-656 1114  -201 -1429
248 -215  -602 505
919 737  881 -1260
-116 308  -246 -512
951 601  512 542
1282 487  -353 -387
614 99  911 -220
-485 -784  831 363
-225 -866  167 523
-165 489  -357 1029
913 325  -577 -442
-698 98  -522 -680
530 595  115 -1114
-461 -323  -441 -436
1507 -734  -1209 -421
52 1053  -1448 -586
-10 -159  -750 393
-113 -584  -518 -559
-103 -227  292 -372
-96 -643  -230 -197
-628 544  -262 15
280 -171  256 -370
-402 261  -192 -238
-310 -190  158 -333
-953 -130  1471 210
-61 442  497 696
1173 322  43 -773
5 323  240 730
-61 1148  -291 360
-645 411  -510 253
615 -118  -128 340
1193 -285  -779 -641
278 -239  -270 -463
685 573  1191 -505
-492 -1082  1615 -884
481 -599  -742 -239
-53 334  -122 -867
65 -697  -666 119
1030 130  -853 -295
367 34  -366 -261
-664 -73  -1740 208
779 351  655 214
341 -145  -691 550
-342 338  -306 92
426 -591  -112 -296
-28 366  34 668
-99 -481  -114 393
-92 -589  -194 -589
-789 -606  -627 66
134 -15  -236 48
-447 641  -152 -572
827 -91  -1030 -230
-536 527  185 -1249
185 -299  -403 692
-18 588  104 152
-63 -137  -135 -255
-321 -13  127 -132
-164 235  468 -293
-265 -927  551 -675
-31 703  149 266
113 -266  -439 -1300
-51 317  827 261
80 -1029  -773 -234
-545 -404  -1038 -759
-253 -206  156 556
-32 -57  -94 1062
-730 -5  59 -694
297 -456  448 -254
-356 77  -216 -440
79 508  238 518
676 -228  -165 -194
-468 -562  -538 8
421 -221  -407 626
-119 -299  42 -287
-924 -311  9 -704
264 397  -1429 244
-112 -711  15 -405
562 -841  -78 462
66 239  183 -742
1256 -65  -78 -719
-257 410  -592 -201
-79 -36  249 312
0 -330  580 -521
853 -499  -198 -238
-582 -318  489 177
-492 84  -134 473
523 -71  -1214 -255
-30 -85  -110 417
-236 87  -794 -467
30 -41  539 285
-227 249  73 -1137
122 355  491 710
389 458  185 163
294 201  671 28
-500 566  -839 -97
206 -213  -313 831
-1097 -658  -683 185
494 -450  458 -116
-700 -177  -536 -351
-378 274  1005 -444
41 -338  -35 -267
-232 -666  70 701
-114 -109  516 -147
-743 457  -87 323
-624 -777  -679 716
-704 -1264  -205 282
-411 322  -437 761
153 -383  -303 -275
83 303  -294 238
-38 -200  -588 -88
506 490  263 -350
-316 765  143 -836
-652 -428  229 -863
490 -488  50 -1442
889 314  -818 47
-303 366  508 506
315 630  565 -184
-450 510  372 1166
-53 93  757 37
142 532  570 317
107 57  -219 207
-1052 -589  -139 180
-298 339  343 88
516 -183  105 -468
-606 158  -334 -457
472 74  -640 219
161 486  503 -259
-50 -304  -322 -36
-1307 -304  179 369
-445 -438  306 395
80 -89  -12 374
126 -387  -263 -53
-228 769  -224 959
30 -341  20 -372
-470 -89  463 427
-105 -365  -40 -618
-334 -269  -491 301
7 -268  -476 -161
-291 -385  -416 462
132 586  265 -296
300 -86  259 -129
795 -714  889 32
315 -202  -230 -202
-60 -563  1046 -275
608 586  -966 166
-759 767  -66 462
79 -74  -220 272
-621 -542  -828 -1098
-457 1061  -126 598
777 62  579 698
403 1  814 -1107
151 291  -199 457
96 344  -451 -154
-334 -161  -163 235
812 407  -136 -285
665 -161  1049 11
475 -137  574 112
-207 677  -420 25
-271 49  -316 -622
1006 -466  329 319
327 284  456 359
-38 -146  -70 157
-961 -97  -696 136
-43 545  -91 -41
306 650  -256 236
-217 417  540 381
-393 894  -255 107
593 344  179 246
-488 68  369 -234
-199 407  339 -319
130 603  -254 645
-382 31  -891 -255
-194 145  -577 -153
-475 223  -324 617
604 -1369  44 -40
-648 255  -676 890
-420 -414  -519 487
64 -287  10 402
392 124  429 174
-421 -50  485 -337
-174 689  -500 290
772 957  -105 1078
-79 -1072  -42 476
677 -24  248 -301
455 1003  583 -703
282 228  519 -170
-756 75  453 -337
-871 704  -13 -353
-208 960  178 333
-390 229  116 282
55 744  1236 32
-1048 211  292 83
-41 17  -208 562
268 500  -187 1498
466 -146  -380 35
228 -553  595 158
379 -191  -543 318
-471 -1036  -229 -583
1064 256  71 254
11 -263  -356 -41
246 267  -544 -432
399 256  -492 -264
137 -116  -616 -34
-426 329  -280 -10
-890 282  29 397
-1110 -464  -510 -97
-106 643  -549 848
104 -340  -477 285
885 -566  -135 480
335 -845  734 -51
911 541  632 -1000
-260 -928  304 -478
455 -660  242 -38
-289 915  774 -192
547 -295  362 -391
65 132  591 400
-325 -464  998 -17
82 -126  -976 -580
318 -513  85 1086
-254 120  -383 -270
-358 342  427 357
-643 -375  -373 -259
-57 329  245 972
615 331  -444 -264
241 -139  1017 -158
497 38  -466 539
-17 122  111 294
-383 -520  -88 -315
209 624  49 624
551 -123  1020 489
439 -982  -1015 440
291 194  17 -393
968 1158  -423 -221
-407 -669  459 -206
-736 545  161 973
492 181  -40 -73
266 -545  -250 -319
-106 433  -265 107
592 -370  146 142
246 -855  1101 -318
222 72  -337 104
-571 -404  1279 -264
295 733  168 196
536 145  342 -8
-3 -109  -1046 578
451 -838  -772 -169
-56 717  -617 141
405 -515  -113 -148
172 325  -540 -234
656 335  -671 134
1155 -779  -103 -246
-47 -1008  374 982
-249 -146  239 1362
1406 527  -435 -626
158 302  -99 159
703 -336  702 3
-250 -1227  -433 -537
926 435  -288 -302
628 -614  383 -456
-62 -197  -218 -195
53 325  -620 -40
89 151  93 -832
260 657  -1025 -207
-296 -83  -688 430
-729 -790  -22 -629
66 -647  848 -684
-487 -643  500 -848
231 232  -658 -53
476 125  626 -1329
-60 652  -60 180
380 -451  -103 -35
191 -16  381 29
-684 -192  418 -379
614 -189  52 408
603 -290  -634 -283
-553 249  -79 592
-681 70  -1285 -918
491 190  -1348 129
-242 -99  334 -366
336 147  -99 -441
554 120  -24 571
212 -1194  -666 123
-745 610  -724 -21
-100 63  137 884
655 226  480 -957
701 -585  -603 -587
-377 520  -21 91
346 -581  -114 -491
-956 55  -174 112
-176 205  -522 138
-509 -217  39 410
947 -53  -41 -540
-184 -130  672 -89
344 1010  -454 -434
-540 239  84 164
-879 35  -528 1221
-10 1129  702 -59
321 -139  -71 1002
504 922  -708 -50
-208 -115  -188 -841
692 -97  24 210
-932 -112  -469 980
-71 146  -56 -471
75 213  963 -910
-642 -382  55 655
-78 -320  -43 -326
-281 649  -697 -1455
-591 -885  267 851
-15 234  520 -497
1046 787  -1199 262
370 -145  407 -27
826 869  1088 767
54 -1042  -921 -17
172 499  -534 -303
-219 603  773 670
68 -18  111 524
-181 96  232 247
737 1112  350 421
-872 -778  88 103
-494 769  -789 462
923 -850  946 637
-639 582  303 202
-847 323  135 1122
-105 -113  16 -19
737 849  157 442
145 -256  -606 -324
-951 904  -65 -394
-788 -352  -446 839
-2 738  -77 22
160 176  -590 -444
624 -191  300 371
-1477 -615  45 190
-185 -277  712 -280
553 -115  158 -221
-406 -482  -628 -56
-312 766  -65 -323
215 428  471 849
-185 -85  47 210
-296 -302  681 -367
-96 69  -340 495
641 68  1750 -75
39 -524  184 -386
-478 -231  -225 501
1188 23  -448 95
776 -954  426 602
684 719  -1004 662
-207 495  70 773
395 -87  106 -62
-826 -335  -729 363
-416 -84  193 436
-235 -178  348 1213
-42 901  -403 188
-595 388  -543 785
23 -321  -627 452
-257 644  476 559
-540 842  895 -443
-488 160  -688 385
-231 -503  414 240
-243 260  63 -139
-224 -459  -358 -1126
-762 -521  74 -1387
-702 4  -113 -147
113 -1501  -179 443
-137 49  317 418
272 -862  23 940
-267 577  -765 -1195
408 -977  153 -126
-1 691  -664 1037
-431 688  -421 -84
233 -313  931 -683
244 -308  -517 -758
348 141  -111 1304
117 660  104 -67
-365 -142  195 -343
-547 -289  -471 -638
195 607  449 -957
-636 -666  184 -373
427 -832  -179 -495
408 284  183 133
-197 -736  -720 -326
438 341  -392 855
-536 463  566 -346
582 563  -974 558
28 -198  824 -424
203 -641  -20 687
-115 40  -173 422
-120 256  -592 132
150 714  231 -762
293 71  -445 -1056
-406 130  97 -438
-283 -103  -1231 -1564
-248 -956  -179 419
-87 69  327 -334
-167 547  -160 -601
-350 -1125  234 -647
924 -646  -1336 -81
479 -443  -899 57
-422 -335  269 453
54 -490  490 234
-461 -579  262 -528
-459 -451  -307 694
-34 217  -653 537
-257 357  -661 -129
-250 158  126 183
-119 336  369 -470
-959 -172  729 207
-181 1060  -84 339
-147 491  219 1029
536 -327  546 -879
-330 931  288 -483
1068 -120  -554 41
-1 -364  -879 -152
551 -764  -75 135
-222 -326  -237 -836
-387 -143  236 -207
345 -110  895 144
612 163  -376 -48
-1112 -953  525 -210
48 278  -327 184
-165 -569  -209 812
546 440  -543 338
-279 -213  6 201
388 217  -96 90
344 283  786 -760
561 228  -203 -140
310 16  -209 -748
96 -140  610 197
179 298  390 405
88 279  136 -261
325 -793  231 44
-177 -622  -534 541
-99 958  -955 374
-409 -335  -250 1
-907 -174  364 471
258 1073  184 -466
726 254  -649 -418
282 802  654 -310
-422 602  483 192
-97 -171  -379 -80
1531 117  460 790
-943 636  58 -228
-310 139  111 250
-595 79  125 311
90 -388  -175 306
609 -314  322 44
929 -171  -74 757
-921 -311  276 317
-34 322  252 176
-793 18  100 -763
433 -595  726 -76
829 -582  -72 791
-1387 723  798 -143
508 239  42 533
314 -75  62 -946
405 434  -107 525
165 -301  160 228
113 75  -864 130
-76 -315  87 -670
-268 -254  57 -442
-708 398  -513 350
486 45  -50 157
414 -770  248 791
6 -475  238 -1087
-481 200  321 15
-514 52  -340 220
206 -248  -457 492
-267 564  191 -79
321 348  163 78
-96 244  -401 764
1409 361  196 -414
595 388  -11 -148
739 822  320 -1268
90 97  173 50
881 495  271 101
-233 744  534 585
-553 730  -687 -85
-575 -60  881 202
-95 242  -669 -770
331 527  -258 -310
-773 416  479 -466
-30 -799  -801 -479
344 682  -325 -225
235 544  -587 53
120 -291  599 -127
-152 -700  138 351
-790 110  936 -1074
83 -497  302 21
-194 -792  328 -757
206 -420  164 656
-431 -588  191 141
803 129  193 1104
-522 -580  -452 54
8 -752  -29 906
-371 -1069  -98 597
317 -183  -319 520
-446 -769  -924 192
-304 655  -22 -1225
343 -203  173 179
-837 173  255 -169
497 -824  722 -556
-638 824  461 295
377 -1243  -870 -39
91 330  342 -25
-520 377  440 -223
-1671 -161  -107 -396
-467 -785  772 -286
-414 902  114 -32
-145 569  688 -378
406 -75  481 -79
-596 -390  287 -680
-76 264  -87 -510
-636 636  -1531 -134
-387 -57  258 259
550 -224  675 669
-138 145  24 -418
471 165  83 446
-373 -374  -200 641
757 396  351 123
518 820  608 317
-545 123  444 -201
120 791  336 -472
-735 -552  -158 -291
-161 -210  -95 -518
157 166  298 -759
-813 176  -388 -276
-335 60  -24 -481
364 75  154 194
601 -640  415 722
-432 -772  -313 -193
-1032 -604  -595 451
-682 645  680 -409
190 300  -348 2
943 -327  -839 66
-143 -359  -336 799
69 -179  755 0
237 -498  311 -820
-62 365  189 -452
-459 328  99 -104
334 -529  34 84
-157 -1223  -88 591
-942 728  650 736
-733 663  117 741
607 -580  -151 317
-370 242  127 288
-659 97  370 -221
-68 -513  20 -101
-475 -758  -309 -1054
278 -20  -720 -578
151 -20  -300 -521
708 416  633 881
144 890  295 635
679 -257  -577 375
266 60  -1133 -50
-216 408  158 823
16 178  -1667 -209
-863 -25  -207 859
407 -351  -672 -997
306 223  -177 -701
-474 2  -37 194
-190 1179  164 -182
-164 -446  459 -772
-586 101  89 -666
463 1027  -247 506
-354 -411  -1078 359
827 -413  -532 -521
-182 -208  933 399
-39 -928  386 369
879 513  -711 70
1227 361  -135 -368
355 -475  728 523
704 -209  261 821
-528 -224  768 301
-864 292  594 275
210 -282  284 -107
17 145  -232 -275
26 -62  321 715
-568 225  987 -183
102 391  64 -500
-1028 1071  128 -452
-467 471  554 706
-624 529  358 -349
-704 -8  33 556
-36 -236  -170 634
460 -591  -319 -748
448 30  -27 -637
-667 233  -729 498
-819 -241  -712 943
-585 784  -32 -491
-977 267  -403 90
1249 92  307 -925
-98 843  -208 -961
-706 34  447 -71
-771 645  -649 -709
-439 -871  -145 -629
-160 -8  274 -847
412 -10  -10 -157
-472 -1125  50 788
-37 -654  361 -169
1014 -1012  152 422
194 -362  365 238
-176 362  -280 -382
-195 -746  -529 167
-673 -576  -484 -813
251 641  -397 -404
378 -741  29 -1128
131 -405  246 -54
-494 573  113 141
731 -639  971 -458
-487 -325  74 -317
245 140  247 615
191 36  -679 -489
253 259  -1064 -823
-339 333  210 -218
837 -267  22 -390
-520 -501  -912 976
520 -130  641 565
692 -262  -20 -99
640 -281  -148 339
-350 -28  -263 -228
273 545  294 -958
-627 430  813 213
50 -858  397 -746
-51 790  -135 624
730 -18  -241 110
529 -322  -857 174
-276 125  102 143
990 738  69 118
357 -17  41 436
620 -291  -467 234
-134 9  -363 470
-271 -471  -1345 -319
-827 -327  -57 -184
-537 -716  561 228
525 746  -994 -762
-516 -187  9 375
-197 -197  -516 -1114
108 507  567 120
598 270  -870 251
-149 -395  221 -905
318 394  -1 -802
1287 -26  179 389
12 -443  -108 632
-326 -235  493 238
-438 -262  433 43
107 -470  -802 373
165 -159  448 230
-876 -468  296 -549
809 913  -902 269
438 -396  -131 -436
987 -592  795 321
539 903  -494 -588
-312 -372  -208 23
685 523  -1016 116
-315 701  300 119
-425 -64  -477 -454
-80 5  -16 -137
-119 -74  -399 -163
139 476  -669 -807
-382 288  -855 -7
312 -107  -797 -37
92 -635  564 246
1136 -207  -252 -674
-355 27  -504 811
-298 -44  290 520
-308 224  407 -1035
-90 285  -157 -299
-163 -282  -345 267
370 37  -24 141
368 -542  -579 666
-865 496  753 -314
299 -639  445 414
683 343  -283 903
-1097 -135  -150 -450
28 -431  -436 496
-162 -474  19 14
-573 -297  28 -242
-4 270  949 -357
-26 -285  7 -505
-1215 222  238 -155
7 -486  215 -111
-341 -180  -113 -377
-117 288  -439 -1343
384 45  -671 332
356 -792  -254 479
-85 16  531 -105
380 -259  -299 297
-230 -100  309 -794
-498 -374  -201 605
-63 -432  357 -55
265 -413  45 -125
829 -407  -147 -408
-515 -323  -202 12
1236 419  -406 -402
70 491  314 442
-167 502  -506 475
-469 854  -604 -549
1296 259  -403 -200
779 -544  562 368
278 308  -177 146
645 391  101 -258
-241 89  -378 66
1 -248  78 -376
528 -207  68 118
-332 -322  196 -907
-260 349  93 -135
-349 -1042  403 454
-455 119  -193 -493
-1134 269  784 363
820 -430  -504 -514
149 363  -359 217
-474 1326  -300 -165
255 99  1164 -357
268 -705  -328 -338
-1361 219  -251 160
-484 142  96 -314
212 189  -474 -398
-197 404  365 -65
-536 -148  389 -294
54 417  -1018 92
-386 -115  -28 -17
156 -285  378 -66
-934 -1167  1002 -678
-640 -213  218 -759
-139 -176  28 -113
633 350  160 -813
15 -78  -194 315
634 -195  -127 -689
-272 -378  -97 -254
-143 -303  -1059 -10
976 496  228 -166
-45 -916  726 395
372 -154  168 637
156 271  207 2
-91 -970  -30 -237
349 -876  1005 -610
-276 -329  315 -270
592 269  -377 263
-203 1056  -237 -416
721 401  103 99
207 -98  -657 -259
112 25  128 468
348 881  -353 -524
-200 -347  -38 -299
-1253 106  -135 243
263 817  214 -41
-395 -273  -257 -545
81 40  422 -909
526 -1316  -16 294
-411 104  -174 76
-458 -257  675 -824
612 370  45 875
-297 -235  72 458
-336 -31  -254 16
428 686  -311 305
-71 192  861 700
559 983  324 -265
237 -512  549 -412
351 715  -682 859
-274 -8  -320 -324
279 47  142 158
-573 436  414 577
-243 -118  127 492
222 -716  -867 400
-705 -74  31 186
-69 621  -259 1029
49 423  -416 -84
-175 546  -999 221
91 418  302 -212
725 -612  -919 68
223 321  436 -315
-246 271  -274 -430
243 506  -321 -62
180 612  359 534
-273 35  508 362
284 -284  -1038 -135
370 -197  568 -232
-1852 101  -123 -342
168 -36  -284 -466
-92 485  -671 -730
-672 150  -348 170
16 724  -346 -310
-434 -197  1212 -398
283 -347  286 13
-200 -345  27 -59
35 398  5 -384
-112 -1116  136 -780
-217 752  893 513
650 -440  821 -28
-799 -934  -153 14
-601 167  457 -63
1465 -134  -708 -613
226 -239  -138 -1077
-192 249  306 141
364 -33  672 -661
-88 395  538 -447
-1259 -130  178 1315
-557 -91  -1127 -149
-117 758  -149 21
-332 -482  628 -349
-997 407  -122 532
340 -22  463 394
20 61  -626 -118
-98 -350  -461 526
-589 269  -369 236
-178 -157  265 787
-314 854  252 -60
-663 0  742 458
-4 342  583 -151
216 761  201 749
-252 -287  -499 -573
-5 592  112 353
-443 60  553 1452
976 -144  -428 1202
504 373  439 -73
348 -88  47 -358
-852 152  489 -573
-380 -372  -41 -80
17 316  85 161
-30 348  -562 -540
-569 461  723 38
445 2  195 -256
232 -201  -520 364
-115 834  30 -398
-171 557  562 159
48 -1084  17 187
1082 -408  593 543
218 149  -477 399
-289 -589  846 -149
-366 598  548 164
-422 315  464 26
380 -511  -61 -86
493 -156  226 682
537 -426  -62 -637
-872 167  -182 -749
96 -475  1098 -1006
-404 720  646 -575
-106 227  -625 214
260 -627  143 -520
-486 -391  -81 1217
-408 -168  682 -67
252 -503  302 71
-262 -209  325 317
-232 -645  -234 399
61 -638  452 360
214 43  -513 896
-565 121  331 -752
-2 -792  -310 -169
119 809  -571 -558
-205 175  434 -146
-149 -434  586 70
365 215  -114 -310
899 65  139 240
-47 426  14 613
-436 1116  32 -885
74 -238  751 -322
-361 999  -163 -290
-440 252  1021 261
-775 164  -153 49
-100 171  -632 -731
391 337  -463 194
-904 761  -1201 204
-528 -394  259 -231
429 339  -416 -515
347 -30  142 -491
487 41  548 201
-109 312  94 149
408 -268  370 -690
-267 813  531 329
-251 410  -383 93
-94 -188  -76 926
296 210  -79 -443
-216 466  50 747
-624 184  -533 345
65 104  583 -1414
121 781  435 311
-643 -302  919 189
-520 -110  -322 541
227 -1044  -1101 852
-485 9  -553 821
-462 -749  -28 -446
-614 -10  -358 266
-418 -332  758 -257
-1110 264  114 -655
207 -367  643 1111
659 688  -413 454
-494 11  -755 -585
-298 698  -57 626
-213 382  -306 518
573 -343  733 297
-342 -841  450 845
506 334  77 434
-692 327  -164 -262
-329 379  334 463
-55 -216  -399 151
289 548  229 320
-432 173  -89 849
771 -49  -7 -24
-76 188  -211 119
-663 -105  437 250
-539 784  -360 -53
-464 325  -413 141
479 695  539 -461
705 -1252  275 212
288 -255  -195 84
-650 1122  -867 -363
10 -488  546 660
57 -442  -733 -592
-187 19  -99 -295
-203 411  -529 -1265
-745 407  633 -612
827 520  629 344
506 -169  -208 530
-367 416  287 477
-179 341  619 -540
-713 -764  -988 -129
739 -314  -761 -839
89 -373  -28 -168
751 -432  244 -401
1044 -518  -800 -394
-274 346  874 -950
285 980  -634 36
551 12  -515 277
571 -317  547 -778
-484 -143  10 109
-482 -244  242 -216
293 293  82 177
239 -122  -243 -271
-358 -78  -752 -536
315 121  -16 913
356 453  -227 -93
372 -940  669 436
297 841  853 -151
-327 -402  791 154
-36 480  -186 716
308 -132  154 -573
-842 154  -514 214
-643 536  128 373
590 374  -408 1299
-147 358  393 -410
-663 803  -408 679
444 -608  114 423
296 217  -15 564
170 -218  625 423
-494 668  9 26
-706 -511  -7 -332
363 -991  -128 431
221 -175  -143 225
-354 107  -82 -98
345 -573  304 717
-193 330  -403 -673
-1068 958  -134 -300
-795 -1057  92 137
-770 -107  83 -73
514 115  33 377
-356 1415  -605 -121
-357 -315  290 -568
-23 389  1006 -319
-102 1045  266 232
-1111 -505  175 236
-202 -506  -393 145
-232 -20  870 -27
96 29  89 -152
1352 464  -26 -976
60 628  -103 106
-607 -628  1224 320
0 329  791 -224
189 -280  1049 -628
-98 655  456 -216
245 446  210 -1190
70 388  -768 1060
-45 990  809 -507
-223 427  -1373 -184
4 -937  -479 680
-143 -1063  479 667
0 161  215 -92
97 -88  289 1053
-322 15  -388 654
-143 337  -268 -1335
779 -36  -641 200
-585 927  -315 -1430
303 -520  -502 -214
-294 -439  74 456
-1321 -309  670 28
-532 658  581 308
347 -890  -145 -139
-173 -754  -32 362
-1226 579  941 159
35 493  670 581
985 -262  -758 200
68 448  10 -231
-1090 452  -1112 -359
243 263  1142 23
-79 -103  -315 -1
288 127  617 355
-335 -782  -272 195
635 -386  -406 437
-971 305  431 488
347 -41  -524 -636
-26 220  531 -291
730 954  -222 -875
-36 1051  -466 63
385 20  -675 424
330 254  54 200
1039 -399  -588 972
784 -30  1187 25
378 -131  300 -484
156 233  876 345
-91 -881  173 125
-208 113  -316 278
-756 -211  287 -438
-669 -100  392 -949
-194 -147  -225 139
220 705  111 -645
-154 194  -888 -501
-101 837  401 103
-25 318  237 -213
-109 -761  -306 -566
-62 -346  354 255
430 -201  -8 -781
-1173 -1011  -623 47
-278 126  334 547
-188 -564  127 -584
-587 98  685 6
651 189  -284 -86
504 -321  592 836
-291 -355  -208 195
413 325  179 -269
-388 305  -391 -56
-368 -146  66 1888
70 389  360 495
-408 231  -740 104
-898 9  718 399
887 352  -644 -888
-98 303  -549 -1021
68 627  -1137 -90
-679 660  -229 156
91 506  154 -327
684 757  480 -102
984 -402  374 -439
520 38  -1024 513
-480 220  791 461
725 842  -260 -588
-864 -375  -718 -727
18 734  -245 183
182 328  73 612
588 805  284 93
529 725  227 -226
211 -682  -906 148
-255 -419  -537 580
469 364  395 -461
190 -560  259 542
-310 26  -429 -272
-76 -98  -711 -24
-384 29  127 123
975 -859  516 -248
512 300  -636 233
43 317  0 814
437 1219  -345 -524
278 -24  -120 -562
-374 -356  -174 -584
-1018 638  -355 -451
159 253  50 419
148 90  141 757
-936 -447  699 -1188
-573 486  -11 -185
-39 187  454 71
107 -101  -256 -433
968 561  368 -802
272 369  1003 -1099
-24 -179  142 -258
335 105  320 409
-196 239  42 -682
751 -77  -148 -1002
-624 -62  232 -808
-112 -397  -251 -719
-728 -843  375 -352
-665 -269  -452 43
-263 -652  -61 4
-536 472  1029 -220
936 187  632 78
906 -857  -43 -188
-31 486  -759 408
-264 189  -618 32
755 -428  7 560
-27 473  -167 37
156 -423  366 239
-603 275  315 -422
157 644  -285 437
-270 585  416 -504
129 -107  -516 201
115 -722  116 1309
-399 -20  -33 -259
-336 507  -21 73
-38 -77  144 -122
518 266  -713 -588
-245 -672  -66 491
-690 -113  -425 -383
-183 -273  -272 898
675 -1061  -699 923
303 -103  331 -453
490 -188  782 814
126 -315  -144 95
604 97  217 -326
-522 68  -685 101
750 282  344 188
-757 -77  430 -195
461 -189  72 590
290 -259  37 -552
-771 -941  -103 -821
273 69  -58 -531
-831 233  -138 518
-78 -614  278 150
-431 244  204 -560
-175 -117  -94 -38
-655 -251  256 195
59 38  379 120
451 3  -121 -206
610 -308  -918 -21
174 -1010  -329 423
-174 -501  -349 73
111 -388  255 809
477 -513  -175 -777
417 -236  -331 -79
43 1284  256 -317
-1 -416  -15 837
-287 -307  -574 -439
117 -550  271 -715
146 1296  -553 49
92 -1176  156 724
198 283  -445 844
569 -470  -196 -231
627 482  -282 630
666 -246  14 268
-996 -584  -36 -306
835 -585  -567 -516
-130 311  -283 -1290
-454 160  511 272
1096 -198  41 922
-204 -332  -402 -524
599 -645  -88 519
1020 608  518 442
-1136 80  63 -7
-341 -65  -87 65
1075 -1173  -260 -26
310 -266  105 453
-266 -529  -304 23
604 435  -450 -513
-569 -135  -327 -238
-146 -256  354 538
-286 976  -348 -59
319 -373  -1152 -210
284 -137  18 -587
-557 120  539 757
197 0  -155 158
149 463  -1471 -395
31 -636  219 -383
-119 -70  65 749
-445 -276  -258 715
-490 -32  556 -883
-266 866  -238 -276
-470 -209  412 588
-992 370  -224 -545
-2 -88  315 -501
-212 121  -650 -208
173 994  138 406
-311 -127  -444 447
-313 -1121  -341 -966
-112 -242  -1153 -1324
277 -910  63 823
-234 -880  -290 -293
504 -482  352 -431
-195 64  115 -88
-303 428  225 511
892 597  570 -166
-1450 -870  -537 -52
-750 1082  -415 -206
981 -121  108 799
-207 149  309 259
-585 200  -659 360
116 -607  136 35
-659 502  -122 970
-36 407  534 -771
-377 -392  393 -669
-344 -499  -9 -596
-90 206  603 11
-1795 -328  85 207
230 -566  -57 1005
360 194  324 -406
-1191 -363  369 205
-900 865  268 439
