884 -457  -206 163
469 796  -406 -313
-601 -86  -442 -200
-250 690  146 419
509 894  -1118 641
1209 472  -598 288
-583 -120  -850 356
698 -138  433 1119
-525 339  -382 326
309 652  183 -865
-109 109  -307 -1201
1016 59  946 309
81 564  625 1162
-39 391  -1023 1056
262 -230  571 -624
310 170  -794 145
197 -485  127 746
1088 313  -814 491
-102 159  -28 534
1257 73  289 1061
-693 -809  -964 -251
617 -489  90 -948
-895 372  -735 872
579 -335  -134 272
-251 -861  256 -311
128 766  93 297
423 -31  223 621
-68 -695  -280 -76
80 290  -213 27
-10 145  64 1031
41 -974  -167 901
-318 -76  -52 113
-281 -1012  824 -653
257 -634  263 -1048
623 -695  -103 440
789 131  -686 456
59 1  -81 -496
-407 -474  717 -150
469 75  -444 1081
654 -659  377 180
143 608  -260 327
-970 -65  -416 -1297
0 -482  -286 -187
-897 68  -622 -256
-8 207  -571 310
124 -179  -226 -337
-486 -1247  -414 499
-446 98  57 198
707 647  86 57
561 102  96 -58
-457 506  214 -47
-296 -232  134 791
-220 601  -365 937
-1252 -91  76 -491
420 105  707 134
741 672  57 -878
94 -648  -499 558
-34 685  -304 798
295 63  -147 105
680 -373  -385 -753
-723 910  -339 14
-551 -406  7 714
669 -562  498 175
164 -103  305 1107
-878 -704  -316 -345
-132 -570  -758 -229
-180 -576  -495 43
198 -75  -219 314
-461 10  273 23
107 306  -120 -11
133 541  -174 -60
322 426  67 -38
287 -87  -564 150
-36 -56  296 26
518 446  -244 -423
-536 430  -491 -546
-537 -42  -790 975
-117 -96  -844 683
-563 -396  142 571
-228 -115  -421 51
-200 499  -892 -611
-612 -545  525 116
-400 228  427 690
-1269 -289  -21 -62
196 -824  -844 -627
-578 107  -158 411
257 645  -490 361
80 869  -217 436
467 544  585 1188
-542 888  -433 -419
-449 508  349 -465
361 285  16 278
178 130  352 167
-344 964  -110 -872
-263 -470  -165 666
-126 1003  236 323
655 57  133 -726
-951 -67  -485 47
910 866  -1086 641
-1024 687  324 -78
-8 182  -96 -218
-449 -529  -331 564
-29 -1012  44 1
-107 312  -195 -63
-838 247  -131 475
520 -115  -283 17
393 1302  267 684
795 107  87 -170
215 536  -126 210
1089 -607  1493 -488
114 1007  390 77
380 146  -363 364
492 -529  435 145
168 81  467 16
-479 -5  609 338
47 181  989 5
60 -563  -831 -279
90 -41  975 -179
340 -638  -1065 -154
345 310  -183 -536
1047 -332  349 140
-1017 -376  -806 -852
-52 -849  -566 -147
78 317  -774 -859
-249 -334  493 748
364 864  -272 740
32 72  -2 -615
513 342  -483 220
519 -13  77 -261
-240 374  1095 -212
-262 215  465 8
171 623  -41 -538
480 -633  -907 40
-539 15  -457 990
156 -362  -334 549
7 512  -235 311
253 152  322 1178
1353 97  173 120
248 140  -26 -389
-380 197  110 -148
783 -200  37 416
485 689  659 81
212 512  -175 -308
-71 -5  -246 -431
-1228 -267  -350 592
-1113 64  -178 803
139 -199  8 577
115 365  -670 278
-76 -146  -247 1014
965 -400  933 506
204 -374  461 -284
377 41  -185 -231
787 -19  653 -307
376 -301  184 -669
-340 542  -69 539
-1175 449  65 -362
402 267  -466 -24
526 -388  230 452
-43 -293  36 98
505 290  -123 -452
-734 374  331 -551
579 628  -63 -407
-176 -242  1385 -225
310 -548  59 404
509 270  337 -293
-344 267  891 329
-103 -10  -685 2
-65 -113  -176 368
-383 -132  -90 -271
-1355 687  613 -137
-288 -221  -401 390
-93 -192  -803 148
-377 -1097  280 -725
-632 -393  45 999
112 509  84 134
137 9  -247 0
414 -655  777 144
-611 -210  253 83
-29 -379  349 -1376
-796 377  -349 1255
122 421  -97 419
-448 -568  430 551
-165 70  374 -359
-1283 -142  -500 -369
-1041 -176  1317 -131
-63 -149  -135 143
246 -1177  -41 494
93 465  -796 436
694 287  60 -878
1290 107  -382 -364
216 -13  439 280
-188 180  -457 -185
-169 460  1117 -163
-1295 -1010  -870 38
1211 497  824 -127
-376 -536  63 146
-495 -502  118 693
248 77  213 -282
-470 -539  -712 1174
-250 -1632  772 -560
696 625  76 534
497 210  397 358
173 -246  -453 -700
61 340  247 232
-464 -41  867 -229
-201 -891  -887 680
492 837  -62 219
351 -775  122 151
-636 -651  130 174
290 -63  1300 1
279 -4  111 -1021
82 -43  339 1110
101 843  -688 729
-229 116  758 504
-502 -175  290 696
-117 -35  367 -887
247 18  -183 591
-621 -622  392 285
880 -290  142 137
-282 -116  -1088 129
605 425  -400 -418
-274 160  -305 -1189
172 155  208 -234
280 22  1147 -165
-249 665  -953 390
-52 -190  -287 361
160 -471  37 144
164 511  99 70
-160 -486  684 32
-96 -16  305 -633
-637 363  102 -428
546 17  -261 578
212 -149  36 433
261 637  -623 170
-544 -468  -595 860
182 -452  -24 -115
2 242  -908 -355
-787 460  -424 -409
529 -121  -995 -113
-33 -491  255 546
87 858  -137 -360
144 768  111 -628
-472 -471  156 -583
-241 463  -348 278
-515 -872  454 310
525 140  9 165
-288 -254  -348 -177
294 19  -56 344
449 -672  1020 -14
-439 -548  -686 377
247 -355  855 -94
624 493  33 -705
-96 443  -78 -682
235 -95  -269 755
-665 408  -34 -342
813 160  306 -685
342 -197  -424 606
70 -668  -594 809
80 164  450 -1047
-721 846  767 1
-546 101  174 -243
-937 204  150 -247
139 488  -759 -40
-323 -702  241 272
-230 -676  -322 -35
-392 975  119 154
265 -549  -290 -45
728 752  69 -167
-149 -414  405 -477
413 95  63 -91
35 186  367 -336
-619 -155  505 -638
670 -139  758 -263
-343 -342  228 113
-295 -36  -454 -107
-143 -212  -402 178
-435 -952  -13 -322
561 -435  -98 -212
-345 -593  206 -405
399 -446  -831 -470
643 -28  -547 -372
89 568  840 364
597 -353  -966 -195
-24 -565  12 664
281 -408  -568 241
-63 -215  777 224
883 -320  287 142
-216 502  34 538
-170 58  -325 592
261 195  -61 40
342 -1323  -74 -130
-322 -587  -851 -170
503 232  -196 -212
90 413  -697 245
-623 966  463 -911
673 583  526 -363
-469 -362  -292 -923
-702 1  -45 -1260
181 -354  433 -8
-412 -255  239 753
-514 -366  -409 -722
547 151  -506 -572
1251 102  -363 -371
-257 1066  -249 -362
245 -811  397 48
-484 1157  -442 668
-503 -1007  -616 571
39 527  402 -271
524 601  -220 -669
412 -183  -35 -489
267 -524  -416 -401
320 492  53 -795
-788 -1178  -328 -981
-753 -686  -26 961
7 -1061  90 -275
433 -938  623 263
1038 300  -328 155
-28 -407  -207 -591
-181 -320  253 -767
-111 555  604 297
-267 130  121 -465
0 -259  -287 -324
-29 -225  100 -779
-128 180  -392 -119
-261 387  613 -591
-182 -284  372 -275
107 440  99 -176
554 1612  341 670
-247 401  70 -538
-336 86  -241 727
279 -32  -434 -485
-49 -170  -204 -303
-519 739  992 234
745 -133  -1174 -284
-1475 -1420  -216 69
-538 -916  654 185
124 -21  -221 -65
345 -213  -49 -908
-54 193  -338 -1502
-62 -644  -333 150
-297 242  -228 -114
-885 194  -276 -409
-211 -43  83 49
521 -313  -98 58
-211 109  -863 -220
442 757  -91 -723
-479 941  228 -192
337 -331  474 331
-424 -469  411 466
-79 -247  -266 168
233 -656  343 17
-365 778  291 -740
-383 254  -166 232
193 1350  165 732
630 -920  457 359
-737 -220  306 522
613 189  82 372
-555 -744  -566 212
-772 225  -281 -803
75 98  -8 -476
711 617  -486 246
-1161 1135  -96 546
159 -34  174 -95
-898 58  835 -195
-320 98  -274 -8
603 -1062  143 -706
-30 351  -126 310
-206 416  288 775
-686 386  -125 -521
1134 1285  213 -1117
483 -779  20 -98
373 182  -769 243
-107 497  -962 -24
-28 378  687 -270
570 681  -809 -738
-529 108  396 -222
-800 -379  1062 401
360 -137  647 -449
-129 17  -56 707
208 -92  716 -279
-3 -502  64 247
604 1372  -740 -414
267 -86  -263 -505
469 79  -166 -124
-394 -316  -398 -64
922 -52  -323 -371
-9 984  686 125
-307 -288  124 -385
1073 -114  -240 -703
105 -165  97 96
449 -428  -312 -55
413 -11  619 969
738 270  -240 -739
-407 -240  291 -381
801 484  97 30
-93 520  955 649
8 -68  -99 -347
291 -879  281 725
108 -744  -243 606
-927 -826  243 373
595 293  -137 100
-900 778  -789 -655
-1485 1435  14 -133
-11 386  537 -270
-894 451  364 -33
-487 224  -205 351
-59 -499  456 -368
706 736  -183 361
331 160  -409 367
-113 1091  293 -1285
21 -26  -219 213
-713 1265  1221 -179
539 -640  -28 77
-194 -889  -28 -332
149 -368  -285 -253
191 102  599 -82
410 -237  522 87
-689 385  -1375 137
-114 320  451 56
-242 75  840 778
-483 675  -273 490
-270 414  81 351
191 734  -12 217
447 5  475 427
-420 469  58 -206
-739 379  59 385
-190 -657  -816 -449
-284 -787  92 690
-153 83  241 -176
-618 -608  -393 63
-204 512  -382 -257
-323 423  -184 840
-235 215  263 1184
333 406  -204 -251
240 914  -180 811
-344 -102  -374 -79
-380 115  93 265
243 29  194 891
-619 -207  180 199
-217 24  420 -287
110 132  -794 27
-33 660  -56 -602
-202 223  328 -722
-108 -343  718 895
190 496  -218 974
-590 -25  1182 -689
-448 951  -58 -711
91 585  -296 -102
523 -338  446 234
-44 2  -153 -420
153 421  1245 183
-107 441  1148 238
-142 -1205  -337 152
377 -59  11 -239
401 221  -400 -296
-1400 690  993 93
190 -13  599 -322
-5 376  -173 82
341 -677  -386 220
-494 -466  -366 457
-150 638  -820 -255
-443 651  340 653
-48 213  241 -858
140 702  -253 -1051
407 95  725 -369
-218 540  -68 818
302 569  290 -252
1224 -34  -460 -841
243 -354  348 556
72 -137  -205 -320
92 -809  328 227
226 -237  265 -526
-867 198  -627 243
249 1014  -136 -246
-652 -160  21 -1211
599 -29  -526 563
-607 288  -504 54
-197 -247  710 -100
230 887  -540 -292
-926 -276  -64 577
680 -767  -53 254
22 -294  379 398
-361 -683  -326 725
341 1011  -48 -410
1249 -365  -552 416
-1103 -130  -24 -685
597 411  402 781
-320 89  128 -640
-85 -614  201 -174
712 297  718 48
-8 -131  773 -147
-158 -97  142 121
-311 -108  665 -450
-224 1165  -539 -171
-187 -690  797 -156
587 -167  387 -385
-392 -827  175 -775
-611 750  182 106
-491 -803  271 789
92 -462  -1069 149
750 -105  421 -612
919 -212  633 -445
484 -435  -163 466
-1 446  -410 753
-61 -115  209 141
-285 7  -320 558
587 -898  285 -201
164 -1026  353 304
-770 563  -99 142
-34 511  2 -1169
-470 724  81 -407
268 1200  -973 -204
-398 -478  223 6
21 450  -113 -54
402 -671  -577 -453
-328 -79  68 462
-273 419  116 517
-64 -326  -212 846
980 -345  433 927
-482 -116  -563 333
349 -269  77 214
-199 -375  -62 527
1381 -369  780 -347
-389 -288  679 326
-457 -267  497 70
-755 -47  379 -571
145 -1019  -326 106
-268 575  -240 -269
589 94  211 129
701 -483  -1164 -416
-456 -465  -209 -144
-253 -504  739 157
380 -181  -709 -783
-167 -2  -1066 116
371 -633  641 -955
20 -294  -616 344
-336 1268  278 14
-787 139  -384 -562
-275 125  -145 -93
515 1135  221 -501
180 -638  -15 -404
562 -329  220 454
516 -187  345 372
128 99  -248 -14
411 -573  40 1089
-69 -169  -921 142
-262 -717  418 -154
-911 1068  -183 1021
142 -352  -304 -99
754 -218  -786 281
331 298  -105 -282
-210 -524  -486 253
1 -146  947 -47
-110 414  -491 213
441 -369  734 -295
294 237  -224 259
323 1158  359 79
567 572  105 -1012
256 -40  177 -109
1221 545  621 489
-311 -681  0 -72
399 164  164 -518
166 438  458 -87
-67 -113  -114 789
223 202  576 -617
426 -461  395 -360
258 -1107  4 -10
-390 712  -693 -224
-847 -1140  -288 -824
566 -14  -899 -17
243 215  -403 349
-707 -57  -304 922
398 -115  144 492
564 -30  411 241
518 319  282 -534
800 474  -94 -69
-440 462  733 573
-482 -1476  502 -926
32 164  -388 91
268 94  -229 503
31 -103  -63 -406
-146 -957  -265 -45
501 -668  344 -1388
856 -20  -413 -14
-881 -641  377 -492
-1233 365  -319 324
-129 -733  -45 218
150 337  -102 61
695 418  607 932
-175 -725  -72 295
-416 -70  -267 396
139 -158  -387 -342
-490 727  -743 197
-290 -128  605 110
110 -123  -298 96
-499 913  -596 -818
75 294  -274 134
-2 -364  -413 1100
-327 -678  -418 1203
-314 -928  429 686
194 356  -302 -34
-136 574  813 -477
810 -865  44 -285
310 149  -139 821
586 365  -95 440
-133 701  -502 -655
493 1  -739 16
-86 -146  -61 -153
389 357  271 641
69 -625  374 -339
-148 616  -81 -753
1113 443  -433 -466
195 -478  179 -134
139 160  122 271
-193 502  -34 -160
-142 1130  -355 -53
36 510  687 553
233 136  54 743
337 -377  -159 -836
864 -240  -74 -172
457 -178  198 -120
-564 355  115 866
-47 457  -182 -446
548 50  112 -418
-482 490  -117 38
-273 298  592 -1356
-542 510  129 386
439 -433  -724 274
276 -43  0 7
449 800  -578 435
-217 572  -360 -223
-425 531  120 88
348 -457  -74 -584
1000 -307  1128 -763
280 103  -9 -393
473 1110  -553 -77
1590 56  -717 -154
-565 -337  -360 419
153 -9  -608 385
762 447  -91 -132
371 509  -409 -370
-116 -833  359 592
-186 -652  230 -897
526 -87  -463 212
-424 -495  489 -271
-189 -386  143 -103
-126 454  491 -804
-30 -47  -218 88
-244 -150  668 -191
192 363  -65 -450
-243 -427  -347 482
-1494 268  480 731
59 369  -154 105
-209 909  617 -446
-35 206  843 -178
-868 178  -250 973
790 91  532 279
-925 58  -165 -265
24 -189  259 192
355 96  963 -242
110 574  458 887
-868 -431  -217 341
296 108  521 212
-117 514  -254 -42
-219 -967  -153 -123
1035 -351  -312 215
-549 -985  -136 20
460 -152  227 -706
129 970  166 124
-25 -368  735 -594
-569 -113  -32 -165
-1217 206  -362 -847
1 -380  90 -118
305 438  656 -57
-838 -785  -57 338
192 870  1098 -509
-113 86  513 -376
392 -15  12 45
-435 387  -112 96
-641 -325  -107 -1179
391 -521  449 614
427 390  -732 726
-99 -111  -197 460
131 294  243 321
-124 -695  711 -56
-419 -944  741 -489
-571 151  -494 -351
67 196  -86 285
-711 -983  332 115
329 -474  201 -1331
695 -1406  590 370
747 144  -603 63
-466 273  193 -95
-909 -371  -808 -158
-358 733  -936 -279
194 -435  -186 39
51 143  -1088 225
-288 -230  -232 96
250 549  388 246
353 -449  -287 -315
367 154  673 208
893 711  -594 -547
-935 -421  -67 52
369 396  278 319
-485 -272  234 649
-675 -140  -634 814
795 -629  -871 -94
-684 -433  -144 -401
264 -626  657 -835
-139 -8  355 855
-20 -77  937 -370
3 -294  103 516
-774 244  650 -104
-108 531  493 -1112
-315 260  -369 813
124 -376  -896 -562
130 -211  753 882
38 407  49 -214
-106 422  1078 -229
1175 1024  432 354
-400 -1134  609 -63
-20 66  644 -143
235 290  -587 651
-473 492  -85 176
-411 -669  261 -47
574 -52  -581 -689
-213 451  -793 290
-527 -59  55 -1010
258 -189  143 1255
960 -318  367 -17
-184 773  -702 -78
-307 44  -125 -710
911 524  -178 -253
848 -1280  830 -501
55 669  211 -14
664 435  36 -402
188 -1051  -812 -197
-154 240  -671 476
272 -588  -349 -53
43 -430  402 -266
237 -935  617 231
141 304  3 -309
475 579  46 -39
33 -138  133 -135
161 -472  50 -21
-342 -413  508 -46
-123 605  242 188
484 166  52 -561
-572 -172  299 -1100
-517 294  473 -476
-912 -114  74 -392
-662 -208  765 -310
-477 108  -238 -1031
77 459  235 37
-236 -333  261 -481
-591 639  -1212 -404
124 575  -343 39
417 -814  56 779
17 43  -216 -1478
246 452  137 -82
705 936  -553 510
-215 22  159 -389
-1264 -5  -612 201
166 -109  -144 -395
471 527  573 -565
295 -366  -9 119
-128 -1002  569 647
-310 349  553 -737
-889 812  145 -188
210 -96  -741 -28
-245 203  361 242
1014 -192  -504 -532
355 -532  -665 139
401 199  616 -336
-415 324  212 -311
773 554  -357 163
-419 110  -241 -308
204 853  219 251
278 443  88 -644
-613 -129  679 111
475 424  -157 -398
421 722  25 -343
-14 31  -1586 -1080
1540 -276  -106 -63
-187 -450  -216 -499
-483 59  -872 -1166
-413 411  -184 -98
148 793  391 -473
-333 64  -157 -562
-411 151  132 -691
-529 30  486 191
589 -664  260 633
-405 -107  -451 275
-419 1020  790 -186
-722 -590  580 -594
272 -28  550 -114
-21 -223  867 -401
251 59  328 -465
-452 170  -239 267
427 114  96 720
406 587  91 -160
-72 470  15 -141
-207 8  -436 961
-712 -754  467 322
-330 -472  574 -340
14 -204  -888 58
109 -436  -83 -240
-10 -30  -807 -112
-305 -659  507 -530
-124 -148  723 -7
738 395  58 470
215 16  729 -321
-563 -433  -376 181
1392 -389  230 -107
-605 -173  7 -597
122 1138  673 -301
-117 -539  101 566
741 48  -112 -1242
635 -2  -187 -17
-371 -3  593 -170
-742 232  -846 -483
-1254 -670  81 167
-313 -272  506 246
251 -41  354 265
981 -239  631 -18
495 364  -219 958
542 -650  -537 -842
511 268  721 259
-657 550  457 -117
383 -275  888 -603
848 -94  1072 -146
756 623  -55 -227
-374 -304  -26 -218
593 -945  12 -641
-334 -442  -184 487
819 322  239 -216
-502 327  175 299
-906 -58  129 766
-730 1086  360 -313
-477 -263  533 71
-202 608  134 -398
-473 -438  1069 309
-790 96  -417 201
-110 -189  584 274
-146 -44  477 306
678 -1373  -227 -28
-186 789  -230 -406
250 169  -158 37
-407 88  1021 677
252 131  263 29
-195 509  -236 274
874 545  -1520 91
492 289  475 -1582
801 377  -640 -291
159 -320  -611 652
468 113  651 1137
-397 -40  132 -155
-488 805  -292 -47
156 53  -39 -207
-781 -564  -1051 -564
-51 215  -199 145
761 45  -523 263
-1 566  15 -393
-315 -302  -12 -386
95 -597  649 -355
633 297  1025 -112
-413 519  524 -814
-551 -179  -191 -240
-127 191  0 350
358 -25  -47 -47
167 -922  97 -244
-906 1055  -327 131
-113 807  9 694
499 253  360 -575
-1135 350  -360 -416
589 391  581 427
-450 614  769 -180
570 -613  -856 -102
102 954  21 750
-509 696  -422 -393
286 -377  -302 -568
29 -843  -238 -476
137 81  -668 -179
246 14  -483 -430
245 475  694 351
-835 210  -96 143
780 585  565 79
47 421  753 173
-165 331  -799 -741
-12 157  168 542
331 462  -374 506
-176 106  -137 -580
58 232  1354 -591
397 396  -621 -488
-686 415  38 -848
-87 216  628 -536
284 136  -68 -227
-335 -227  737 -469
174 -60  -747 -196
-120 488  479 -329
-428 -259  689 35
603 -143  697 -357
6 733  285 231
832 -204  -199 -181
364 398  -529 -149
73 -833  -228 -472
-127 519  -408 240
30 -362  -247 -276
807 -517  -954 108
-503 -636  348 736
-428 -490  -318 -505
-131 -814  -190 -499
971 -405  -767 -25
-698 -459  116 368
-573 371  -1075 388
-95 -988  -322 686
107 173  741 -220
550 -79  394 -82
-103 -399  -485 -351
-321 -213  -197 231
1102 -31  -526 559
78 178  -315 710
-62 314  -358 -138
-707 -1306  22 288
-51 368  130 -1050
-312 414  899 -1
38 -50  681 -101
437 251  633 349
131 -78  -283 -66
491 1075  92 -1215
145 808  -483 -558
428 -153  17 256
288 365  -563 -752
603 -272  654 -318
-365 781  133 256
-438 697  -360 610
-126 1045  -553 195
908 88  -190 -463
234 -413  556 39
242 258  312 -926
83 337  -514 -612
-904 -211  551 -80
-79 -529  -324 390
-419 442  40 -169
389 -433  96 -83
543 149  75 -181
-496 24  -406 -329
-172 43  816 742
129 96  153 370
-202 343  -391 -765
315 -228  -133 -189
-496 1303  494 119
-483 174  1049 245
615 129  -365 530
221 -58  -875 -313
-281 127  -583 -223
42 357  847 70
-224 11  566 -456
-113 334  -313 915
715 -198  437 -1233
-703 -843  -638 -90
-137 452  448 65
245 293  763 -738
-169 -490  14 754
-883 -1300  864 -593
-179 -535  191 -141
-648 -289  -227 -993
7 857  213 -274
-129 -308  342 700
718 640  26 416
-170 1138  121 -53
-119 658  -578 -303
-662 198  485 -323
437 304  -55 667
-232 -573  -622 240
917 94  -305 -70
-164 586  -770 -68
-138 5  -368 -358
-95 200  1029 -281
-974 -39  932 654
-664 -701  -390 842
-1280 55  -367 1071
-599 -126  361 107
504 -589  74 -533
-490 1078  188 125
-1095 133  -637 -6
-317 608  -586 -241
-764 398  -426 544
-32 -478  -267 -490
-505 -394  -55 -253
900 78  -380 -238
369 753  -172 97
-244 -145  426 229
-65 -159  134 11
-288 -409  162 -1
-18 603  690 173
-888 794  -429 -506
-737 -226  -276 54
65 -251  -57 289
-605 129  360 -42
386 183  -129 599
156 113  305 -877
691 -9  640 -430
390 -625  -25 -642
214 544  -281 -153
-16 719  -1186 276
-644 -448  -113 -508
-348 -487  -839 -889
378 -152  -135 -241
-423 1231  407 -134
119 -412  -198 447
-444 742  -758 -644
571 120  -234 66
-208 -991  28 992
-46 1210  -113 685
-633 637  39 376
220 -426  60 351
372 -77  -790 210
-66 371  -488 -562
464 -254  -638 643
391 56  1498 -161
-161 -742  -293 -518
725 871  -5 -6
356 441  43 -618
-6 432  516 -47
231 633  -750 -672
-580 196  -70 96
1338 -501  200 500
270 -275  -614 -518
174 442  168 1
-678 407  286 255
735 -181  -50 -509
576 194  427 352
-1 -954  -958 -624
445 -870  -239 -271
-532 108  334 396
932 553  539 86
106 359  704 -183
-324 -151  176 140
-497 -1290  203 -1375
-44 296  -277 147
576 -45  173 -145
542 414  -763 -190
495 292  171 -143
17 -615  406 -1071
-203 330  -371 -22
1348 301  -174 193
224 -550  -1274 -377
169 -73  -132 291
-378 -98  -784 -599
16 -1196  255 852
635 -681  -1369 -276
-314 88  -809 672
-334 -372  -443 -132
-164 342  307 969
101 -215  397 1167
-902 -7  399 -749
207 758  -125 -686
719 -214  154 17
107 272  -289 701
-374 314  434 -87
298 -674  328 -1399
-78 -150  153 -375
591 578  -14 164
-1093 -92  -608 -326
59 815  -10 642
690 -292  214 -955
728 -406  1110 -487
-43 -1012  -852 -84
-75 280  66 -55
-137 -308  -887 174
-266 -251  159 -425
268 -643  729 337
134 -429  -9 -152
462 -57  985 918
-18 -1269  -390 361
-179 -136  -329 -268
461 865  -120 -11
-189 411  52 14
-19 -528  -145 -774
649 -22  -394 -875
-457 -43  40 -355
607 -659  -392 -233
968 30  -402 -626
-630 -841  128 10
745 -955  -25 625
234 385  -555 359
56 208  26 641
866 16  -705 608
116 1272  -247 43
835 22  -197 120
292 770  0 54
-243 -569  219 -387
929 -434  -119 -951
666 -163  158 -304
-265 -986  390 124
789 -940  461 1028
-358 -794  -442 -34
-280 -61  -299 -161
-650 37  150 -469
-507 1001  51 455
369 101  2 384
-81 -500  -899 -1019
-300 -210  481 -915
-216 -501  77 171
-153 901  155 117
-111 -1143  1196 -159
895 -941  -366 42
-780 299  -402 557
-284 -53  199 -247
285 -580  198 544
319 489  -34 130
14 -379  -116 -117
-590 952  260 -569
-177 564  -749 330
663 -952  -293 390
62 663  312 -365
5 -640  -49 375
605 -459  -18 -127
-426 387  826 -404
901 -375  -71 28
579 -236  -464 -118
438 832  -710 -743
333 136  706 263
695 788  -164 682
-582 37  155 732
-521 -8  624 -361
29 71  38 -285
-283 640  90 378
-199 -256  -370 84
-1021 -281  -277 -511
-311 -403  -61 373
272 626  306 -44
814 204  684 -1160
-198 591  404 556
-250 483  604 -36
46 -1042  -557 457
-210 -274  -395 -525
372 21  -831 -228
-15 812  980 -364
406 -87  -24 -1006
145 311  893 -178
-72 370  -77 779
659 -994  193 335
-16 -445  5 272
491 -216  -155 596
-18 -14  255 645
-54 878  -364 -328
805 534  209 -63
363 -689  -710 -75
274 -357  179 391
376 -32  -20 -396
-739 366  -317 777
875 601  151 613
386 451  -68 116
-37 -169  541 1015
376 -40  515 -830
-286 -260  -10 334
146 377  332 -492
-13 -7  521 -206
-65 461  -386 238
-210 -117  -477 -344
239 -205  -317 624
-1048 -131  -328 368
-364 -183  507 764
-119 140  1107 -256
-339 142  -49 -223
-589 513  -75 -320
-548 -119  -264 -177
94 -102  -431 4
455 -383  -378 -287
-461 -615  -262 155
392 143  506 199
-418 -671  761 -874
260 -254  -715 530
-107 92  774 156
96 617  255 -202
83 -200  -71 -164
-99 -532  -145 215
1195 712  846 -309
-88 25  -100 239
176 144  -391 807
-204 28  305 -229
230 532  68 542
-152 -381  508 -1013
-464 -451  -254 500
-899 -16  915 249
620 -139  503 62
-223 -6  -627 161
476 954  -120 193
-253 1113  532 -727
469 -92  -87 -258
241 -299  118 -174
511 158  -320 86
25 -1315  -8 -306
-843 4  -551 -378
-115 69  303 388
670 -138  249 -175
-807 352  -211 992
285 -139  815 220
279 -374  -158 -159
-507 369  177 228
-205 -351  -29 318
-45 422  -98 -78
-16 -300  -646 559
-59 609  -196 -599
81 436  469 -210
-426 38  850 -622
-306 -636  -257 63
384 386  78 -418
48 -91  -60 -458
-879 -671  361 849
-490 351  -645 229
138 365  -127 -230
144 532  517 343
90 256  173 -671
-706 -73  1166 352
434 315  -378 -692
235 -377  -647 1133
