-967 -544  420 310
-194 -108  135 -208
425 -168  1188 -79
99 213  -385 -505
-221 -826  730 -444
-34 255  -234 -330
626 57  153 -459
-64 -747  110 -687
1152 -769  -207 -733
113 -602  553 610
-248 307  701 212
247 -405  493 68
-259 159  -444 -809
265 268  -232 183
-446 328  710 310
-392 18  -212 -425
-528 1117  448 -673
-126 750  -507 -994
-285 -759  -203 -146
514 259  319 -305
-108 -62  212 -354
95 -405  -597 281
-462 -180  200 242
725 -494  -58 -704
14 146  -1130 997
24 -1113  44 228
37 610  590 -835
-41 -294  234 405
64 584  -124 31
570 434  -444 -142
-1331 -947  530 -951
-457 518  -30 -382
569 86  -396 25
-103 -370  140 -87
-314 -335  555 1053
-126 210  121 -508
393 -744  141 -144
-332 450  148 -555
95 928  319 -857
-831 323  414 748
1023 446  229 62
-32 1046  699 158
44 688  -497 -892
-649 877  -68 314
-232 -533  -658 136
-61 459  -1229 323
821 -1357  398 200
-81 110  -79 -343
257 -186  26 -363
1405 896  -400 114
-135 795  -350 -574
16 648  77 -55
498 -114  -1043 168
-361 -301  134 713
190 455  -409 -3
457 -335  811 -373
-482 -622  1097 -560
436 88  748 -466
-89 145  682 -248
663 -231  151 -320
-427 -107  193 -238
843 -747  1498 -269
-946 988  491 -515
12 -310  354 -614
882 -88  87 -509
-618 -238  -520 426
265 -170  438 -339
354 -82  -1061 -408
207 390  -87 398
-976 -952  -470 -348
1099 623  -504 -130
-661 107  -72 375
197 145  -209 -161
688 -52  240 -945
-905 -263  -214 72
-452 -169  -1077 118
211 1306  814 795
89 -578  394 419
-1158 379  238 -102
509 -21  491 -13
-1757 656  733 16
-1181 666  -394 -427
-212 -43  129 538
-42 177  54 -296
-657 -1353  -1006 -118
-1488 464  -225 881
70 -257  631 -764
891 614  265 -67
1093 211  672 948
-640 1113  166 -935
-631 -326  -136 605
-188 -74  846 6
174 -936  -123 550
712 -33  304 -534
450 -239  -946 316
695 -339  1 104
607 -357  -98 983
496 -1028  -941 346
-10 -572  254 862
158 -188  -165 167
-169 -287  -229 -532
318 -102  -30 -295
55 282  -21 -13
-2 49  -214 -146
-372 29  -691 -124
-871 448  -273 929
-848 877  1357 -577
539 -140  -37 1220
-807 600  21 154
-1414 39  -764 -564
473 663  408 -114
100 172  86 691
548 355  -264 -111
906 -702  740 -553
-190 138  -1087 -255
227 -356  -688 -539
231 -1575  7 -224
811 -792  -126 515
420 236  -303 366
-690 563  -283 324
-253 11  -96 659
-132 133  348 -63
-690 9  -227 714
-279 -170  -1110 568
1542 428  -25 -89
757 215  131 441
-421 -1504  -637 -412
630 99  1001 6
-125 379  32 -655
244 261  -680 334
-615 714  -375 360
748 268  36 -447
-198 1040  424 -299
655 -9  -1598 921
-189 -1328  -1009 105
190 -217  1391 205
655 -18  -232 119
-955 -476  -689 738
150 -80  -749 305
-170 1102  938 236
-38 -1268  -422 -466
-407 91  -478 607
-308 -197  -795 -420
1169 706  14 -277
504 -128  -41 -577
37 -86  -464 128
-224 529  456 -475
473 72  118 -412
-670 -1080  11 1007
-250 927  353 406
-723 -177  -456 487
-703 -22  -112 -115
504 -459  266 -171
-568 -147  648 -123
-221 488  268 -355
-403 240  -30 404
43 -653  237 -441
-240 -82  434 1011
50 954  -73 -154
348 12  45 -798
-1312 627  -532 -292
-146 1037  -197 14
-192 -731  329 -111
537 -259  721 -131
-10 256  185 184
-21 -12  -338 58
287 197  -9 325
-419 133  693 126
-738 -114  -83 295
-577 123  -896 158
620 -220  -188 -385
-146 15  150 -58
-829 -139  -1443 -383
-113 420  323 52
590 402  -133 -40
-594 344  71 593
-88 203  -173 -413
-91 -163  786 145
-961 -586  472 897
-253 679  832 401
1004 -482  384 158
-649 -1081  -690 -429
-449 178  -1172 373
-816 86  174 282
-495 210  301 859
51 -77  318 511
691 271  913 -56
339 647  -79 622
228 443  -320 -142
-1211 226  183 724
217 -16  -416 -126
-199 -687  211 599
-437 -406  157 -176
371 -128  175 225
-693 -91  47 159
-1088 -615  -496 -359
-146 356  -398 508
-196 -551  -388 116
-702 407  41 714
-170 -424  -970 -661
509 -477  -303 486
-101 -177  -122 12
-182 306  771 -267
417 51  122 -841
638 918  -156 797
605 550  -558 -936
497 -326  -56 330
1073 -240  -241 84
-53 -183  -307 -162
-56 79  -828 239
507 -583  38 -365
210 -85  373 206
-1007 70  1043 -205
767 130  -1280 -428
180 435  366 400
-279 499  -221 -161
-241 -84  482 -158
468 -186  -405 -187
-216 -163  -286 53
911 -255  -38 867
-607 681  135 -835
430 -625  496 818
392 -239  -293 -237
-751 -737  -962 -187
-130 26  952 -508
-498 749  533 158
430 94  -103 -561
-279 -343  406 692
-1078 -273  84 196
233 -751  -180 84
150 -511  441 558
-714 33  27 -581
-663 336  269 -72
423 135  40 843
-189 16  98 58
152 -1033  -161 212
-950 -977  -191 52
811 274  94 153
-643 -310  158 746
-195 278  425 149
45 461  -151 -397
496 133  -541 -430
1238 897  315 307
-561 -542  -32 800
504 -785  -48 551
196 877  -584 -495
-726 -926  -255 -447
398 -256  -382 -304
124 -1005  -421 115
-211 -818  -457 177
882 120  -108 760
-15 -549  -743 -162
-107 414  -116 -51
-215 452  24 447
-464 63  77 -607
-215 -37  -225 -809
501 -239  3 -593
274 361  1301 520
-977 341  -1057 -606
-551 373  34 696
962 58  346 -551
-316 421  -288 187
-154 -112  424 274
421 -624  546 -414
-322 -77  143 -75
-181 -890  822 -829
-512 -580  -212 -547
308 60  168 130
1092 -213  -722 75
253 19  -478 85
-311 531  309 -139
-35 438  -119 550
371 -379  206 -494
926 530  151 -614
-412 -79  -423 -413
588 578  1385 -170
103 -456  -462 485
126 -195  -554 -107
-114 -478  608 528
220 1  -519 191
-176 -1032  162 434
-192 -724  -430 -708
578 -585  -108 210
760 1522  472 341
-165 -479  314 500
245 -540  85 142
-165 0  -231 262
-498 322  55 -170
527 135  427 530
626 24  -159 363
-95 653  -18 620
-675 -455  -448 947
733 -176  -912 675
932 -1097  199 385
-960 174  -150 -417
888 -747  247 351
809 401  137 -330
142 -1137  -969 -523
341 -171  35 389
765 -313  207 606
804 -440  348 -499
109 -377  -335 -200
105 369  -662 -494
-471 491  205 -360
-186 -326  -220 344
-567 495  -879 -167
281 -285  187 -250
354 -388  -625 613
529 -99  -96 93
370 -116  558 -736
359 -629  1184 500
212 -341  512 488
-738 169  -153 106
194 51  878 -503
306 -872  -134 153
861 -187  451 -736
-694 -359  964 -224
154 -189  -408 672
130 4  447 -838
361 -475  -667 199
-272 642  716 -666
398 -119  60 -344
-434 269  620 515
-202 -185  127 1073
258 -131  -2 -568
-576 133  132 -147
-186 -624  -258 102
-77 -560  -489 914
-158 249  390 -364
-437 110  -138 1373
-500 -242  -71 -263
-184 -871  306 -685
-20 756  749 -370
367 148  -1024 -149
-764 317  243 -1063
154 -123  -355 -417
-585 -115  425 -911
16 -125  682 -238
-439 386  -89 421
-356 389  453 -609
246 -609  1126 173
1290 -997  -717 -584
181 -240  -1433 557
137 -148  117 -32
-150 -169  550 418
194 -167  449 -364
76 448  -520 -455
-54 121  -649 -717
179 716  973 -598
-516 273  -877 347
-351 52  -479 -1187
340 -223  367 -564
236 708  -758 -525
-619 -132  -113 622
946 -851  171 -44
-531 158  147 -361
-233 277  446 270
-44 675  206 -596
171 126  -134 -206
128 -602  -585 -446
-351 -1283  717 -246
484 -635  -476 123
161 -260  590 433
1068 773  -640 -395
198 -298  -94 162
247 61  -243 -519
-68 75  -617 309
-363 -311  397 984
-241 -611  -250 -593
-1296 342  733 -739
-164 840  -20 -730
-204 -573  -443 -128
-278 -91  -859 -421
240 174  -460 263
898 504  906 -208
973 403  1116 -195
431 236  -59 -24
-888 -113  -335 484
-161 70  14 734
1020 -480  -235 1399
-379 310  -389 1248
452 196  399 -105
92 361  622 -222
-628 -204  -383 673
329 -116  344 137
1026 221  1072 -56
-514 211  799 318
-375 204  511 -688
-451 -936  803 985
195 -199  341 850
282 173  64 -317
-469 26  627 -231
-437 -334  49 -306
745 32  -303 -203
395 420  -433 -161
968 308  415 -247
130 456  -1162 -576
23 99  -674 -776
-275 -54  -578 -611
-1591 -366  57 457
825 451  -505 -87
653 -624  217 205
107 28  421 366
-271 59  -70 521
529 -744  368 -207
154 947  -155 263
-298 -999  -484 895
86 242  -258 463
-790 -203  101 718
-465 244  -166 87
1433 -1064  -820 294
-109 326  -136 663
-465 -259  570 -224
-788 -183  711 348
-684 545  -29 502
582 -146  696 -35
675 56  -446 807
-180 -1231  -206 -616
312 162  310 164
-624 -272  -208 -465
367 -754  1054 -414
53 693  84 83
-740 -1728  -333 -171
441 -49  -42 383
139 -275  -384 -50
19 -848  -30 -163
-595 -32  -780 96
-507 463  -1450 -97
-954 -156  438 288
481 7  83 174
627 618  511 -425
-888 384  471 -428
-501 419  275 -386
317 -679  -405 -393
-724 789  -394 -578
197 -763  -158 -50
391 123  -426 -868
141 -1177  -244 610
285 192  -534 308
-330 -37  -109 837
1399 -312  -687 -327
-969 515  833 1476
-33 222  -1002 -214
326 -608  -153 292
-202 867  332 149
-425 726  -639 -301
708 -489  -83 -409
-319 -109  -501 -1170
218 193  -94 -33
9 142  -103 -240
-42 2  -666 -187
-349 -435  877 193
-334 -13  219 90
198 1128  225 -656
134 794  -8 -496
305 601  447 -509
-551 719  108 -713
-977 467  -213 373
-458 -365  670 -325
827 -1337  358 -51
-200 -242  195 -230
-391 516  684 -94
-343 -616  356 395
-383 956  -670 220
-170 -904  -347 -747
656 -2  -95 -162
-237 1177  -1016 -98
-654 205  -35 -587
84 -762  100 298
-136 -490  -169 0
338 683  859 -236
-307 -191  172 -218
-474 239  -22 824
337 -297  -542 -427
-645 160  814 -1230
-314 -122  157 41
257 -257  656 -322
-540 774  -29 -251
840 1030  195 -59
-156 -323  -179 59
747 259  -240 887
123 -56  381 -472
52 -423  -804 229
-867 -879  -1238 -392
-262 433  376 685
-301 732  -16 -795
-302 -334  233 -670
399 36  -250 81
-640 -196  401 413
458 34  607 -733
-791 103  347 410
152 536  -111 281
-893 -263  304 -85
400 -285  -435 231
482 392  441 1130
-71 -639  308 740
145 822  279 -498
694 -779  330 415
243 291  228 -578
-324 291  127 -88
-11 -46  -643 689
-653 -128  219 -66
70 -486  57 -15
118 -1154  427 130
-1356 21  282 -254
-64 484  -560 527
-60 -665  -119 316
951 -385  577 469
-238 -217  466 107
-359 -28  468 572
-584 -319  -124 705
-520 -479  -221 -118
-515 122  -510 -97
762 882  167 -18
254 -14  -106 -514
-222 -480  275 -625
-591 210  -372 683
-296 -394  -653 -536
318 196  52 510
88 670  -470 -133
317 7  -211 -371
173 -187  368 23
246 -630  -296 -336
195 -202  -720 607
-221 70  932 -634
-417 -129  938 -323
-43 -275  -175 474
79 37  907 392
104 -397  -165 -540
444 700  81 1384
363 -15  -765 590
461 -191  -843 238
15 -281  -9 -169
390 939  1112 610
449 1  -992 -99
-40 455  182 -750
983 15  671 -421
-709 -9  175 -1397
-95 -188  -192 149
-210 -804  260 -240
-202 -92  381 147
-294 296  -57 -861
543 632  -1576 -712
762 -1503  46 -285
96 71  150 267
-657 476  -12 -775
-115 -132  -157 -421
-240 -532  -1125 -421
567 -607  107 593
-190 674  204 -423
-125 -73  -175 181
123 186  -321 139
-738 330  -412 65
208 -1010  -376 493
-318 -462  -334 232
698 184  340 628
-325 722  46 896
-358 -374  380 -213
178 -191  -22 78
345 -455  -102 -404
-800 -195  814 224
273 -356  437 554
-141 572  -1 201
-183 -246  502 860
696 434  -179 -154
267 275  -422 -284
734 -451  452 -162
-431 4  171 -197
205 189  -114 -9
-267 293  -227 -226
-546 -592  -452 -802
752 45  155 546
522 -552  46 168
272 -333  201 668
-586 -37  608 -580
-1244 109  8 356
-1115 -358  435 83
-518 604  -344 -184
-1031 -207  -602 731
519 -860  450 59
-178 -56  -402 454
337 437  -293 -281
-556 -110  -94 -88
-243 -352  367 -373
-1136 -441  -473 -652
146 631  796 373
-240 -340  400 -678
-751 386  -66 21
233 1413  155 753
638 -415  -548 -868
-426 508  -669 -69
-206 -206  -480 -543
1016 -330  23 -530
377 96  -8 -600
-219 -52  -546 260
-417 -66  243 2
371 527  1254 -2
-44 -747  299 80
-469 547  633 -53
869 369  2 -510
217 -562  -664 356
-350 -136  287 132
1472 -439  727 -578
1214 -1038  -445 -290
151 -302  -186 492
220 -199  -56 494
-272 618  -91 -66
-809 -497  -246 727
155 -833  333 574
477 -403  675 -263
453 -383  -34 117
-283 -405  -132 -390
-74 732  387 -306
-711 26  933 628
-728 -114  -49 707
-1252 271  -744 -541
157 726  -180 923
129 297  418 -104
669 -454  -319 744
-190 635  983 93
-187 443  75 192
-620 -630  -613 -491
315 -456  -1181 225
428 688  1517 8
-711 502  -947 -198
-232 -357  6 -725
-407 175  -116 -990
-1275 325  -83 -220
-274 -433  151 228
580 259  371 -602
841 -172  -761 -861
502 -420  -61 994
-183 -699  -283 -304
536 323  491 659
-770 -61  110 -120
39 20  390 -362
-410 1254  189 -23
299 -581  1074 605
-108 -638  -851 107
-924 81  925 8
740 284  -335 -473
502 347  561 -228
-737 449  -568 205
306 685  -721 -299
492 73  392 121
779 276  -154 13
-54 -34  -15 -878
-192 -49  -87 167
67 -950  140 -829
797 -170  -376 1070
-558 998  -122 -494
-297 310  -1200 162
-107 257  480 666
-350 -507  1013 200
638 242  -41 350
-734 -831  -883 762
-473 -616  274 804
389 -356  325 -375
778 262  -789 328
-6 167  685 142
551 -263  -327 -429
-30 -576  -224 94
-496 845  -370 295
-106 -400  84 592
-402 61  790 -489
31 -304  487 -1045
305 555  -273 724
59 96  699 370
-388 -42  18 -804
433 66  -954 -78
-459 840  -544 244
457 -1155  -9 -598
-400 -42  951 283
142 70  -323 -19
-79 -193  89 394
-588 -217  337 1014
-82 983  35 191
-1024 -243  215 8
332 -319  -77 1005
273 -194  -682 -393
-276 -471  -573 -289
783 142  143 190
691 -1037  660 -23
-472 3  45 -279
-504 -666  341 -296
482 -326  -173 540
-274 -163  -278 -104
241 -97  -705 -965
209 18  -288 236
-477 -563  -427 533
66 -269  839 -120
-476 603  98 -120
-11 380  -863 -113
370 -36  1067 -583
-512 23  -51 -163
309 377  107 706
-1304 147  -648 42
-1427 693  101 19
-380 -181  -168 -550
-133 281  -896 -308
-139 141  450 457
-817 469  109 -19
1021 -102  472 -363
9 -392  -614 -283
-272 231  51 1008
-111 678  337 -282
616 -345  -664 689
68 -567  303 340
22 -1480  -296 55
-592 -11  -544 22
53 -168  616 199
-22 -220  478 -971
-264 317  1033 313
-574 -168  332 299
-6 150  125 660
-187 -926  148 -1236
633 409  -7 -133
94 -630  399 135
649 49  -242 226
-453 -273  435 -158
402 -933  -865 -300
107 -561  -105 -109
960 285  -313 336
-70 151  1008 535
629 541  711 -349
-192 135  632 44
-391 -201  -248 -158
-105 -414  288 -403
-42 784  264 947
562 160  -487 -448
-765 -890  -81 422
-969 -182  -570 -403
-23 -127  -192 507
-551 -31  -387 822
-527 678  475 -113
-380 -312  211 -82
361 785  -114 210
-529 10  1483 -381
-1592 -634  -33 3
-498 -379  649 477
-539 754  703 -303
369 126  -203 -660
410 -375  752 412
-266 88  -142 -264
-121 212  83 -339
-62 -506  -496 -574
116 -634  198 -120
-474 -281  -70 247
542 -644  1229 -218
-94 72  -158 239
424 332  -11 52
112 -497  -514 2091
696 -965  -281 -144
-369 -635  1001 520
-1090 -178  -117 598
-251 328  -1144 79
-350 524  -589 223
-634 -299  185 29
1049 302  48 486
-241 364  99 364
-316 -145  132 -186
-244 259  682 -549
96 553  -797 -78
-86 458  -868 -154
-105 311  638 -61
-33 -372  -846 159
885 744  -42 -422
-160 850  -164 1013
-282 410  960 -981
665 -220  33 771
-451 -229  -755 135
143 22  823 101
300 16  285 -591
-45 860  262 447
-109 -171  -837 85
-410 824  880 291
-1299 -876  753 315
445 -65  179 -670
-298 -13  846 421
616 -715  551 -414
-871 -18  -333 202
-292 478  -925 93
-235 -511  -623 127
438 243  1049 -299
-218 323  -174 -358
119 583  -149 256
-383 324  -280 -97
548 -414  -1006 295
-542 714  113 584
-321 319  -454 475
97 -626  641 -665
-1027 -186  -43 -183
289 257  -485 47
-11 -616  -673 597
-13 335  -59 76
-593 -316  -828 -159
-304 258  802 -245
453 -320  411 196
-152 -151  609 174
800 414  -444 169
-18 102  -253 -765
106 176  673 -783
-809 366  448 -480
-528 -808  786 -208
235 417  -753 167
-463 -98  -605 112
119 505  1450 368
612 -161  -962 634
-283 -471  -176 76
612 -834  -44 52
237 -418  35 185
47 959  -90 -290
-318 -635  -412 -180
-116 414  59 734
-805 -54  163 269
80 -169  -8 12
-558 -299  55 -677
-492 98  803 287
377 209  -337 715
343 45  -445 208
377 -201  -357 -182
-213 -176  -561 -366
-284 83  491 528
-280 -118  -424 -566
69 -204  -236 -375
-99 696  6 -144
-411 1  -383 -41
-1139 34  -415 -511
16 -177  264 -524
-315 12  1118 64
503 918  241 708
-340 370  581 176
-199 -438  -518 52
-247 -448  -48 701
-544 441  -183 301
238 -67  416 470
330 351  -680 -440
-979 1022  353 333
124 72  -299 219
-221 -415  -151 87
-1039 594  -474 -371
-259 600  307 -64
71 -158  -174 -456
-399 -148  -875 96
186 -75  -152 89
-39 -244  -951 670
-706 396  -268 -381
-76 442  -141 -467
-842 399  -518 -58
-261 682  -371 75
-329 -237  28 56
-750 891  227 -292
807 1121  -424 -429
-415 267  -372 193
75 561  -189 269
-375 -22  299 400
349 -13  -252 866
-527 1479  139 450
-76 -399  225 -1039
-666 174  178 515
261 664  13 -25
-882 623  -770 978
91 409  -4 568
581 310  52 456
-290 -260  -804 614
-460 96  172 92
-536 -894  -297 230
545 26  -385 -116
499 7  -1179 -540
-85 372  -474 479
-772 345  -202 -714
-321 286  255 -382
-41 463  1013 -123
-36 870  240 -284
-882 189  349 -320
-201 333  658 124
-1352 421  734 -65
187 -331  -367 391
-127 604  385 -1009
-293 -200  83 -146
-496 -169  229 237
72 -94  279 -526
409 367  -265 1052
-49 128  -389 -270
806 -209  225 -43
-230 -1032  286 1235
854 -608  100 -415
178 461  550 -616
165 166  -24 -414
220 -73  -508 -1340
-166 -303  -545 -289
297 -387  409 27
64 738  -26 281
-627 256  -1342 -777
-41 -1330  530 -220
284 -689  -354 -244
-308 -39  1075 -481
-754 -510  569 -136
-267 317  37 -49
1087 331  -350 -592
999 419  822 1473
318 -115  -164 -361
84 111  -318 -213
983 -906  55 -278
98 -508  -819 -468
251 14  -116 -540
-149 55  -620 -590
-3 611  -523 -345
581 1238  121 -412
509 17  122 -497
-629 -169  -99 59
287 -357  856 353
39 -863  108 -181
-274 -662  -483 -8
-666 -217  -245 -932
-709 -238  -5 -337
145 -930  -600 439
-261 120  757 174
116 1357  619 -392
220 -875  -78 -364
876 45  412 -116
-784 -16  889 777
750 -466  346 869
-213 -130  -680 -475
-228 -477  160 -61
-759 -513  -307 301
-696 -1279  249 699
959 -369  -844 -80
-279 -255  -869 8
868 411  703 372
129 745  294 -710
1391 497  -446 178
-295 215  829 458
188 -558  -39 -299
-56 -97  -516 -289
-131 -172  -98 -403
-102 -853  276 478
-651 499  -740 415
65 -841  579 -641
624 -682  -553 607
-488 791  -450 931
-28 167  -794 165
743 -171  -474 -726
104 -500  682 397
583 -419  162 -438
332 37  626 -500
-593 754  -212 -280
-827 -65  -97 -407
-206 62  -424 -154
-523 253  -499 23
773 -159  -603 518
94 -734  -577 239
-956 -38  169 151
-203 597  232 -333
-635 703  635 -226
1240 -217  270 377
-987 185  -652 -721
2183 125  -343 -93
-189 -856  -498 -210
865 -896  -13 622
-681 -538  253 -1085
1129 431  -830 502
-72 136  2 309
586 -593  -408 97
-416 -697  -40 -334
-435 -54  291 531
777 331  224 -189
-1194 180  193 353
-510 56  258 -452
51 -699  -353 660
694 457  -175 785
113 -71  -579 -8
2031 743  -144 392
-601 363  778 219
-155 -743  994 72
-31 -361  363 -288
-118 -131  380 816
-504 -450  -862 468
-265 -428  -9 882
602 -69  -172 431
-289 -337  -582 -389
-624 -426  213 -313
810 -618  565 663
-213 -17  -27 682
-374 -57  35 -868
379 19  1 379
-743 740  -224 -225
607 622  -247 -251
-397 -757  498 10
49 126  -854 -321
535 445  -1163 -442
409 966  234 -46
-295 -97  -213 427
993 1253  -154 783
415 451  -8 -408
-1172 300  497 884
374 53  374 112
-1014 -598  -286 -671
351 -261  313 418
1138 -587  -460 656
198 -7  245 796
130 -379  370 -1099
-755 -256  521 -287
-116 57  484 -1007
-745 -1055  580 -559
-177 657  -360 39
-260 626  309 -178
526 244  600 -848
-186 286  72 869
-1313 -548  -11 1186
-644 365  558 -937
636 86  -1147 176
1143 899  -6 -47
161 -531  -369 -454
-631 -756  -192 683
764 -289  -188 -404
-450 589  -239 -27
-292 -955  283 277
437 1208  303 467
-38 -751  942 -259
918 189  95 -590
-29 -342  -778 -398
256 -483  -964 -841
-61 -330  829 256
694 -60  400 392
-405 -698  698 175
-672 -1666  187 549
193 -587  466 959
-36 -355  -180 -31
-382 641  -95 -221
659 -357  786 -937
-11 -94  225 182
468 -193  -825 -293
-12 324  389 704
-214 179  -537 693
440 423  755 999
388 1099  -652 1296
505 233  -146 493
263 275  -600 -432
772 -95  786 -372
-137 -225  373 105
257 -289  -102 163
867 -210  410 -623
-136 -680  -76 -159
887 -551  332 454
1111 306  -424 81
41 556  -18 -222
-168 257  30 -90
872 51  1170 -317
119 515  -131 498
338 -871  -297 611
313 487  -511 -210
-245 -169  -468 434
-24 -291  329 466
79 -263  -58 143
278 -797  -341 -348
-600 343  -830 251
-276 433  712 -58
-700 -990  256 577
425 -246  71 440
-336 501  164 1133
208 18  -170 5
-555 -371  -18 -433
-279 -373  98 -155
178 583  256 -772
483 1046  142 -374
-287 57  145 -833
-473 -656  251 829
-408 491  820 56
238 312  201 -380
620 159  148 11
-40 -450  -235 890
-608 -725  277 -553
-232 -10  -698 258
355 -540  30 510
-684 -362  766 361
191 1391  -735 763
-218 102  -96 884
141 133  459 103
372 269  -39 495
88 -532  176 -589
-67 564  644 376
-123 506  89 -121
-782 13  303 418
429 425  108 76
270 375  -629 -197
452 228  523 388
492 -645  -66 -204
-836 -188  685 243
958 29  528 261
-124 -8  -78 439
-1038 -591  454 122
117 81  329 -820
-241 255  795 -53
533 915  -299 945
164 -479  402 -203
34 -751  372 346
-165 857  149 -129
570 -174  357 337
215 -121  -241 324
690 -928  -45 -474
433 -120  -440 -243
272 -296  42 -622
143 -492  859 335
756 913  -236 136
658 528  -542 -446
-321 660  -536 -598
-352 315  -1378 131
-36 -607  -305 739
-36 232  -260 75
148 -1052  -293 -593
-133 -162  -53 738
-695 -606  -411 -21
996 602  212 -669
-935 -78  737 -66
327 -557  -155 -316
696 138  3 -652
300 -141  -398 367
16 785  561 907
445 -560  214 375
333 -311  293 553
-155 -403  4 359
-496 -343  390 -385
-659 277  -210 178
-938 -383  454 790
-84 -1021  814 -524
623 -185  -965 -859
469 -46  -1227 -584
-1162 154  718 857
609 -218  -748 207
-171 -182  409 -97
1035 354  1052 -130
450 24  448 -444
262 178  182 322
367 834  67 -559
222 -665  -834 154
-115 127  -164 -736
472 180  613 211
-49 644  271 202
-151 126  124 -605
25 1  180 -507
352 -536  -164 -241
-343 815  -157 -186
-329 -186  150 116
-306 -1083  414 -277
429 100  610 -1243
-594 -374  410 -113
-496 935  462 847
-546 -91  911 -396
984 -345  -255 128
-294 290  433 -667
498 -563  679 894
-237 -289  183 15
-545 -413  -414 -119
22 -931  346 -396
690 -3  524 -931
741 667  385 -127
-588 -361  479 -770
1011 141  -263 98
478 -371  717 617
708 46  -374 290
-483 -161  592 42
12 602  -830 -194
-31 356  -441 323
-615 -388  85 604
-644 605  -348 265
-117 -421  48 -653
-114 -451  -684 204
518 -595  -818 -232
-123 -104  41 544
886 65  682 969
209 -209  344 -55
-155 221  -581 322
715 -113  139 -208
132 -229  -78 -310
307 128  1400 -902
-1167 100  -24 644
-622 -435  -1159 40
115 1250  26 671
258 595  -286 349
-653 -519  879 -82
-280 185  127 423
192 254  290 1175
-637 -756  -264 148
221 115  -518 151
240 -153  445 -372
121 -72  -142 469
-563 13  566 308
-19 46  -380 -341
243 -1014  109 1154
348 96  -37 -165
-27 866  1428 -748
796 527  -220 -571
-93 466  -629 -110
-300 -327  -236 274
-911 876  -387 293
165 -443  703 736
-475 261  -843 -56
-819 251  -310 -258
-305 334  436 -34
238 997  -24 252
-1081 210  255 -1184
636 70  -57 -278
123 -138  4 -553
590 890  257 -655
15 266  -414 7
