-1757 1697  339 -1025
-4106 1552  2101 -3214
103 -1155  -3523 -2653
-2221 -202  1978 795
114 -3429  1101 -1460
-1799 -1307  1477 306
69 -1012  2191 -1423
3099 -3782  -4763 2293
8267 1824  -4445 1207
-1879 -3851  -3941 -2948
2273 -2590  4525 2708
-341 5607  -4196 742
-510 -4111  3470 1835
-2054 -2232  -2003 157
-417 -2988  2346 556
2997 1438  -673 -4872
1969 3804  175 -4969
-2176 -638  -227 953
-605 2022  -6876 2732
5905 253  -2242 -2664
-349 -293  7125 1649
1192 -849  430 -1807
-1849 -1126  2359 -1474
148 3526  -7063 -4783
-1676 2708  1947 2935
3390 -1509  609 1401
359 -464  -169 3783
-3328 493  6454 3507
4971 1557  -1802 5261
791 2535  2387 -2981
-1163 -864  494 450
-3814 3302  291 767
26 2160  5419 -1328
2698 -1961  -3976 1508
1441 2074  -1517 3580
7386 2440  1108 3852
-3195 815  5896 1017
2283 -5038  -4345 -597
3024 -6965  1767 1787
6094 -281  -1349 3280
631 -607  -2768 -4140
-775 -2420  -6309 2279
-5101 -471  -176 45
331 -4492  2207 -903
3919 69  -3881 -3228
3909 -755  -3 476
-2022 1863  590 951
1369 -2102  621 7020
-627 -1017  -3333 1333
3039 -1096  882 2884
1475 -3831  -543 1138
47 -2057  -2056 225
-3496 -165  -4285 3419
198 5525  -1281 -1536
1084 223  -2895 -820
-407 -3250  -583 2160
-2828 -3983  -4685 3108
-1847 -2344  1084 2060
-195 3939  -2260 535
832 630  -1465 -4461
-2790 1165  5054 1637
-4156 -2233  -4698 -18
2722 -2079  1683 2472
-6131 3548  -2574 -5009
-1030 -389  -598 340
-4079 908  -4535 -4283
-1971 -2575  -6309 3653
782 3272  4396 824
-6035 -5774  -788 1116
4104 -1619  4443 -2051
1033 -951  -303 60
-2557 -1803  1724 -2795
-1673 -1744  -3192 1372
952 7044  -4611 -7428
-1723 5230  -797 -2809
-2196 -697  101 4886
-1073 4320  1171 -1663
4076 -3887  -2005 1283
1165 707  471 -2651
1782 -1987  898 -2580
-1855 3250  1743 1676
3616 -2942  -4488 -18
-455 -5414  5174 -1523
2375 -1156  -5175 -3482
1807 564  860 -2125
-6940 -3489  4757 -1
-1755 -3614  5601 -3799
464 706  -1968 1006
300 2499  -797 4819
-2952 1331  -3193 779
4045 -5618  4800 -2071
-2260 -5355  -1511 2186
-1703 380  4211 4702
7862 1013  978 -1325
2079 3054  -903 604
5142 3683  -5274 2908
-1912 337  687 -4123
1775 -1064  2061 -9268
811 -3650  -4476 625
1654 614  -5770 1819
4777 532  -1919 -231
60 -1650  2599 5129
3452 1254  -4542 -714
-1705 2067  -3435 -63
-931 2600  1786 -2684
-446 1842  -6174 -465
2125 178  -1885 2205
816 -2062  -2731 2705
-599 -1556  2161 -3873
-3611 -322  3643 -308
-1492 340  833 575
-46 5134  -2434 -1275
-3019 -2068  379 597
-874 -1735  -1760 1312
-2281 424  -829 1206
1295 -1459  918 6252
1096 -1044  -2942 1609
-1592 -153  1604 2281
-2874 -3171  -1297 1343
-730 4033  854 -3208
49 -3867  -5352 -2378
16 -215  93 4581
-1844 -4298  -823 1248
-588 -2367  716 -9
2032 -2990  -2102 -3901
2670 -4893  5442 1759
-2124 -1057  -30 -1426
-3271 618  -67 -2749
-1989 161  3997 -2489
1415 -1479  4185 -1100
4614 5082  605 2290
-4864 -616  -4547 -1820
2431 -4085  3441 2799
2732 1071  2355 265
-6015 -3482  -1810 3920
2758 3907  1207 2081
1462 -1154  7852 2185
-905 3463  383 3969
-6499 2546  2167 2388
23 -1204  -7852 1414
553 -4489  -6034 4578
-3364 -3978  -4795 2838
-1721 -128  864 -439
1643 3984  -2556 -2192
1150 -2208  -163 -1006
386 3712  719 -385
-577 168  147 -4345
-1896 -3978  -469 -629
1101 4008  -1369 -1271
463 -909  1520 1005
-1479 -545  -3478 35
-574 1949  -838 1063
-1688 -1935  3355 2328
-2452 -6556  1555 -3381
132 -28  -187 1461
-4144 2631  -1459 7991
4009 2142  -2057 -688
2515 915  7704 3488
397 427  -4930 9551
-4289 -1825  3779 -745
3538 2249  1847 2368
-3802 4322  -1165 1116
622 -1022  6179 -5295
-1358 1153  -120 4175
2838 1063  2332 781
2400 1071  4200 1112
-2172 -1541  1665 -1794
3672 2363  -2877 1302
1278 1321  1383 1618
2484 -680  -1181 8176
3292 2076  573 379
2551 228  -1330 -4344
-1568 -839  677 -70
2804 -1877  2224 -6898
4316 3935  2984 1616
-3350 1575  -628 849
2400 2771  -3268 3943
511 8062  3752 6969
200 2990  -3539 -2634
1400 -55  -1832 3106
225 2513  -1091 -1654
-922 3910  2571 -2302
82 -1518  815 603
-6196 364  1171 -23
4641 5717  3398 1668
-669 -3460  3502 2774
1663 1399  -1259 2572
3385 5075  1894 1759
4167 -1041  3312 -3781
-2093 232  -646 5485
3292 552  28 2236
1205 -1273  769 2443
-3533 1643  -4239 -646
-2608 2734  -2714 -5568
-5385 -889  3323 5810
-2694 665  -148 -5793
-1731 -3521  -4185 4983
-8649 -2364  -438 522
-1023 -406  1636 2052
6213 1723  1411 -673
867 -4655  5709 1051
4770 -4153  84 -2955
5126 6412  -1446 2382
3136 15  1645 4940
2009 3  -2915 1983
-2805 -2488  1088 3485
997 3792  -4972 220
3122 -4815  634 922
-2329 -6291  7677 -1462
12 3397  22 785
1596 2242  -2136 -497
-3344 1605  -807 279
-1568 -3329  2010 -570
-5686 213  3185 -1678
-1014 -1774  -1183 596
428 1174  -1019 -121
5539 -304  -1235 421
6694 546  -2187 -1168
-5967 -2738  -4970 -1436
5692 3762  -580 -1106
-516 -3999  -1844 -1379
-84 -3150  -1145 -1168
2696 -3056  -3511 537
3525 -1645  1957 -1982
-751 4796  -244 3185
4136 383  743 -26
-2059 620  -4791 -931
-1544 69  -1714 985
-962 -1725  -4371 4536
-299 -716  257 -245
3089 2135  2033 1817
-1114 -1085  -2288 1373
3234 1521  4276 4072
3013 3231  -285 3782
-2709 1466  -423 -2159
-2063 1870  -2979 4799
-4444 1169  1707 -4096
2834 -1591  4991 -2632
-2857 -2221  5928 943
5397 1605  -2108 1296
5484 -405  -675 -646
-1595 716  1029 -674
-4307 -116  -2267 141
3221 514  2087 4076
780 4779  -2660 4074
-1675 -317  -5897 -1238
-973 2457  1705 222
-1164 -3892  -1351 2996
420 -691  768 1516
-334 -2352  3267 -8567
67 4325  -2756 231
2896 -6074  358 -1347
2786 961  -702 -5286
3183 1881  3402 3613
-565 3195  693 1295
-1913 -222  -2961 1314
-5146 1243  -1870 2474
-4154 52  -4029 -452
415 987  -1442 5370
2609 500  3282 2154
-1320 3491  4089 -972
2015 -598  -6577 3761
-2979 -2313  -5201 2386
-1 -4021  2662 -3882
-1496 -5995  -4171 2080
1168 1047  -1079 -159
-2006 13  -1054 271
-2944 -169  2166 -4188
5458 -4611  -1288 4577
-2003 861  -3609 2217
-371 -4539  648 -3003
-631 4214  362 -456
6814 3463  -1951 -4283
-2695 -1101  -267 292
452 -429  -2889 5272
1707 2608  1918 2119
287 3272  2803 219
5121 124  1852 -2744
-5486 249  -1977 -2580
-4678 523  -2640 -2606
-597 -4150  2402 -387
4258 -3660  472 304
-1933 -3236  4014 106
-2279 2283  92 3679
2105 -1978  -1412 2713
2160 1371  2833 -1449
3726 -1583  -3771 2529
-883 -1619  -2490 -2196
997 -484  -2285 -2734
2361 -2170  4928 2482
3045 2198  -3462 190
-1692 2013  -3007 4554
7490 -1704  723 1028
-2153 -1959  196 1714
3821 -4699  1005 22
119 1757  -225 1121
-2650 5004  867 3196
4885 5541  -2405 1278
-3479 3250  4274 -147
719 -5483  -1047 723
-1028 -626  -2093 -1359
1312 -2525  1036 -752
65 2373  2140 4370
3654 3290  -2846 -1458
-4876 3230  -18 381
984 -453  -2354 379
-1535 -1556  4126 -2250
-3503 2016  -3907 4139
-1626 -1172  191 -560
6102 7027  -4210 3732
-1783 -2044  903 -3022
3891 283  -1966 -1644
-1208 -5038  -4427 1845
1801 1670  -2545 1313
-1447 -2367  7067 -5786
-3037 -1327  2168 3139
-3118 584  5861 1556
1607 -2536  -183 -573
-793 -788  3438 -1148
3536 -445  395 -822
-3828 -858  5076 745
953 479  1321 5103
-2453 3499  547 2155
-6150 73  411 320
1511 1891  -784 1044
-3363 12  -423 3135
303 -3906  3881 -703
-4275 982  -3605 -4741
-319 1433  5094 3427
-165 -5416  -2908 -4512
-1367 -821  2257 1057
2471 546  987 -3267
-4479 1861  -1977 4246
-3730 972  2200 260
-2491 -2842  2884 159
-4217 -5339  1058 -2171
-1697 959  2629 460
2643 -4201  -2886 -757
955 1489  3407 439
-1572 -2741  937 -1324
383 5156  -4024 2315
2067 -5916  4697 1382
-2585 -2480  -1375 -2029
1330 -4967  -569 -3914
3036 3137  -210 5217
-2267 1156  -2118 -872
662 -1126  3691 287
1208 177  -1386 3002
3433 -1276  3948 1896
928 1580  426 -2210
681 -1616  -3094 -2369
-2317 3172  717 508
300 -3945  211 -4444
-695 -2059  2607 1446
818 -4578  1620 -1529
2540 -495  -1702 2979
-472 -1236  -1504 2402
2007 -274  -1822 -5625
-2308 -175  -1432 5448
1848 -1744  5581 3515
-395 -1681  -2704 -117
-1995 1821  5481 -3088
1795 1333  -3245 -2022
-3097 5981  -7107 6138
686 1684  1398 -4166
-2285 -4530  -611 -2595
-5212 -1927  2180 -839
-1382 1696  5533 712
-267 265  -1045 -1996
5753 4759  -194 -225
-3635 -1239  -2546 -3399
-1424 -5517  3044 1104
1563 3961  -4687 1550
-2488 1177  -3042 1784
-1733 -2779  4089 -137
3763 913  -6757 -2782
1872 174  -2535 3522
-58 3723  572 3058
6196 -2760  3486 1310
-2496 242  542 -3049
2829 4221  8101 2976
-2483 -2776  2331 2683
-1363 2593  2955 1151
6820 -4219  1798 -4318
-2260 3644  2624 5947
1406 256  -2564 2323
1200 2930  2199 -4231
-2511 -3236  -2534 1878
-4258 -4560  3469 -1605
-1673 -224  1993 480
-1587 4905  4865 2750
-3186 1094  3757 -4927
5695 1669  -3330 1580
3119 1441  4196 352
-1239 -899  2263 3061
-5370 2662  3083 -2141
468 -296  1448 -1120
-387 -860  -611 3008
-237 -5675  -3160 6841
3343 -2235  2680 -723
1723 -2169  -796 2288
-351 2263  1193 -4677
227 5961  -743 1501
-336 1082  -2308 -4269
-3458 1686  1556 -782
-3127 -1321  3616 -3532
-1982 1420  -2229 -1977
-155 -475  6013 542
9241 -3145  3608 609
5277 -4514  3843 2847
725 1346  -2693 -1397
2768 -2578  8157 3704
2044 -4370  -2473 -1353
-1171 -3650  428 -49
-4676 2312  -1405 -1165
-840 -5101  3232 -949
-191 3757  -322 1853
-699 3169  479 -7636
1841 -1862  1743 2621
179 2303  -2321 -1320
1684 2339  3431 3956
1707 754  -896 -1632
-40 2036  -1556 280
781 -3087  -2488 -1125
-317 -6058  -1704 6896
2701 -2851  -1451 -2919
2863 -1816  -1105 5729
-993 170  1531 -1565
3404 565  -859 1102
-1646 -622  527 -2487
-3082 -1526  -575 2223
-3783 -398  -3280 4652
-1255 1714  618 2527
-2474 -1500  -5592 674
-3913 -182  -658 1616
2123 -8081  2952 1049
140 -1573  165 4710
-1831 -4331  -3759 1094
-54 1305  3405 -3506
295 -1158  -2394 -1891
2560 -311  957 2798
69 -1899  695 -182
113 2278  1741 -599
3218 -5647  2956 -1098
-1256 2131  1093 1351
-3704 1070  -2521 3782
-1564 1599  3024 -4725
-5542 -2074  1412 -92
-3204 3305  114 -4721
-2342 -97  1490 1412
-1839 -4606  5813 3533
-1075 2711  -479 566
-2322 2507  263 -245
-658 2107  754 -486
-1822 -4481  -6484 4390
2760 -2809  1300 -573
-24 61  5911 3213
-2212 -1397  -2491 -3508
2343 -1961  336 4886
5267 2010  -595 -3410
-1582 563  1188 2586
102 749  -758 1677
7630 615  209 -2887
-3873 -6236  1892 957
-3512 -1135  1533 -961
4948 -4283  460 1741
-967 -2329  1523 5642
7185 -2620  -768 -3405
-2120 -720  2316 -75
-1417 2802  868 4764
5802 1360  -3398 -3318
-2005 6302  -1125 1811
-481 -51  -1336 30
1241 755  1291 3688
-2856 262  4652 1494
758 -901  -4610 607
-1142 -5480  -3664 -2524
2393 -2185  906 -1204
6182 -1362  -147 4637
-581 563  -5617 1391
687 3115  4987 2216
-1869 -2840  2529 4423
2448 3484  1293 -2403
-3088 -96  -2995 480
-1448 -366  -1991 815
5014 -1663  733 3156
4781 -794  -872 364
3214 1731  -2010 2044
-1366 -1258  -60 5963
393 4760  -2535 232
377 918  -5943 -3546
424 3095  428 -1481
-58 1940  2703 -2051
2450 1543  -2224 -3930
-2841 -4022  -93 1940
-4700 259  -694 -324
568 3448  3562 -3497
-2989 3088  -4364 -3913
1955 1750  -7721 2139
-3198 -141  -2805 3288
776 -130  5660 -7029
-646 -1136  466 1215
-4199 633  -6334 -5749
6957 -68  -641 -773
6741 6347  391 -3897
2965 2044  1306 1501
1156 -4167  205 -258
2946 1356  -3561 -2696
-2404 -1128  6798 -2074
-791 805  2348 -6660
2979 2461  -3276 2621
1541 -5861  1656 -120
35 3223  3560 -2437
-6756 103  2808 2490
-4820 -3399  4204 407
896 -186  6058 -1181
175 407  -5011 -3380
-1753 691  -1491 -3240
-543 -4559  1533 1734
3697 -1181  -690 1218
2760 -1512  -6036 3587
3883 -5926  -1880 -677
-1078 1297  2423 -2842
2863 -4954  -448 776
-2133 -4127  -1768 -561
4775 1503  1182 -2867
1011 -2427  -2944 178
4325 2190  -1561 -169
-1966 -1852  573 -2310
1371 -4232  -2597 -1443
2966 -755  2279 -2175
4686 77  -1690 -1669
-1469 -4803  -1719 1611
2471 -3272  2902 -996
2728 -3415  -4546 2462
-5494 315  -1394 -6500
-3046 -1500  1085 -2177
2485 -2715  4923 2988
4869 -233  -1546 -954
996 -2534  4054 -1009
-5189 367  -2485 1548
-1452 -439  4981 -4725
-1616 1705  5865 3355
-3501 -4771  -3580 2109
-1092 828  -549 -287
-1028 302  2696 -2399
2839 851  31 2113
267 -3854  -62 75
2 -2850  2583 -1923
-3488 1630  3130 1609
-1027 -2403  873 -2457
-1035 -1981  -2167 -2609
-712 -2324  -3018 1041
-2862 390  -4411 -1852
1978 -2007  -986 -1341
1080 333  -1665 -1043
-4076 -1832  -1198 2590
1771 -4492  -12 -2105
-619 3153  -7099 -1040
770 475  -306 -4671
3298 -5202  55 -5253
1055 6692  -456 653
-1220 2505  -979 -1122
-467 -1143  -1769 -6399
-78 2063  1493 214
4003 -6639  -2084 6471
-3138 1139  -2228 2529
-7 -734  -2932 -4506
5418 667  952 635
259 1535  -424 1683
-708 -949  -776 -603
2323 -1166  -1790 -2292
-3970 135  -945 3267
835 4747  202 -2759
-2734 4343  100 -2366
5082 -1959  3404 993
-502 2623  3117 -3454
251 2253  1779 4766
4640 -1213  4559 -3638
-2938 786  -1099 -2747
169 -3993  407 -1222
-4694 1840  3084 539
-1457 3387  635 -2294
1194 -131  -54 -2870
918 1948  -1457 3860
-1957 1019  2947 -3005
-4875 -2382  -1785 1246
561 -194  707 -3372
-7081 -961  701 -2062
-128 2141  -3208 -1996
4799 -71  5673 -4150
-440 2232  -729 435
5478 -3118  -2517 23
-481 -1380  2804 -6283
3849 5406  -1552 559
4337 -2319  -247 4464
3617 1599  1179 4920
-2121 90  -3598 334
-121 -999  823 1335
5660 362  2593 -1083
32 -254  -812 -2359
2267 -1462  3259 -2968
1413 -854  -1478 2527
-3641 -1332  -582 -4173
305 537  -730 -221
-10122 350  1292 -1934
4355 363  -3943 -758
7438 -1031  -937 -2661
-6326 -3218  -2312 -933
-3128 6258  -1087 -1343
-475 -678  -1646 152
-17 -3331  -2164 -646
-3780 1374  3090 3034
2125 4422  -3756 -2461
2773 -1019  860 -1692
1125 -415  -2596 6528
6732 1190  -1417 -3195
3820 -589  1682 309
259 -1226  -3565 1502
-1749 1262  2656 -1878
-142 -672  -5961 917
2678 -1793  -4492 1382
2041 -887  3677 -2907
4152 -1228  4546 -2712
1678 -2676  -5102 -7674
-2319 -2088  -1864 2485
175 3684  -1718 -1752
-3569 -4427  -5241 116
1577 3320  1434 -2795
-2436 -1527  -1157 -1360
3560 -4201  2637 -1917
-4729 3947  2683 2953
-1256 429  2319 1002
-4682 -1129  2125 1309
956 2113  -1429 -2989
-886 -922  799 -3122
-2899 -1910  -603 -7237
1595 -2107  -2070 760
-1448 133  2444 -1728
-3876 811  -66 -2870
3290 -1627  -866 1695
-1661 4783  291 -408
-900 4295  2887 -543
-317 -3176  -901 -5373
-1215 -1875  -1165 273
-239 5545  -142 -1125
-2357 -855  -1378 -248
1219 2354  3943 -806
5183 1713  -702 3640
1725 -19  65 -4592
2750 1417  -1895 82
-3256 1503  2310 510
349 -3727  -1852 2812
-5791 -3907  238 667
-1755 3735  2251 -1861
266 3680  3735 433
419 -3019  -4414 5240
-3164 -778  -1339 2136
994 -3757  3010 1565
-3177 -1513  1286 1368
1261 2887  1793 -5772
-3117 1320  441 501
-1520 8671  -3494 1221
-4430 -1143  4054 -5529
-2129 2441  -1801 -952
-4078 2918  -3259 -4211
403 3539  3680 4198
-3366 -1685  1285 3822
209 227  1526 -357
1175 -2764  -400 -74
960 1085  -1842 -841
-5244 1044  -4630 -1187
1903 -1563  2252 1339
1036 -4318  626 294
513 -567  295 501
-2759 -1884  -1406 -793
-489 575  351 692
3884 -838  -312 -3880
-4793 523  2028 2193
-5374 -2089  360 5630
3920 2802  -771 3262
-674 1036  -5310 -4856
841 3508  1141 -1175
-2163 1959  -3317 -1120
-1697 -359  -1592 883
3908 863  -160 2763
2409 3299  2114 5588
2137 -3240  193 -2292
-1334 1278  4654 -7677
5250 -686  643 2085
2319 -722  1771 -950
320 922  5488 2629
-534 2008  -1226 -772
3354 -2152  5787 -479
3292 4362  3218 -3624
6046 13  1704 -2027
481 3701  1352 257
3136 -213  205 414
-233 1572  1044 495
-1420 1670  1611 351
-626 -1614  747 678
-1987 -962  5175 2473
-1294 3150  -197 490
-2416 405  4343 -260
-3221 2981  -1579 674
2685 1322  -992 1950
-7609 1280  -2495 2683
-1238 1659  2246 -437
-939 5031  -2944 3595
3168 498  -680 -1202
-1204 -1615  3103 1052
-307 2068  5193 2629
-2210 -2064  -1108 -3556
-4521 -1183  4206 3220
2292 -4822  -232 -5971
8706 2371  -6098 2262
2737 -75  -775 1940
-4109 456  5398 -1962
-950 1163  -1483 545
-927 3759  1664 -2728
-3224 -2108  1342 1758
530 1397  5519 -4798
-2942 -2374  -552 -5444
123 3338  3637 -2333
644 5375  2124 2815
-743 599  -3833 -1970
637 2906  -3433 -4169
5488 -433  3767 365
-1924 4637  -3719 -1135
-1394 5295  -4396 2474
2014 -2629  225 5360
1536 -807  1452 -2097
-1894 -4215  -3093 416
2394 1930  2352 3219
4823 1180  1995 -429
-1913 1345  199 2058
-3306 -2005  -1 3670
-245 -2796  -740 -2197
-6378 1967  -3675 3584
-1211 -77  -5931 -107
