546 -11  884 -544
452 718  505 349
-514 654  -312 529
-183 -78  479 688
92 -114  -56 -843
236 426  141 32
-455 149  -656 -78
73 176  -979 -748
117 -436  -871 643
-456 -41  165 508
-980 -303  124 164
252 227  412 193
-666 -489  -157 -555
-851 233  -406 5
-767 -1189  430 -354
-81 -120  -142 -261
-120 166  321 534
-247 -100  194 500
-139 -479  -348 324
-636 1174  -794 344
-27 76  -502 6
47 525  -942 -405
-495 58  220 330
-319 -975  -24 -107
26 -495  28 -71
185 409  166 -87
537 -653  -434 -323
-231 -572  224 -570
6 534  -295 141
-712 -339  -419 -44
216 1053  899 1016
-725 16  -242 -170
906 -192  853 523
-329 -921  -426 -752
717 -404  -145 -46
-313 -497  -565 545
457 -657  -239 1159
-44 -1047  954 -104
-405 336  -16 -654
-489 -341  -31 -222
760 939  337 -387
1100 107  374 227
843 832  -30 -836
-114 -673  -206 988
-628 356  -460 348
312 -810  -288 604
-447 25  -636 635
526 -49  253 108
-121 -81  246 121
-723 -1100  -165 -1143
140 55  -231 -94
-279 170  -830 -708
209 -495  -574 -481
545 751  -305 -64
-13 -98  -119 -194
201 703  -26 -49
50 -463  727 -228
141 149  -684 244
492 -136  181 1076
-188 552  144 229
-76 500  -593 186
-385 208  -402 736
315 18  -1270 359
-297 136  26 -661
850 -1311  -216 -264
-269 499  -146 -130
-259 716  -468 -218
239 87  -253 -680
-1061 6  652 -656
703 36  -150 28
-129 485  -894 246
236 -1040  -211 106
-1477 196  -330 470
481 603  -8 788
-94 -333  237 -491
-86 -481  -419 -1056
-572 -455  -119 -987
-696 331  49 -695
-880 -21  901 -180
-135 379  -97 -224
20 -59  760 235
-34 201  -1134 -49
-496 -157  47 86
-764 -198  515 942
966 -165  -1031 -469
348 283  78 399
-3 151  257 554
279 225  -59 12
-128 -751  -111 -1103
146 410  -769 -94
-611 517  -643 -284
-84 82  -1363 -393
-954 602  111 -454
459 447  -717 -322
-284 -921  542 963
-406 -283  377 -443
224 287  -661 -765
346 -543  -8 448
-320 347  871 -434
165 -84  310 -1114
-469 -185  -29 -128
-1391 -137  -645 -353
-117 117  -72 -273
-130 -632  326 -298
265 -371  -537 -672
-450 271  383 568
-358 1249  894 -930
278 311  601 -1085
-50 513  148 331
37 128  355 997
374 444  491 749
20 -140  -782 1073
261 -167  347 -447
-451 -830  993 -1024
56 -727  -25 113
273 746  -29 -170
-17 -731  349 619
-10 -372  366 -432
-908 735  -1330 836
732 -587  -469 -434
-496 434  109 311
446 238  285 269
439 -86  -199 24
6 -415  505 -591
711 164  75 264
1151 223  92 -124
-33 573  -221 -361
404 -283  502 -981
341 -214  136 219
-310 -1038  633 673
-191 -409  153 -380
110 482  3 435
-302 -171  -243 657
-395 647  139 -94
-412 -414  367 310
620 -243  352 413
-239 -632  -276 10
94 -169  -854 -33
-159 -123  232 179
-256 466  -878 305
292 -698  697 173
669 13  45 -208
165 275  -232 68
357 -219  -418 -65
-260 -384  489 734
267 -774  307 -608
898 602  -428 10
150 533  369 -31
77 316  997 -414
230 -82  393 -442
-477 -1291  -706 236
-244 150  -205 1059
-387 362  203 -69
-706 -661  389 91
199 -171  -126 1240
-403 747  -50 -68
-416 -73  -71 -892
521 -78  421 -192
500 14  -365 218
34 -1160  -773 886
-103 -728  94 -274
710 -457  -733 228
979 -749  -358 -68
181 264  -205 318
-246 -1165  107 -85
312 462  232 -512
873 -474  722 109
-556 -420  1452 -728
104 943  491 -692
-169 334  -185 -676
623 895  -652 202
-80 530  338 583
828 -250  -148 82
1455 -530  -490 376
419 132  -166 -625
30 -128  -203 464
-542 -507  44 627
757 613  -467 -224
216 25  763 304
25 125  -522 -105
439 476  -352 -820
-1752 83  376 1375
-347 -98  339 82
549 432  -620 -20
881 1143  283 659
903 -586  -114 193
-836 364  227 719
-202 714  780 -310
142 49  72 -585
-573 -439  939 741
35 107  -33 -112
328 587  -473 -300
560 261  355 -43
-433 -331  299 -611
639 -315  232 -4
-178 -406  -950 603
-260 19  -260 -637
136 704  657 158
76 -549  588 198
-583 -1210  -399 282
164 694  -871 260
418 -26  351 103
516 -217  -1066 603
-64 -1172  -724 -500
241 -62  -870 456
17 485  899 -8
452 687  528 -656
25 240  -410 695
-504 345  -530 453
221 371  -53 50
-62 673  30 1172
-7 -388  865 -438
743 70  343 251
-61 -679  -293 2
-175 18  432 393
272 -303  -602 -1059
343 266  -684 289
-997 105  -438 -494
249 -944  -75 330
395 -304  137 131
-11 12  -261 -795
871 -391  -261 193
-687 -223  61 4
-470 -29  -594 -184
155 -860  -554 292
685 -331  415 -413
-483 -1700  242 574
913 867  330 -955
202 279  339 -433
317 702  514 747
-64 -446  -412 -343
-1279 1238  -629 -705
-219 -446  -71 281
-340 -287  -356 -202
674 471  -190 700
510 -909  196 43
-734 -817  676 277
265 228  140 -493
-156 453  374 504
-741 178  -700 -59
814 -81  -793 75
-284 -568  -262 -745
227 -404  -13 135
-23 -1198  -128 111
-316 121  895 -26
-161 363  -125 -346
386 -6  134 -206
-944 -762  -303 286
401 711  -701 2
-270 456  331 -61
191 404  -458 -967
133 -202  296 -575
-178 87  -440 -103
-425 -635  -537 245
802 -141  242 -829
-412 -113  281 -427
-31 -313  543 -331
-253 -114  113 80
519 -541  -201 -540
-658 26  595 165
-626 -257  652 701
-638 990  -140 77
-250 190  752 781
-1008 -826  413 335
-405 475  95 1047
327 47  592 -478
71 -267  21 78
275 -789  136 258
-409 792  -444 67
-128 301  -969 -582
634 -257  -102 135
454 420  115 -502
232 -48  -27 -297
579 143  -535 320
-637 -363  399 171
-615 1019  661 -582
305 938  132 -71
216 -95  195 815
-81 303  -92 1216
965 251  -1180 314
-471 -64  346 36
384 290  280 596
852 -528  751 -383
35 181  -386 1301
41 -661  -56 -372
-362 474  -703 869
-352 159  413 503
-483 -446  -525 65
544 -441  573 -122
71 -106  -913 614
197 776  -754 -260
-467 1  -488 444
455 -199  -777 142
564 -706  -916 -633
1098 45  174 404
-37 665  -408 847
152 -149  139 13
541 614  413 3
207 1348  -69 791
-45 450  284 663
-8 -322  -242 -50
298 -528  -593 242
241 -311  465 142
273 -109  -22 1090
255 -279  3 -144
-384 98  76 -587
479 56  -129 172
-34 -503  -1056 661
-131 36  275 26
-169 198  111 -699
-497 -1214  20 -36
18 1262  -584 338
103 620  -154 170
242 -490  669 823
-319 233  33 254
590 1  841 -479
-197 802  1051 -99
1542 101  -399 57
352 -159  -65 220
-88 -935  19 -278
136 -154  214 -218
344 -420  575 238
384 428  298 -330
666 -425  484 -579
-316 -609  436 -599
123 601  138 -321
-409 315  -127 889
78 -1074  246 -287
203 106  -66 244
276 633  -217 161
-766 32  34 -610
350 817  -535 -578
-318 308  440 -397
527 -314  -263 -185
-323 -856  742 370
-374 -588  534 -549
-675 -291  409 888
-677 790  88 62
56 433  -393 581
-216 330  -410 137
-1242 -1146  379 -218
406 -280  862 -991
620 -207  -127 -642
-219 -61  -731 849
-220 -574  161 -44
-265 157  186 -236
-494 204  -48 160
-597 -1403  747 342
-590 1165  662 113
757 -147  371 206
-444 80  -243 -416
-163 635  450 -164
-1017 -371  62 83
288 -457  -118 -96
475 746  252 712
-291 197  -470 -387
879 -212  555 176
28 395  215 -111
165 498  -22 -432
5 963  235 109
405 -388  -381 -247
589 305  -282 585
-47 783  -322 -298
-401 578  503 556
216 -40  -712 -484
193 107  119 235
176 359  -64 643
319 -320  -91 -419
190 -492  211 -150
30 -256  591 85
716 -149  459 692
276 67  -94 494
30 79  -888 1343
-953 7  122 -364
102 616  -836 793
67 684  140 -248
-293 -173  -44 -255
-460 -229  -517 -288
931 642  -248 -260
833 1526  -1035 -183
-144 -749  -615 -215
-103 186  243 -626
778 -710  -35 -464
-116 247  -82 -611
-356 124  389 -232
779 -448  -1310 633
-459 -106  29 141
9 -532  305 -164
-433 426  -237 985
168 14  1037 741
-136 304  958 -462
-891 -298  583 -200
526 679  -877 -377
30 -52  -154 182
-1330 -71  -251 -189
1180 916  -438 -471
-130 1306  800 334
787 -453  588 -1049
-192 602  300 -120
-614 253  521 -437
115 -175  553 644
-417 -154  452 -242
769 247  -178 406
325 655  -1219 -322
527 -312  303 320
242 -107  -26 941
716 724  -99 -50
-338 33  -908 300
436 205  -329 191
-444 -250  -247 -279
197 -705  -400 -550
401 212  -146 211
-705 -508  -365 812
15 452  -413 -498
286 -25  349 -209
-1331 113  282 1127
-689 55  -586 154
63 -23  621 -1685
206 493  -711 -144
-566 -392  85 -203
1057 115  -109 99
-306 -825  -411 -358
119 -969  10 -426
-634 -376  7 -374
844 -594  -241 1020
-383 -718  -373 -76
862 66  -259 1064
127 -305  -717 -320
-109 -386  -135 767
-212 50  -65 850
229 -386  218 207
-130 396  -649 565
-483 -95  243 947
-360 -557  -402 -545
-100 -501  158 431
97 35  839 -453
191 1218  440 -1021
-884 -340  -1252 -149
475 160  -74 457
-871 615  -482 -716
-417 76  424 556
704 -36  -390 314
375 362  -110 -432
-106 -257  -482 1067
-836 593  269 104
205 176  -386 280
315 -392  319 -417
283 698  -139 -604
277 -1235  66 416
-663 172  -586 -364
-343 -224  -104 -194
110 647  -547 -222
894 200  -503 590
273 335  335 283
614 260  1152 55
859 77  -178 -545
-72 -152  37 417
104 -196  298 128
-512 -417  437 81
69 -588  195 253
330 1077  -445 -586
-838 519  -301 79
-187 -159  214 -218
327 -631  -142 -1087
-929 -304  288 407
-209 -463  -191 -177
554 309  1216 457
115 1  376 -927
33 -105  125 -309
230 -151  -627 -273
343 639  -619 266
84 900  -163 -363
548 -282  -418 -296
105 15  270 -699
-256 -54  258 676
-930 -1156  -831 293
-1169 344  -192 -681
-113 728  1244 484
-588 1106  -131 632
502 607  73 -267
281 -883  -169 -148
295 526  -432 321
-1085 116  550 144
475 -357  -818 -278
308 51  -173 778
-386 -197  521 -359
101 101  -209 253
-40 870  87 119
-3 657  -138 287
-164 -651  -445 338
-817 208  42 320
-734 -402  -37 -10
906 302  1379 146
537 88  -1125 179
-390 239  -435 107
229 -921  -70 482
250 -344  -675 433
-203 678  51 -505
361 -309  -242 -160
-266 -664  -115 607
-88 -539  187 -394
-135 276  610 -299
-983 -998  429 159
-131 -720  95 690
-666 484  -499 675
299 436  -445 678
366 997  -82 -846
117 72  -134 307
-53 -250  651 -134
-172 -414  -296 411
-439 59  228 -635
-247 187  -18 -1118
827 409  872 -70
907 -307  -662 -669
-951 -57  349 364
-622 725  36 759
138 -441  -8 -108
-187 159  -384 -291
202 -260  -682 -306
-272 -1012  379 -170
907 -742  -41 139
370 -603  884 -634
712 55  207 -290
-73 133  220 -266
167 236  681 -55
-667 -242  118 164
319 1850  -114 -68
-268 -586  -110 -1140
-446 798  -1072 1060
-1240 593  617 -270
-496 -354  268 942
739 -857  -746 951
-595 188  -494 -381
-846 -796  561 14
719 47  579 579
-116 -349  32 -246
216 -1225  -202 -135
-271 -362  41 -218
-141 -405  265 -396
-846 63  404 129
-780 -46  174 25
1053 -407  -378 14
272 -339  489 1021
-112 479  -417 243
1349 -360  524 394
-356 459  303 -186
177 -91  -108 682
-483 -360  647 -373
-636 -60  -23 9
171 88  152 241
-748 755  -627 715
156 -49  -90 102
107 -811  230 -162
310 -575  386 83
-1067 338  109 146
-340 -84  -561 -197
-464 -238  656 -100
-416 -874  312 1120
110 -14  -467 -1148
10 48  557 -644
-559 -637  494 -27
84 -688  404 -159
-454 49  -365 105
-425 -69  340 -219
669 911  129 -395
-2 842  -584 -526
-1041 -875  726 -200
149 459  -506 -262
-718 -1093  360 -324
234 120  -138 160
-510 -538  -524 -663
-449 466  673 -214
-191 -468  133 19
-309 338  606 579
-210 173  506 344
-709 -9  -1047 637
371 527  -18 28
-153 -536  244 8
64 -545  -50 305
476 236  -176 -548
241 -336  246 -197
-636 133  1366 -34
581 -772  -353 -769
-119 -37  211 160
377 182  327 -620
-681 -407  290 -257
-562 -106  202 461
-200 936  820 726
-183 600  601 189
-712 -646  -276 131
-299 456  -778 173
-223 -342  -510 -911
169 295  434 113
-64 20  769 177
427 297  353 1383
531 200  -78 -468
-497 24  66 484
-619 -329  -718 -752
785 -376  257 -221
-273 295  187 356
175 -397  86 -261
-447 110  373 -162
-383 -467  12 -372
184 -835  275 629
-145 -256  683 -533
-486 742  1151 -63
390 -307  -217 -63
-27 -49  179 385
-163 611  334 -823
-721 -374  176 -1170
-46 -1119  -82 -640
-1471 49  338 689
358 69  -229 338
-46 -405  4 -732
-315 335  -41 456
-313 -184  583 806
-344 -419  107 1025
-526 436  413 -503
-526 -678  -197 813
842 603  36 395
-396 -347  -482 246
531 684  -124 -374
19 930  429 -277
-331 -522  104 -263
290 194  525 -327
-119 -11  769 -304
-606 -679  -512 564
1112 148  -169 -438
800 134  -533 -350
1279 4  425 395
170 531  750 161
-234 60  115 -232
-100 -409  -956 484
-807 1017  800 162
-138 -245  -1559 856
-693 467  89 764
594 111  231 725
-1130 -67  296 -289
197 -565  173 516
-299 -416  -371 -137
1100 91  -36 431
-315 175  -751 -474
-207 558  -266 -713
-330 -157  -331 -581
-377 178  326 -258
1256 -304  72 -125
53 85  211 -266
-765 -168  253 -72
-112 -606  218 299
362 -918  242 -44
-235 -348  -513 415
-424 202  -187 -160
821 281  116 676
-155 844  485 804
-234 -120  -14 -459
191 301  -264 449
-770 808  305 -262
584 412  -123 318
184 379  215 -191
-1080 462  687 -81
421 -164  518 -211
99 245  510 941
103 -177  -240 -96
-416 -896  283 217
-128 331  17 480
-720 -313  248 -176
196 -438  -945 537
191 221  -202 69
121 -921  -50 -452
380 0  591 33
-231 -1025  354 502
57 98  607 -512
-375 -300  -575 343
-938 -459  -343 927
447 -185  -414 159
-91 308  -175 -587
928 94  -439 -305
-183 -747  57 -183
226 717  478 390
-313 -182  9 -299
-627 74  -462 -404
301 -74  -938 -77
392 -107  786 -210
250 77  37 244
496 904  270 -210
590 516  -115 291
133 -296  129 780
398 -267  747 902
-572 564  -809 -9
-565 -142  285 684
-388 237  -45 -732
-77 202  368 78
903 548  -611 530
-962 -205  576 -598
-26 -926  4 -88
489 452  304 149
492 394  120 -1045
-384 18  1140 -68
357 207  -20 757
-245 -53  139 -375
-249 784  53 -230
-432 -1056  -802 -535
381 -894  1003 317
-565 241  -526 -125
37 158  -503 -269
602 -177  -523 -132
-557 739  274 532
185 -110  -411 -485
-133 27  -344 931
-512 39  904 47
-228 -341  -662 554
158 132  762 593
605 689  405 855
72 719  58 388
18 -84  100 -211
364 -730  54 -42
-525 -110  -739 132
236 119  186 134
-229 -210  34 -92
15 -187  602 -260
-704 510  16 768
-424 -474  -259 85
463 267  403 279
816 -139  -431 229
-594 1091  -140 299
-269 80  230 359
-9 -384  -236 -199
-415 -960  -237 -913
388 -161  -18 219
-603 124  -296 312
-218 399  660 328
109 859  -452 -695
-248 -1283  -747 590
-385 56  -95 -819
-231 381  -383 -788
800 452  -924 56
-624 526  103 572
1175 70  135 1173
814 -655  -571 898
147 -532  -40 760
-321 60  174 -205
-126 703  749 315
-469 929  -148 -84
691 550  15 -79
-568 754  -651 239
91 724  302 859
-314 -238  1140 655
-188 -380  -409 737
-552 -9  -167 990
-173 877  512 288
-280 0  -376 211
758 -299  582 -38
476 13  -485 993
-218 9  590 -56
-472 18  -63 -1162
651 41  120 492
-29 144  -68 80
204 -566  1109 -252
119 266  -356 737
-130 -774  -511 22
-193 -797  308 -720
-496 -398  104 109
111 -788  713 -1015
247 828  378 -211
498 -569  -2 778
484 745  -132 -626
-491 -261  -767 428
-683 -658  211 -321
715 87  -829 592
-525 915  -413 -618
-6 447  244 125
-840 312  14 -588
-491 -42  -293 83
332 -370  314 159
-258 -157  178 719
-147 -535  797 89
54 61  581 423
-310 -1295  108 246
-79 239  -803 813
-951 128  122 -181
-232 270  -480 735
608 -362  528 575
296 311  162 183
16 -75  743 881
-115 -137  -1064 -606
-213 146  -329 -311
130 -228  -932 438
-730 -59  -752 -348
622 -176  -615 168
-69 -239  196 594
469 1487  864 97
-496 409  -103 -384
888 634  133 -719
192 -106  -789 -354
-356 -660  -233 419
-242 155  -928 -18
308 442  1195 157
-176 -394  277 -143
253 -956  -181 66
-513 -236  -645 449
-120 -386  477 -513
-690 533  1009 19
680 -661  -140 -222
-127 717  -742 -647
-18 419  -610 -26
-103 192  -3 -34
132 249  -195 -406
296 -1204  236 -203
-940 -88  533 179
15 -181  326 -632
-608 304  201 -540
-296 171  -469 123
639 675  -635 -810
74 597  -6 79
99 -125  -410 -88
-5 -701  -354 496
-576 -81  603 -510
433 -557  267 483
83 22  -298 -38
112 967  356 508
-395 250  -280 -458
-643 74  -186 -91
-470 68  221 160
370 352  -256 -725
329 -225  456 -669
648 -256  77 -565
-553 302  -78 -343
-140 -815  443 130
-203 -589  1295 -409
-526 -319  -815 -72
-487 909  -212 -15
372 55  -172 716
-646 938  -569 674
-248 -453  172 -273
107 174  -796 -835
473 -149  -689 759
673 390  -334 -794
138 -422  50 -102
1359 783  175 453
-952 -175  177 -25
-693 -347  305 -234
1390 -361  637 214
-427 960  -210 -408
-321 236  -523 -249
-640 -91  35 842
-454 -51  -312 41
-167 -901  311 259
-729 -136  895 -154
238 101  -238 -528
-602 622  -315 -384
210 7  557 -265
-119 31  -729 544
-761 59  -132 301
562 -559  -114 662
730 256  -167 491
330 1126  -270 -112
-1188 -203  192 -160
626 -255  44 455
-429 -466  737 -269
-184 -484  143 -721
-34 1102  1359 -768
163 -195  144 93
601 432  -94 -13
18 -52  -986 -1082
496 -103  -13 -623
-810 349  157 46
-564 194  314 -509
-399 -108  545 -599
-122 -91  412 -158
649 212  452 -230
-179 -291  -113 -484
-187 487  281 391
-785 260  -194 624
-748 -976  63 -659
-203 545  -2 -353
-166 -1545  758 -822
-135 -222  -367 301
302 -145  536 181
-959 -785  -586 370
-485 433  -355 448
-234 -345  242 -543
-262 746  -151 -638
407 184  765 -500
-504 429  671 -381
-635 573  -784 100
-414 -249  -122 -968
-78 1014  -454 -207
131 155  -64 -487
352 -421  -591 -223
-376 61  341 78
-277 452  29 -616
-199 604  570 -713
-843 -568  -577 196
119 -207  106 -395
-71 -475  35 10
58 619  504 -686
-350 94  77 742
285 306  -115 -797
992 -835  412 -150
-76 597  -58 389
-399 380  636 -1010
-340 307  -246 -283
-502 537  792 317
208 -682  -1066 143
306 337  121 298
25 548  302 -201
131 -231  258 -328
251 -1082  -562 77
-409 -35  -289 -244
-405 -486  578 664
-345 201  -51 666
-755 406  279 205
818 776  374 485
641 -76  -68 -105
-353 678  733 19
-1084 316  2 -561
-10 -185  -148 474
-463 19  -385 -57
-803 760  359 -1222
125 631  -547 90
368 -178  152 868
429 280  133 26
262 -534  -143 -829
29 302  37 957
336 289  58 201
-394 287  481 -620
-3 -954  967 -103
-228 654  -152 -166
1127 121  14 -1025
-257 716  -601 398
498 -47  -734 -331
-55 -143  302 -998
-257 -119  -344 964
870 582  317 115
709 -729  -312 896
-1127 42  -225 271
-624 -456  -511 1033
520 -93  1228 136
38 -644  301 810
-210 77  659 -246
-433 -916  265 -401
478 408  426 768
-524 873  1140 248
-1323 509  217 626
117 -420  295 -423
414 -102  -973 -701
83 1320  618 -129
624 204  792 360
-201 457  -499 558
154 -210  202 -1063
236 462  240 -896
425 -487  74 348
964 -662  -461 -975
160 -18  -744 789
343 -381  1125 -263
-177 318  -155 770
46 509  -261 -269
763 220  108 -30
358 856  -701 528
325 -93  -18 224
798 460  -473 96
18 -250  -822 -87
-352 198  -381 -482
256 -396  367 -30
150 523  -72 -893
-169 181  -694 321
318 -258  -180 -407
215 -126  -380 -100
208 786  -153 -340
440 -719  204 359
214 -1279  -765 81
450 935  -985 -691
718 295  -105 754
-658 -53  352 391
241 331  -189 895
-86 231  -734 -79
744 455  248 -257
-500 -400  -111 -176
933 -913  -205 -336
-835 -362  -311 -591
85 -268  653 863
370 -252  1198 -1216
-426 -30  -553 -175
184 198  -367 -713
117 -114  -24 -412
-1098 239  338 -497
-493 -166  -161 -119
177 -863  140 -109
271 726  62 -258
126 454  -679 437
332 487  -270 379
3 480  -1079 -631
-124 615  -1093 -945
460 415  93 292
6 214  -54 -98
-471 -697  838 -545
-882 244  -531 619
372 36  851 374
279 -589  542 -310
-62 142  -1338 706
-110 847  558 593
-478 -455  -627 -1247
56 269  -863 -511
-144 -731  472 -1025
-246 -414  620 142
169 -225  -436 -34
-266 551  262 374
-514 453  -96 738
-224 482  766 560
939 616  -678 206
-823 530  -672 -472
-191 57  199 253
237 67  -418 -549
-33 325  461 529
-749 757  672 -548
717 56  786 -502
100 615  24 -184
178 -677  -1052 299
56 -749  -207 253
-108 267  -379 485
-98 -381  -557 -84
-252 989  -56 339
262 -821  -1029 575
462 -425  436 -1425
101 -221  -355 287
-86 646  337 330
689 -484  -201 350
-1044 -708  993 35
-573 687  -447 94
616 115  178 866
-411 -75  -472 453
459 -494  -648 -291
147 -734  114 -321
510 -159  -175 -435
112 -253  -443 -375
-427 -517  -386 -384
-15 -456  537 106
106 -434  -801 208
262 -72  -58 335
-308 -232  -428 85
1309 197  -386 -454
47 -511  -431 6
278 -197  -279 88
813 703  586 -403
