379 -375  -233 -500
-213 34  -93 -9
-641 -463  60 -92
417 -590  -10 142
89 51  846 108
-153 61  -240 -210
32 680  -143 -221
-3 -382  -70 -5
-244 143  579 -163
-614 466  -358 -87
586 528  -87 1057
1009 646  50 242
-295 287  -448 234
81 -178  582 -190
378 620  981 78
-1216 -421  227 90
777 637  -708 -30
-900 431  -86 232
-691 220  249 -782
-115 186  238 314
273 885  -1050 335
-760 2  -713 -376
61 757  3 110
408 777  986 196
780 788  317 -490
-507 51  480 -179
-677 -350  85 -520
921 -119  337 256
1 -698  51 507
-578 -762  134 -296
18 -66  -692 -30
-506 1101  34 -39
98 -299  -177 -598
-127 -1261  441 52
567 527  164 348
-125 -78  301 -417
64 441  109 -26
-573 -78  -1010 -9
565 411  599 98
-108 148  -222 300
292 74  80 578
1018 -5  387 -105
294 48  -531 656
-321 460  770 509
-162 56  -170 480
-549 406  -638 725
696 -221  -202 -155
88 -112  -506 -397
921 404  -505 48
-419 -1031  181 -124
-650 5  -57 114
-601 -253  -185 522
-626 -490  130 1068
1036 -162  -773 164
-561 119  183 82
193 116  -377 65
222 -494  -488 260
358 -838  975 -65
-190 244  -730 1219
-455 -171  53 -795
-566 126  71 3
-186 -614  416 -259
371 471  200 -264
-403 -468  98 271
690 -234  -411 743
155 866  -1001 -414
-373 194  -285 -989
-529 822  -300 167
373 -305  -204 192
-311 379  -703 -62
-263 135  420 177
144 226  376 162
-230 489  284 -424
949 34  446 -86
490 -50  217 87
-403 95  -305 39
-729 486  -1437 369
277 748  66 -125
84 -369  353 958
70 -215  429 -417
-1212 312  170 -255
92 -393  -92 115
-376 504  1251 38
-170 90  -242 318
-1034 -137  -345 330
-776 -101  311 -1078
-537 401  -285 612
-28 -125  -528 224
-681 269  -391 873
552 597  559 -433
-25 540  1228 -101
-163 484  1883 657
298 287  -458 -623
-32 -1283  291 1023
-1513 -500  1112 62
199 -306  -303 652
-381 -194  -813 924
139 231  188 103
478 707  564 487
-64 496  493 299
21 134  -24 -832
-512 315  -24 32
374 242  613 408
359 -310  -10 -459
596 268  -484 -326
170 -245  795 1128
30 -412  -391 -401
133 425  -782 3
-211 910  48 -70
484 -540  -850 -777
377 1  30 24
302 -388  -213 847
464 -910  -575 -382
748 452  -714 -1197
-437 -183  -935 -902
323 296  2 518
-290 -50  766 576
-78 -387  -76 435
449 -926  64 -122
-51 359  -337 -175
509 -790  445 346
-762 386  -447 725
-235 571  -283 -405
316 390  -944 -693
456 370  -659 -505
493 1129  -40 241
-195 -288  -731 -324
-808 39  -1107 378
-164 -49  -564 51
701 623  -253 91
283 -756  653 -466
-391 -379  -3 389
416 -412  -882 -289
601 -466  400 -742
828 125  -41 -408
-286 -765  185 -498
-642 -1051  -272 1638
5 158  174 225
-294 439  821 -540
33 105  -651 -1124
-142 -68  472 482
601 62  420 433
319 -787  -190 -38
188 -617  828 -331
164 -136  139 167
157 55  955 -399
89 -975  -214 -507
-93 1188  -254 -476
-252 93  306 246
-327 -751  417 211
-274 404  292 -451
-892 536  -861 126
-380 26  -176 -350
-317 398  133 -336
-265 -397  257 36
-522 -183  1408 -1234
737 -402  -767 -34
-261 146  -7 889
140 597  -653 -969
519 362  -440 132
-311 -568  -555 131
-58 434  382 817
-308 -624  440 -918
966 502  -373 -594
255 -866  346 -386
-757 320  539 -475
-415 -125  40 -761
379 342  -632 -94
585 208  767 277
-1365 68  229 376
-29 580  -472 332
938 403  -201 185
852 901  810 -29
504 92  414 59
463 646  -55 133
490 514  -181 -395
119 415  -359 -202
229 366  -357 61
166 -158  535 -524
460 315  763 1171
-189 525  501 -348
-658 728  230 637
-653 434  -154 2
185 -52  44 561
-1400 -356  357 404
458 -339  140 855
656 630  -261 158
-633 206  708 -389
-158 -349  -847 -161
324 809  -421 -170
294 -996  180 1107
333 -121  -42 592
381 -458  -49 303
540 496  217 -126
-314 481  -22 550
-431 488  -295 -245
-437 -56  1011 -393
183 94  -524 -451
-1 -435  470 1414
-516 -112  36 -195
-230 -41  20 -738
-654 -966  132 172
191 111  -328 407
158 722  640 572
-132 -422  -208 641
11 -71  431 72
296 -182  568 -540
-567 -7  -950 -15
-20 -283  259 -238
-269 -450  1029 756
407 1100  575 -1035
-842 1167  531 21
-1186 339  268 -199
374 755  165 -166
25 385  -247 -1048
836 -563  -593 -702
700 -547  -759 -317
-158 205  445 -157
247 -291  -205 204
-588 281  -62 -1162
714 143  457 -387
-728 -611  -401 -250
633 191  -399 -340
-335 164  382 39
585 761  582 248
-234 -132  -433 -100
-736 -636  -489 -235
-700 590  -450 -53
-243 -579  -328 -706
-166 124  -229 247
-127 821  372 -652
-64 662  -36 -543
64 -130  -535 1236
248 603  -105 -382
91 239  884 168
-340 586  -231 751
135 22  834 310
1075 630  -59 78
-174 -533  885 -377
-550 -331  -196 546
319 -769  662 -1384
694 116  -429 90
-472 -484  -19 -1411
285 -231  -248 331
621 240  -450 762
385 442  -616 -273
441 75  -290 943
385 -342  -360 282
572 1306  -94 -857
-791 -26  1417 -673
192 149  -484 -679
529 -208  -764 848
-45 -480  56 -523
-16 880  -465 188
891 1422  156 -94
471 452  -100 254
-349 489  -556 -10
527 128  -155 364
-483 -15  360 545
287 371  267 -112
836 890  461 -625
-431 -37  -431 414
241 -169  542 216
692 -31  9 -180
880 -1196  -1285 118
203 -790  173 -117
1110 411  733 -430
-331 -586  -117 256
628 -656  -542 -747
-471 -280  472 -71
120 570  -499 -429
-355 -21  -260 -30
-478 951  6 166
-344 -129  1101 230
169 -221  222 1380
-146 771  -967 509
-290 -1194  607 -1080
-726 -127  -524 -379
93 314  704 -59
-299 -908  793 -413
-348 -876  1 -311
77 53  -237 643
-123 414  26 -490
21 260  50 -524
66 -647  -372 70
224 155  286 1155
-238 -517  -566 266
761 -1418  191 21
962 838  148 432
-510 -180  160 -171
405 -508  -487 -252
168 124  -228 59
72 98  153 364
25 -1045  152 -289
-195 609  990 137
272 19  -220 -98
-28 259  120 33
683 -114  -214 514
826 147  112 -532
287 -165  185 42
179 488  225 89
45 -420  607 -854
593 -154  338 -710
655 854  152 -70
-527 -449  1026 338
-343 -319  -353 -255
766 -95  5 611
-512 -117  194 147
240 184  121 -497
23 -3  601 149
-475 126  455 -702
-1 33  -416 219
642 -876  -72 -451
488 551  -242 -210
345 13  186 358
-337 -1189  204 392
-144 -249  -1011 -198
271 217  280 -99
731 -64  -635 -15
-134 -1032  -443 174
180 610  -118 -1143
-298 -254  -366 306
238 522  872 -1154
251 -392  282 -97
758 127  55 -1022
-193 194  958 -1038
-106 -1041  -90 -390
212 420  -87 -891
933 81  374 -60
469 2  385 169
1003 559  462 -245
683 1456  448 119
-152 -269  -8 700
-1088 797  147 701
113 -233  559 807
-270 393  -44 248
-802 88  -1148 217
734 602  -66 82
311 -371  143 -71
-238 107  -332 -123
18 337  -345 -66
-264 183  684 890
-164 139  539 -318
-153 -40  -226 -204
-55 -220  128 -606
16 -399  -9 848
-243 405  -1344 -337
-36 -189  676 -661
-261 63  78 -774
210 199  854 -96
-99 412  -112 774
56 -788  178 -529
-270 24  -563 294
-151 -467  477 86
-384 -420  -784 -664
-268 278  741 -198
733 -290  238 680
-822 -184  -158 -837
-16 -555  -91 258
-362 857  -490 -351
92 -135  -355 726
-235 346  -157 -419
-274 180  703 -465
-197 139  261 192
-355 760  648 -436
-174 1140  -295 326
-744 -282  676 728
-486 -675  -36 -661
884 222  347 -486
389 738  -532 638
523 498  -355 942
-10 565  -571 -450
340 219  -327 190
-569 430  -1043 76
44 -674  -327 -23
-171 -544  122 462
-557 766  -319 -314
-150 608  -202 -150
145 -577  -202 -805
462 84  539 -210
-84 310  -229 -100
-516 159  -451 338
-104 929  698 -19
128 -1071  -402 120
180 615  -891 328
-469 686  -451 -682
-1161 -559  -411 -227
-123 27  -261 256
-391 -406  617 -268
-850 163  89 484
-891 86  429 928
521 337  233 439
-271 254  193 730
97 338  -659 254
230 -516  411 522
-319 178  -274 -228
-415 -768  -397 0
1093 -935  904 -296
-121 -33  -424 -767
179 18  -162 145
-754 438  823 617
234 446  -433 -91
-704 -535  390 -505
376 483  -169 -572
60 -29  -415 -46
332 232  212 -81
699 -1039  -226 63
-377 -432  82 654
1216 -425  606 957
-66 253  -546 -69
-118 -408  -541 705
291 332  -501 274
26 -419  147 -270
-175 445  -423 25
-159 -766  -747 1100
310 106  -283 13
-579 1189  60 -7
280 425  254 158
-342 348  580 867
-610 298  -419 411
85 -528  -208 -265
-756 501  679 382
216 442  -30 966
1614 -22  -305 -62
143 -792  1090 957
426 988  1302 249
-139 647  -878 223
-934 -313  -355 96
-1105 -1127  309 939
-587 -587  -413 91
-293 123  423 158
170 57  38 59
826 227  -158 1051
-165 -53  -179 195
-37 -473  256 -1050
-392 -374  131 -340
-39 -579  33 26
-827 -29  223 245
-88 -552  -614 428
-458 292  774 -535
-784 -129  -66 -511
-124 -1152  98 507
-15 -421  -167 -700
546 -245  -19 -195
-409 409  115 -428
-894 -218  -783 360
183 535  -335 0
135 -202  -1511 95
461 -387  -501 -70
1214 -829  1218 66
-783 -422  -729 629
245 -30  989 544
574 633  600 181
-735 253  -239 -529
873 637  12 593
685 -293  763 211
424 1006  -128 -180
-523 26  -23 -519
288 -475  208 642
50 1207  -74 -546
323 -265  -812 331
-158 -270  8 -167
-264 261  -63 47
228 509  468 -43
-925 113  -62 -289
119 -33  751 213
99 -265  -300 81
128 -512  7 374
-101 -181  -326 341
547 -634  402 179
568 -1018  277 711
98 405  96 -627
115 255  -246 -528
-1010 -775  -334 379
5 -373  770 188
-902 806  -537 -276
-1017 -625  435 1092
-419 665  792 254
147 851  -287 -673
1153 149  199 -175
-180 -634  389 -592
-131 516  -165 425
-3 95  58 -226
282 146  282 414
303 -394  744 81
438 1101  -612 -809
425 -595  189 327
-382 -693  -200 -100
-87 602  -566 -372
518 -272  569 -114
-112 -413  -185 -130
-329 792  274 21
-409 -879  660 292
545 32  -1177 1047
327 861  128 544
-212 963  -539 91
1032 -727  647 606
58 -766  188 392
137 113  -151 408
999 94  -586 381
180 447  -199 -758
802 212  376 -1031
331 135  -1022 -106
235 28  990 466
-580 -90  212 -14
-326 -499  -675 482
-959 -662  -427 177
167 -29  -167 494
565 281  172 -334
750 254  -251 -482
945 -380  35 -190
-41 146  460 -61
-263 -278  -471 71
427 -96  869 110
-164 636  1314 366
58 -260  61 241
-88 -210  -37 40
82 -699  -857 -102
409 360  -138 -156
399 1261  -68 689
714 94  14 29
85 -1573  665 977
399 234  -159 175
-258 -413  431 -970
389 -53  -390 995
-175 835  182 -168
-72 68  553 369
255 354  -158 -252
522 1118  1335 -411
-36 -194  -261 -247
76 357  -48 735
100 382  -368 -762
-65 -1604  -112 -786
16 752  -522 -743
-581 -570  -215 -695
728 -158  625 -314
189 152  -76 962
166 850  79 965
936 -342  202 169
-856 -408  267 41
653 -700  -180 729
-701 83  700 275
668 -562  -404 369
-172 832  63 -160
-224 615  -443 -8
-419 -522  156 424
-635 929  1200 69
-159 267  939 233
1242 545  175 -496
-250 432  -623 584
-539 192  542 134
473 -61  -332 -965
-632 -111  -265 -246
-152 799  455 288
647 -709  -658 -110
-657 -72  -8 980
-383 633  -52 -278
359 186  160 -942
318 224  699 254
632 -435  479 -158
-200 -548  -409 927
575 -293  164 -493
-580 -473  -472 540
-544 375  568 359
-514 154  -1188 -11
398 40  506 158
459 448  -220 566
219 -664  -212 -466
118 -308  -416 -555
263 162  14 658
39 -770  533 -211
-114 334  -288 271
798 -245  -192 -74
-85 668  198 -269
-48 -86  -513 477
-127 47  -232 -137
-495 -369  209 -68
607 -498  320 184
201 196  -51 390
-439 102  -379 -59
-412 378  383 626
554 231  -521 809
-335 603  -63 431
321 -207  -1167 398
-613 -1004  -467 813
195 479  106 312
1231 -843  385 -588
-606 -163  -29 555
-572 682  -65 270
-389 -198  130 -467
383 154  -375 -269
38 -168  -230 -526
-25 -34  91 76
52 668  470 -313
417 -566  460 405
-334 65  -234 350
181 311  523 -717
492 -519  147 -721
-1069 -483  -1151 -109
111 -899  92 813
986 619  520 -484
126 380  407 -704
-221 65  282 -469
-515 -361  -399 -271
19 -571  433 -726
352 491  370 235
-56 546  -286 141
496 189  -564 156
-208 -156  236 133
-792 671  693 -150
-576 -119  483 -430
744 -334  -431 -860
-165 -543  820 -633
530 -586  -421 76
-772 -216  -62 183
70 407  -367 16
368 -1011  -144 169
84 137  -198 197
-192 -443  46 281
500 -28  -161 -61
-15 125  -331 -353
-535 702  -493 -424
-234 -908  75 -625
143 -625  337 323
-454 -153  393 353
469 -790  190 136
-262 206  155 742
-784 377  286 -30
417 -17  -430 972
489 105  -164 41
-14 291  -56 443
338 168  -661 111
-379 -243  -251 119
-524 22  181 -976
273 135  442 -631
464 -377  688 729
113 -235  283 -176
-123 910  223 -22
-62 -201  310 198
-221 -8  -45 106
-363 -1125  -836 653
457 680  -453 -449
776 278  465 -16
335 -361  -590 563
-1009 -688  673 -189
67 -272  -184 -517
547 -41  143 -88
-93 -201  -12 434
-103 6  114 346
161 168  312 539
588 878  303 861
-226 -888  -200 214
332 1079  169 -354
-501 144  222 862
-368 -667  -903 275
-575 163  -324 994
99 79  -837 -52
-150 255  -428 391
-91 -184  379 171
-325 236  -356 333
390 249  1139 -495
-284 351  885 -162
362 434  18 -191
168 -75  596 -1012
-497 800  -484 320
-37 -679  467 307
443 -741  112 -461
-697 218  82 -880
-95 -493  342 -2
642 355  821 -751
10 -480  -428 25
-361 46  -104 -844
354 806  227 359
506 119  457 -1083
290 -90  451 295
-339 260  941 67
305 -668  -215 389
-513 248  166 -554
-100 645  21 -91
-314 -175  37 149
-652 -207  -648 605
598 -577  -558 1016
857 438  -413 -610
-144 -457  140 -306
-237 -652  113 -830
-1187 915  -477 -265
-307 -1002  -546 636
293 -182  -83 122
517 8  -1045 -177
-530 -219  453 323
749 918  -337 -189
368 -44  369 -243
164 -192  704 -1059
-898 72  537 -324
-597 -470  -222 358
259 134  -200 640
264 -22  -168 -185
-479 136  422 380
-732 695  726 134
690 426  -421 374
-23 621  -348 -413
60 -189  -285 535
47 286  -355 -558
148 -369  -229 74
64 883  -507 -882
-106 -409  -461 -526
146 120  122 140
300 -250  -224 -218
401 -776  7 92
435 -639  -526 -159
339 119  73 -278
101 68  -1006 -973
-795 -60  187 24
249 623  531 -600
-325 197  -8 123
-523 -40  -265 87
578 -439  -468 809
-128 1088  317 1309
640 549  -517 28
-600 285  -248 95
-202 568  330 264
-835 409  -299 -565
376 -169  -961 -1106
-410 241  391 -147
586 40  539 566
477 -532  -173 -501
267 -1058  -55 -841
-682 110  -41 606
33 551  832 -1499
37 110  60 303
-717 185  -718 297
1308 -260  -281 626
-102 274  1545 123
557 -141  274 -700
451 -144  -633 -423
-534 -1061  -1109 -274
-437 365  263 116
-928 -482  136 765
-312 440  207 206
-578 844  -204 165
355 212  -340 59
-26 -150  -23 238
-292 -468  -678 1046
-210 587  883 -194
-509 -222  556 247
233 623  1112 -160
-901 -131  -379 264
-312 699  260 229
-442 -1264  -37 799
195 292  484 120
-505 -366  1118 469
-357 227  1225 349
753 338  -743 140
275 8  -389 -131
-180 -694  368 428
656 -306  39 1124
-400 1326  256 -368
-20 -531  -14 928
-526 -501  -372 795
-368 301  680 1474
-181 304  156 231
-362 40  885 -69
-1354 441  488 -354
474 203  -931 -15
711 -1343  8 625
284 -497  886 340
358 -707  -481 -284
-486 -284  208 -221
236 -557  375 590
71 1156  662 -36
464 -488  358 352
-136 109  1091 185
965 -379  -153 687
-723 265  -539 -574
-771 -1196  -24 -541
363 -381  500 398
-46 193  -292 604
-472 305  -517 102
592 -192  23 -10
271 162  -283 -785
-635 267  -35 -165
289 858  -440 181
-608 106  3 -1314
-653 -165  577 -56
-616 284  389 255
-546 -1051  574 -812
20 -79  -312 -463
-1036 654  722 -816
-330 -356  565 -423
-322 1010  799 -418
783 -781  760 847
583 -224  -65 15
-333 -1222  -9 -107
853 163  -449 -43
713 -1086  -207 168
757 693  -651 575
77 208  -442 552
-378 -276  -549 -23
-241 -90  226 -1522
17 -786  63 665
334 -274  -559 163
459 653  -762 173
-451 -356  508 -690
594 -1278  -907 -400
528 -159  -308 -124
156 -26  -368 -230
-362 52  416 374
787 597  -760 -1048
73 346  875 -134
-467 1104  25 193
146 -332  402 -485
36 -307  -167 197
-585 93  -349 -1653
1045 -399  39 -813
1037 -438  -493 102
1228 -259  -916 -329
-381 349  -643 -726
-462 319  -392 -63
200 158  -681 643
-172 -434  -495 -730
-364 -717  -816 554
411 -110  -992 -135
-620 -319  -353 106
316 274  -54 433
19 -637  -363 -392
232 -64  -98 162
276 242  381 -132
208 381  1146 -583
-277 319  25 -427
460 -526  -453 93
-354 -94  -744 -142
513 -341  724 -278
413 127  -256 -223
108 -791  1322 -351
404 0  100 444
493 101  355 -588
361 179  554 -14
941 524  -238 715
513 216  -148 42
55 -636  -683 145
-1129 134  25 -844
444 222  44 -350
214 526  839 502
-221 -216  -267 17
-44 172  611 -405
67 -289  -177 -371
-116 -747  291 -978
34 82  -393 -541
240 305  599 150
100 -13  -171 192
-288 -1023  -116 -180
64 -166  278 92
69 528  -584 613
354 307  608 36
-401 -812  -47 -119
-408 -933  -128 671
-118 -179  543 -606
-287 -335  -979 155
670 575  -455 321
665 296  988 -200
-674 307  423 -75
4 -262  1472 674
-8 -127  627 302
142 29  247 392
90 -1108  -746 -422
234 413  -303 506
1083 -541  410 -376
677 -117  672 150
-802 -7  13 1428
-530 176  -340 535
155 146  71 -270
887 -615  -1393 -258
-441 551  202 1039
173 -157  -52 289
178 -781  470 694
693 99  -856 -1405
650 711  81 -683
804 321  -374 147
-626 106  164 347
-207 -749  -71 -685
646 -32  -250 59
131 1459  -640 498
-983 -246  425 -779
914 -148  -300 325
1075 867  438 814
-92 627  -1739 167
62 69  -26 250
286 597  -413 -132
-507 378  -60 -556
142 156  97 828
-991 71  372 510
718 265  722 -30
29 -544  -91 346
-78 142  -207 93
-104 124  525 -1076
1579 -661  273 743
-399 -1026  -397 609
-284 13  -431 -3
150 -998  -1041 267
171 -830  14 807
-194 -69  237 -360
-572 -520  -657 -396
-424 -364  618 45
-59 -260  -662 -156
684 -10  162 -132
588 318  -624 -255
-416 -719  -255 -450
-484 382  -117 0
-73 510  -30 -339
465 -302  -33 166
576 -324  -940 105
237 -14  -1 -712
130 576  728 -285
221 681  160 -776
523 734  -175 -381
161 -482  594 -988
-75 -1326  -278 143
244 46  -93 -437
803 44  -591 -6
286 353  242 -311
-158 -137  -235 295
-189 -818  887 144
-189 359  284 250
-508 141  -683 -587
105 60  951 -82
329 187  256 221
-261 -454  -280 27
-25 538  -65 192
408 -198  -736 -426
-916 1523  462 -775
-333 -658  405 209
503 1006  323 217
61 524  -467 -315
-535 653  -300 16
74 -350  -793 34
-392 232  -77 -526
337 -1454  1287 828
-655 932  374 175
41 -1117  -719 134
8 -123  321 623
-868 -350  231 535
1081 -79  337 -249
187 742  -718 141
571 -1112  426 -329
-723 133  354 419
-131 -292  -103 753
-654 -314  697 561
439 931  -697 -16
85 -223  -514 -52
-621 959  -537 624
-197 741  159 -34
-125 196  -500 -113
-416 -217  -1111 602
98 685  95 74
486 1298  305 -685
-109 -10  113 724
59 364  1414 234
-107 116  618 87
659 -968  386 271
-759 790  -781 189
1341 124  59 579
438 281  301 103
938 238  162 467
-409 -1117  687 440
-78 799  126 121
841 -1215  -969 -1043
501 587  381 105
-69 -508  -1146 -348
-335 162  -265 -878
574 -500  -389 317
-45 -107  -499 -537
604 -505  1206 -59
-639 432  -271 -234
766 -712  -163 -1171
-1298 787  -328 166
412 -251  -612 357
-466 842  -433 419
-89 -395  -466 -276
92 -248  1190 -1125
335 -283  -807 -111
1172 665  -486 -373
-501 518  -1229 120
-399 60  -610 -455
-1501 -128  -473 608
-105 5  945 -1263
522 571  -748 559
49 521  123 -335
566 388  187 82
-239 -208  4 111
293 433  654 347
-311 1244  -420 237
409 -186  -503 -3
-50 -56  431 -405
-173 -358  1106 -274
-546 486  399 477
-292 -36  -663 110
-316 -218  -248 -45
967 348  -581 -3
-95 43  84 242
347 -349  896 792
322 68  -349 214
853 -476  120 -300
716 -226  363 -258
87 174  -263 127
-313 222  -660 1160
-100 -156  508 165
325 -42  -237 361
-174 -59  283 -389
245 -245  -265 -385
228 -55  229 -987
191 376  -331 606
-268 603  559 -706
-286 515  866 -325
24 545  727 -189
-291 -177  -491 708
-49 375  -245 -543
-230 -230  -393 13
-465 -296  106 -159
587 372  316 83
-358 -98  -463 438
-36 564  10 182
236 -756  -426 794
408 153  274 -13
-556 -105  -572 -498
66 60  -62 -320
-270 495  17 559
-293 150  115 -353
-844 477  -143 795
324 23  179 152
-707 107  128 788
357 338  373 -115
-226 -210  688 318
-45 846  127 464
-583 -219  -353 -225
379 -83  205 186
409 407  -176 -708
-71 -14  251 620
-423 848  -143 267
176 -717  -408 -165
-416 -586  221 -888
1122 665  -334 1102
-322 -266  54 -983
-575 -114  34 -65
552 -89  203 65
529 285  551 171
-112 876  -571 -11
-394 -206  14 368
-25 -146  9 344
66 -583  5 -446
-393 -371  452 -23
906 573  361 -598
1106 276  -410 229
-658 984  -437 -437
-1311 330  -512 -399
182 -279  -277 552
774 460  520 964
-1044 521  -280 236
273 -20  295 54
427 9  -82 274
66 460  -227 172
-184 -781  -381 -133
389 -331  -98 323
110 -103  330 42
69 -326  673 280
-164 18  694 587
-227 -976  74 318
-553 406  421 -456
-618 -397  -654 -234
770 -391  -479 377
-625 -326  -9 -7
266 -588  688 -76
622 -607  -208 1374
922 -115  234 85
-65 -109  -97 1023
-624 -63  49 -314
-167 -419  10 -343
510 -1152  941 1154
389 -110  -2 223
-186 106  -261 769
319 -377  -1090 107
-141 -1311  -469 1157
305 47  25 389
191 -644  -257 -919
450 -433  -639 381
-529 -204  187 -150
292 206  -330 -180
580 -252  -838 37
252 -254  -955 -226
140 85  -478 875
-629 100  -725 -450
-692 430  -1207 -50
45 -142  139 -239
-690 271  675 -65
-177 -534  -230 -812
376 -924  -56 17
-298 384  426 -592
409 197  539 278
315 90  -209 -1083
-843 -894  -552 653
-961 -392  620 -638
-359 179  -313 -780
-161 16  -758 498
-353 262  384 25
223 136  -391 473
-222 568  -230 -519
-541 710  580 -156
-766 74  905 -1181
-283 158  -233 -285
-237 -235  760 63
289 -64  1077 -1197
-347 1131  -59 -1566
-512 -209  -226 458
160 -299  728 -81
408 137  336 -1436
-84 884  632 -589
-50 294  -48 -196
486 797  456 29
185 -712  -105 211
-71 -428  81 113
625 484  903 -244
697 -1031  -383 665
158 -508  536 469
-649 822  -208 -755
-453 351  -123 177
-22 -255  438 -1169
1010 -542  -191 901
574 -590  -397 -643
168 173  -780 9
157 1118  -187 -749
76 327  1121 505
334 -413  616 203
11 -450  -225 -300
-841 265  401 1113
346 -571  53 -53
444 680  957 820
-606 -197  842 -144
228 -19  92 -484
108 -283  -84 -46
701 -142  -391 -379
-371 -463  97 -344
-875 -107  135 -29
-233 -143  16 50
452 -541  853 130
-525 755  920 -570
324 378  761 -273
685 423  -537 495
-366 -331  -83 136
810 -178  -66 270
210 -65  129 331
-80 -41  -335 -512
300 -14  -469 -17
-431 -1453  -421 -577
-755 -489  762 373
-338 -132  270 507
-998 -703  537 2
-920 1420  -402 -295
321 439  -251 581
520 -640  -582 596
363 132  699 -461
-598 -321  -556 -242
638 720  384 944
71 -697  -404 793
-220 -211  144 1120
53 374  -315 864
-14 651  -12 -119
675 -1341  -726 194
779 -290  228 -203
