308 -4321  -17 -7365
690 -612  -1967 -3399
1473 -1732  5967 2312
30 -2370  402 3915
-4746 98  671 -397
2183 -1466  3374 4815
4506 2007  144 -1331
2412 752  -738 -1540
-2377 -3184  954 4229
-2582 -2357  2111 -7766
611 -1073  -713 -1735
-1518 -3272  306 1362
-1646 -7968  -7257 -321
-1353 7524  -2776 2068
2229 3517  1418 -1718
-738 -4050  2472 -7448
-3234 1084  -4458 -322
-5088 91  -1270 -4176
-251 1716  -2277 -583
436 1970  6561 -1371
-423 788  373 5358
-856 71  -3410 -1071
199 755  2922 906
2268 -59  2154 -593
-3554 -474  5908 800
2124 8321  618 1893
-1661 118  3150 1121
892 -2069  -1057 3621
473 -450  -4114 -319
-1948 2263  1476 -2348
-577 -740  -932 562
5580 1937  -5703 2474
-619 1689  -5874 -239
-2244 273  -2209 396
1838 439  169 -8052
1568 -937  227 -325
-3260 -3602  -1038 -10587
547 2978  -1551 840
-5282 -3048  -3898 -339
-3222 -1026  1424 5605
703 -332  3844 198
3007 -1750  2240 4995
4024 -7420  4526 1606
-3811 1983  1175 -5380
-2206 793  3889 922
7039 4622  -826 -1494
-4995 2735  4357 -4437
-360 4002  6144 -3061
-3227 -722  1991 2013
-2825 -1518  1568 -2263
2193 2972  843 4095
1801 2005  -1797 -1314
5061 -4835  -168 286
2709 -1122  -213 2546
321 -1604  -1731 210
-145 -1948  1932 4567
-253 -1232  -535 -138
-1023 -2214  5511 -129
884 166  2915 4224
1543 -3232  1765 -1033
1736 -3351  -2395 3768
3241 202  -3785 2724
2161 -886  -3952 -4235
831 2280  -4483 1767
5640 -1414  3659 419
-4443 -1850  2220 -3603
2509 2469  6984 -3811
-4089 52  1589 185
58 3092  -4297 7227
1322 -1782  -43 4535
5617 4947  4619 -722
4015 1389  -6185 -3339
-7675 -3384  -6635 -3131
311 623  1800 605
3967 -3500  -4149 -2382
-511 312  2043 1022
-2524 355  -45 -6063
-1604 -4682  2505 502
1033 44  -6779 5425
-2489 2083  -4981 1628
-2014 -193  2469 -980
-1757 469  -1660 903
3751 441  6114 -3383
-5439 1204  897 288
-275 458  3293 2179
6021 -1837  -203 527
-869 2627  -1108 965
-2521 -3673  -841 -1911
3975 2465  -791 1679
-34 466  -1772 2137
-955 3765  -2265 1420
-3878 -1855  -5279 -74
2421 1774  -10 -548
-121 963  -4281 -127
-771 -3910  -3323 -1759
-361 -5375  -621 -2397
-2036 -1133  2709 4023
634 -3300  -1814 1877
-649 4090  2133 -2730
2204 539  267 -402
-292 -310  -1889 -3739
496 -3730  -535 -1436
1486 -992  -1027 -1519
2335 -1747  -512 -2736
-744 126  -4691 -1824
-276 -2402  1210 -3400
-2482 5664  5219 1052
2200 4650  -2144 2744
4131 -803  -1488 -2012
2984 -690  2091 3836
-81 1785  -3129 -2322
1133 6351  -4629 -1444
-1095 -1213  -1199 -2351
-5384 -614  -1798 -1349
-746 -3530  3408 -1584
24 1750  -2092 -1191
-1660 -894  -1982 1616
4550 820  -13044 -2477
989 -2808  -4209 -401
-3665 -2695  -607 -1085
2124 347  3853 -1170
-1555 2135  -13 -2515
1203 -4793  2259 1478
-389 -3902  999 488
1117 1106  -5007 -888
-1048 4080  1886 -3700
6381 -308  -1167 749
-747 -603  5968 2490
2095 -7036  62 -3018
-2883 3429  -2044 -1356
-1761 -1031  -104 5893
-3143 2648  -4105 -1052
-532 4579  3001 2471
-155 -433  2572 1759
-1632 916  -749 -3359
5464 1791  -3386 1044
1110 2006  -5925 1755
2399 -4349  954 895
121 934  5617 1496
2950 -349  -1926 907
1601 542  2171 -654
-721 1361  429 -415
5196 -3078  1422 2959
-2568 453  1794 2124
-1235 -1728  4258 -2341
-223 2121  1826 3546
2515 1220  -421 3453
-1578 4085  3353 1940
-1245 -2244  -502 907
-1034 -607  -344 -2071
127 -3426  3605 1577
-2189 4269  1221 4083
3146 1245  1263 -6684
-4834 2993  -660 1250
-1731 -6122  3900 -4378
1411 -2407  -1437 3558
173 -1294  1043 628
-4484 2435  -1690 -4012
3939 1510  951 1702
-1217 1747  -6400 -561
-2000 -2234  -5799 246
-428 915  1909 84
1045 2198  2454 -955
1719 -2665  -2518 -3650
181 -493  3847 -3823
-4442 4078  1056 6483
1540 295  4306 346
-4774 3109  3170 -891
-173 -2957  -4889 -2441
-299 -529  -19 2016
3778 605  -623 -666
3638 3168  1478 -3419
-607 2126  4077 974
4542 2032  1825 -3009
4093 -963  1806 -22
-1204 1235  488 3419
-3518 2804  -709 -2208
-1549 -1705  2740 -2707
4941 1111  -1076 2961
-2680 4092  -4258 -428
538 3035  -748 1671
-2985 1215  1078 -531
-5201 6109  -3449 491
-854 267  1964 4233
-5440 2109  -1072 -721
2740 4138  3952 -461
605 5328  -5239 -185
-2006 367  -2186 1828
1288 1875  -1471 -183
-4305 -2599  -2123 6207
-758 387  -3124 -3011
-1000 -659  1183 3222
471 -2269  870 -746
5066 494  -717 1097
2294 -71  6044 -3866
2312 -1207  1106 2731
1821 901  -5871 -4538
-1421 1583  -4589 -3025
-1327 3507  -2230 -2753
-2387 2265  -932 -384
-2461 2793  4235 -1510
-1360 5632  3142 -441
2574 -2267  5909 -126
2040 2113  438 -1408
-4409 121  -1914 4382
4153 -2717  -839 4905
1989 708  -1989 2392
-4291 1519  -2445 -3534
853 -1508  2344 -2796
2328 2962  3723 958
1372 -4796  -2916 3042
3538 -2349  2198 419
1497 1619  665 2970
903 6967  1015 -2334
4446 9488  -2440 -443
5526 1050  -5730 -1478
18 -1106  -2124 765
-3300 2354  -789 -200
-1112 190  4592 -3078
-7410 -1158  5618 -2877
1701 -2478  -897 2143
-2915 -5593  2133 -895
860 5699  -1721 -1526
280 2578  6199 5118
1005 -1317  -3401 -2759
3724 1660  -254 -1196
3802 3930  -695 -4833
-1904 2758  -655 709
5672 -2414  -3187 3875
-5452 -5551  -2645 -363
-1808 -5181  -519 2036
-392 439  946 667
2641 2088  -1459 1469
1186 -397  -1527 5043
2504 -3037  -2104 233
-543 -1639  -2536 -3277
652 -2866  4578 -3485
-362 -1605  2043 4001
2472 966  2783 5339
-3740 -3913  1539 2950
921 -936  -6432 -899
-4088 -371  2777 -1984
-276 1512  928 3149
-2689 1421  586 1220
4350 -211  385 1487
3652 3032  1855 -4385
1149 -1301  1040 -1595
-3221 -3226  6623 1995
2243 -3494  8207 -3697
-2441 -4999  3024 -1658
6372 203  -5093 -2248
1183 712  5324 340
270 -1370  -1646 -3016
-620 1090  -2660 -1639
-3198 -928  -567 -2635
-2571 -636  2139 1143
-1059 1747  4962 -485
3433 3169  313 3495
5856 1354  4450 136
-1031 -5702  1463 -1514
1039 -2499  -1641 2084
1438 -978  972 -2247
294 493  3458 1119
1517 -3853  51 3869
-1124 -1337  6591 -3411
-221 1397  1921 -2172
2606 956  -4969 7874
-1560 -2302  -4260 -2826
2458 -975  5343 3375
-2738 -2860  -1728 -2833
-3497 4170  -1188 -9
-3237 -3401  2163 3050
-2289 -1975  839 1470
377 2725  1049 1974
-4519 -875  3510 2370
-1680 3056  -1528 -607
-2081 -7169  5841 875
2312 3232  -1339 2509
-1527 -2513  37 -442
3445 2289  1870 7292
-184 -789  -218 2980
-894 7278  -2096 5020
-277 -7632  -7561 -505
621 1581  -179 -1551
-690 -2731  -367 -811
2098 -962  2379 -669
-519 3151  -3890 -1977
3269 -1547  5454 394
-5054 2020  -1985 -258
-600 792  -1566 -1670
2611 1250  -4177 1543
709 -1647  -1162 -4164
871 132  4418 4917
1484 -1099  2663 -8
-2034 1895  2572 -2695
-1495 -2230  -621 -4035
-654 1230  1478 856
3675 -2312  -3966 -1819
3480 -3383  -1075 -4000
502 3460  967 617
-3375 -3731  494 1086
4516 -889  3596 211
-5917 -8559  -583 -753
-965 -950  1111 1325
3565 -46  -637 1054
901 2060  662 -2112
-3246 -765  -768 2772
1654 -4432  -1676 3269
-6380 -488  1928 -40
6599 3588  1841 1410
2153 141  4130 -105
1131 -1675  -3876 926
5962 -4527  -176 5976
-2118 -1471  1620 -678
-163 -1479  522 1102
510 -5030  995 3495
810 -4066  -2554 4578
-635 -276  -4838 1881
-5802 2134  818 6598
-503 -1345  -2696 1999
-2815 -2036  4574 -4938
-354 -4205  93 -1167
-2920 -4601  4546 172
-1278 -1850  -2677 1895
7615 -8  3149 489
204 15  -6790 735
-1 5682  211 -5093
199 1718  3732 -5480
-1941 -5975  -3230 3636
-4827 2934  2604 -4157
2715 -114  -1654 -1430
684 315  1374 646
4009 57  -3191 3804
1590 -1045  4070 1074
-2063 360  -3136 1163
-69 -1124  495 -1159
1823 -5161  2291 3367
13 6652  1576 -4911
-191 -1396  371 -6232
-2234 2463  -3325 -836
2169 5115  1370 -1831
2103 2447  4401 810
1443 -738  -6110 1167
-2444 315  2375 115
1211 -360  -2908 -1485
199 -555  510 -2433
-2680 -839  2583 -1713
1938 92  -5487 -5851
-1636 -4408  -3656 -2651
-2813 1051  -810 -694
-1162 -1698  3853 -679
1176 2549  4808 1722
430 -4010  2840 -4229
-181 -567  -310 -1589
2443 9595  -2219 -7354
-3674 1828  -5655 2223
-5488 -270  1513 1505
-1179 -235  -1665 1100
1405 -3172  2345 -658
3187 -2316  -1248 -1681
355 4015  4211 -419
225 -659  -4926 -2012
4083 1707  -1810 3470
3227 513  56 -18
-1055 -3109  -1392 105
1903 -1725  -2683 31
-1426 307  2050 -406
21 3360  191 -2412
-1117 -3683  3185 2579
1391 5295  3919 -507
3342 802  1475 -4184
433 383  3828 -2005
-1387 -3579  -2545 -263
-1793 2665  4875 27
3001 -4304  699 4625
2119 -2301  4174 -2925
-114 530  -3037 -1146
-120 1054  1332 -5160
-963 2875  2174 -1129
-724 663  55 -1327
1330 -5163  1336 3706
2071 -3245  -2861 1332
2329 588  -2194 -268
1363 -3003  -670 -1075
-705 43  2985 1278
966 -2162  329 -4292
-563 6250  219 -5497
3854 6441  -506 -1940
781 -1234  -2319 -1841
2135 -2502  -1091 2903
-308 863  -80 -6399
3534 818  500 -526
-6556 -1282  1456 2577
2102 977  -2883 2708
294 3719  -410 1440
-2122 3104  1007 -1742
-1402 -2643  1988 -958
-477 2060  -1502 -1142
669 3376  -2003 -3241
-2288 7048  444 -1037
-110 -754  2120 1437
-640 -479  868 983
-1663 2171  2763 6207
5932 -2866  -6014 -962
3748 3159  1654 2361
-1057 -4862  -534 -2881
486 1193  -1600 6579
-1883 3296  -2565 -3818
-1076 -496  -330 187
2956 5933  1533 -2364
-2116 -942  952 719
-2239 -297  -5189 2122
-4061 -1246  -3593 1636
-1535 -986  -4614 1764
139 -2335  358 351
-2665 2728  -2603 137
1338 3999  2143 1153
2612 1291  -2090 -2912
-1897 727  3096 2048
-1893 289  -1249 3704
1563 4636  2271 118
146 1633  1471 3012
-1908 -6470  4146 1740
-600 -2300  2858 -1800
1785 -2355  159 -2998
-1840 515  -2167 1657
-2458 -753  6407 -1447
-1982 -704  656 -4714
-1338 -3016  474 -1321
-484 -3197  -1057 -6005
1003 633  3668 -809
5730 2180  846 -1438
1302 -2784  2371 3920
2610 2677  24 -776
1038 1206  713 31
-1092 1172  -1128 -1328
-2793 -726  -3553 -716
-615 3780  -6307 -3035
1425 455  1595 -1690
1171 -3019  -4471 -802
-1026 -1567  -1649 3099
620 -135  5049 1723
-1520 -423  -2379 -2768
-377 5744  1892 4243
2484 655  1774 631
1589 -3066  2780 700
3953 1423  4045 4833
259 2585  -948 -3413
5994 2145  1337 5399
-3094 -2847  -1317 -43
-4494 -658  -175 -1525
1919 2718  2363 179
1601 5778  1149 661
3100 -1794  2085 1826
-3562 1965  789 1051
2037 1012  -93 2963
-5529 -565  194 4417
-4264 -342  -943 1824
4983 -3096  -1501 -688
2927 -1841  393 2686
4347 -3155  534 -1003
-3436 3990  1483 1239
-1069 -1785  -1183 1443
-3931 -2442  -19 4285
261 -5318  2306 -4326
424 974  -3828 396
-600 1712  1611 -4715
4511 2699  -14 -339
-3191 1202  -3623 3885
-2086 -2014  3995 -3321
823 -1997  -575 -1496
-1007 -271  -3991 -1766
1803 -4690  -698 -677
-2844 -1226  -5161 2393
2726 -3169  3284 -1078
-131 2985  -1669 1208
4075 -3164  -470 -671
1232 -740  -93 3597
6427 -223  -613 10980
3843 1175  -1596 619
986 -4543  2483 5082
-702 4584  1436 1695
1879 753  1087 -2666
-3073 1147  1008 -4250
3712 4065  103 1485
-307 1631  -2050 -3529
1421 -76  799 1399
-465 -2141  1410 -981
-808 -2503  -2101 -5898
4235 -3925  154 -968
-104 -2609  -1444 195
-2832 -1012  2964 4609
-1440 -451  2403 -723
-585 3701  1486 5255
2467 1457  -1378 -4838
-5881 3451  71 -1160
96 184  -5606 -885
-4871 -1619  118 -502
-2001 -1240  2094 1341
-4070 -1686  -2474 2099
-1000 5511  2738 -1094
-1646 1221  -5655 129
-2880 -3833  420 -1048
4170 483  -3828 907
-118 -1245  -1859 -551
-3241 2056  856 -2255
185 1139  445 548
-2028 -1005  432 859
-825 3393  644 -281
2666 787  1164 -3399
-6099 3594  1417 -1945
1558 -919  -1205 -2342
2575 -1770  1362 1666
1133 -1160  -5556 -5147
5566 -2944  1653 -3761
988 3841  -2863 -1513
284 -214  6894 1621
9 -4499  -4599 -1507
-2222 -940  -1428 -1173
114 3170  -802 3602
3171 925  -6421 -2018
1576 822  -4936 1150
1022 -2108  1129 3008
-4172 5030  -4548 -3707
-779 4904  182 453
741 2339  1786 1351
-1460 1912  4484 1025
-3838 -2132  -166 -5368
-5074 3355  -3194 -2781
-2654 -3158  2986 3905
-939 -2551  3060 5188
10112 -2804  175 3606
-8374 4040  -1661 -1951
-259 5921  673 3178
771 4019  -3308 -67
1248 -404  -4205 -1725
-1535 -1900  -162 -2704
-1848 -68  -2775 -1140
1871 -4512  1914 -2296
2246 -4277  3110 -5192
-3559 3713  -344 2555
-7413 -3563  2665 -3136
-1197 950  2475 -2146
1436 590  -500 4160
-1566 -959  -3894 -5069
1588 8270  -6715 -2710
-1986 831  -1360 150
-1206 -4205  -5077 -507
288 -2149  -1072 -1031
1279 2296  6553 -967
-856 -250  866 -3301
-1023 197  -2818 5185
-3162 3828  383 4754
3556 99  -4107 -2501
1444 -1559  -2170 7563
-1702 -2806  7885 -1832
-4769 4042  3060 -2771
-3045 -7890  2720 843
-696 1021  -576 -5253
-1557 2151  -518 483
6678 2845  3279 -1638
22 1231  -2358 -230
-1776 -2843  4598 1892
3886 -3118  -2533 1194
329 1525  -4071 -3933
-325 187  1816 -1166
4508 -311  1724 -3696
-7152 6451  2996 5176
-2379 -5686  138 -3694
-788 2932  -168 3374
-331 3501  1252 -381
1601 2474  -63 1852
11 1512  1395 927
-2965 1621  -8145 1391
-1021 -3297  -836 1196
1522 -751  3864 833
-1483 953  -3453 1347
118 4496  1511 2591
243 -241  5668 53
1309 3262  -2212 852
715 6273  3200 2960
1417 -5139  -3682 -5771
2436 -705  451 6790
-3578 -3289  -2306 -3063
118 -3755  -3320 -9357
-1167 3441  42 -2304
1050 691  -5449 -1178
-1937 585  1704 -5225
-1053 -2648  -6485 -1943
485 -1855  -2558 7726
6412 -3014  1948 -2274
1366 -747  3122 1361
-1957 1164  -7256 647
-1023 4285  552 -2961
3558 56  461 -2800
1293 1487  2222 76
-2508 -4765  -1830 851
435 -5953  392 -1462
-4415 4503  -6020 -713
-845 -968  3888 641
1298 6294  64 -4647
4912 4754  4693 439
-701 1033  5573 -894
1959 1966  -3803 1749
-249 -1433  5652 -2770
7251 5233  3856 -380
-5093 4311  -127 1852
-5465 4656  2674 1675
367 -4319  3056 793
2754 -3694  -1245 -2343
-2319 4421  -364 -768
-1457 4662  -63 3185
1439 2646  -3409 -3573
-2622 -2536  -1712 4161
2192 1111  1226 3842
-100 2499  -456 1392
-1399 -3182  -5935 -3169
1125 -1773  138 -146
-2034 3121  -23 -157
2733 1565  -1178 3213
-1852 -374  3932 2205
4220 -308  -1640 -2855
511 2716  -4159 2281
1442 -2443  -73 -743
-3091 1853  35 1375
3301 2613  1019 -1844
-5016 -211  -1532 1046
-4971 -2665  1679 278
1881 2095  -2425 -4752
5198 -2645  6649 -3158
2259 -4318  -2634 4277
3500 -2486  -160 -1115
-63 -6240  -1167 -431
1257 1120  -4345 -2085
-2185 223  -3682 -4149
1348 1414  421 -5303
-1999 -1069  265 2004
-470 2209  -1314 -2588
-2315 1945  -1635 -2593
-2692 -18  -2937 -1608
1037 1361  -1034 3035
1699 -4696  1744 1131
2173 -1798  260 -3097
2640 2430  3758 -370
-2554 3465  435 -158
1934 -1070  -1166 2094
-1259 -2819  -3721 -2976
-1165 -580  1790 1895
1748 2767  -59 408
3472 -1908  1195 1553
-1621 4642  1706 -2459
1876 1638  1161 -5526
783 2174  931 475
-1986 -4762  -894 -3545
7867 -2566  -2139 4055
-1289 310  4000 1745
-3145 441  784 4236
-884 3432  517 4456
-3031 -4808  -458 5909
-590 516  1045 -2895
-5701 -2974  1500 -4273
2018 1041  4095 95
1774 -4475  554 -3293
-2434 3855  -1105 6686
-3197 662  534 -304
-1071 3096  -469 -2137
120 1891  -177 -3131
2845 -1916  3068 7937
1131 -2435  2643 -1527
5130 -1993  -4600 1858
2174 -1819  9002 1696
